symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
KOHINOOR,2025-05-13,496.5,487.8,496.5,487.1,7584,3.723,334,-6.5,18324102000.0,2025-05-13 16:27:23.326,0,487.8,487.8,487.8
KOHINOOR,2025-05-14,485.0,485.6,490.0,484.3,5602,2.726,286,-3.3,18083142000.0,2025-05-14 11:45:38.414,0,488.9000000000001,486.70000000000005,484.5
KOHINOOR,2025-05-15,494.0,480.3,494.0,480.0,7389,3.562,329,-5.4,18001586000.0,2025-05-15 09:11:20.302,0,490.862344196175,484.56666666666666,478.2709891371583
KOHINOOR,2025-05-17,480.3,484.3,488.8,466.5,7265,3.447,300,5.7,17805.111,2025-05-17 09:12:11.213,0,489.95710545985696,484.5,479.04289454014304
KOHINOOR,2025-05-18,494.8,479.6,494.8,477.2,6578,3.174,336,-4.7,17953.394,2025-05-18 10:56:33.202,0,489.7802236381778,483.52,477.25977636182216
KOHINOOR,2025-05-19,480.1,482.2,488.7,478.0,4010,1.93,145,2.6,17779.161,2025-05-19 10:56:15.632,0,489.0988504607954,483.3,477.5011495392046
KOHINOOR,2025-05-20,487.9,482.3,487.9,478.2,3147,1.514,170,1.7,17875.546,2025-05-20 10:56:06.448,0,488.5712589494727,483.15714285714284,477.743026764813
KOHINOOR,2025-05-21,485.0,483.0,486.0,481.4,5685,2.75,328,0.8,17879.253,2025-05-21 10:58:20.201,0,488.2030083654062,483.1375,478.07199163459376
KOHINOOR,2025-05-22,480.4,482.7,487.0,480.1,6297,3.047,210,-0.3,17905.202,2025-05-22 10:55:58.496,0,487.87260612732223,483.0888888888889,478.3051716504556
KOHINOOR,2025-05-24,480.4,477.4,481.1,477.2,5651,2.704,261,-5.3,17894.081,2025-05-24 10:57:48.574,0,488.19859137462805,482.52,476.8414086253719
KOHINOOR,2025-05-25,479.0,475.1,486.9,472.5,5283,2.525,387,2.5,17697.606,2025-05-25 10:58:20.517,0,488.7385940261866,481.8454545454546,474.95231506472254
KOHINOOR,2025-05-26,471.8,475.0,478.8,471.8,3966,1.886,236,3.4,17612.343,2025-05-26 10:56:49.170,0,488.88250725708934,481.27500000000003,473.6674927429107
KOHINOOR,2025-05-27,465.1,473.6,480.0,465.1,5012,2.366,281,1.0,17608.636,2025-05-27 10:55:55.831,0,489.0603481530532,480.68461538461537,472.3088826161775
KOHINOOR,2025-05-28,477.9,467.1,477.9,465.0,4608,2.156,214,-6.8,17556.737,2025-05-28 10:57:56.973,0,490.3961413965315,479.7142857142857,469.03243003203994
KOHINOOR,2025-05-29,472.5,471.0,473.3,467.5,6361,2.999,261,3.9,17315.776,2025-05-29 10:58:02.716,0,490.3313490305698,479.1333333333333,467.93531763609684
KOHINOOR,2025-06-01,469.1,470.5,474.5,469.1,7246,3.412,344,-0.5,17460.352,2025-06-01 10:56:24.556,0,490.2138766666934,478.59375,466.9736233333066
KOHINOOR,2025-06-02,470.5,481.2,483.3,470.5,8172,3.898,365,12.8,17441.817,2025-06-02 10:56:07.601,0,490.0867585077069,478.7470588235294,467.4073591393519
KOHINOOR,2025-06-03,481.2,477.6,484.0,474.7,2707,1.299,179,-1.8,17838.475,2025-06-03 10:56:10.989,0,489.7160624205134,478.6833333333333,467.65060424615314
KOHINOOR,2025-06-04,478.0,478.4,480.0,477.0,3322,1.589,142,0.8,17705.02,2025-06-04 10:56:43.852,0,488.26944406277664,478.1611111111111,468.05277815944555
