symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
KPPL,2025-05-13,18.6,17.5,18.6,17.4,475182,8.506,741,-1.3,1373152000.0,2025-05-13 16:34:06.550,0,17.5,17.5,17.5
KPPL,2025-05-14,17.6,16.5,17.8,16.4,853550,14.516,943,-1.0,1278200000.0,2025-05-14 11:52:23.669,0,18.0,17.0,16.0
KPPL,2025-05-15,16.8,15.2,17.4,15.0,890112,13.891,972,-1.3,1205160000.0,2025-05-15 09:18:48.368,0,18.28325958557674,16.400000000000002,14.516740414423264
KPPL,2025-05-17,15.6,16.7,16.7,14.3,807617,12.76,904,1.5,1110.208,2025-05-17 09:55:30.176,0,18.126514456491375,16.475,14.823485543508626
KPPL,2025-05-18,17.3,16.8,18.0,16.3,716064,12.461,895,0.1,1219.768,2025-05-18 11:04:58.959,0,18.039866660740213,16.54,15.040133339259786
KPPL,2025-05-19,16.8,16.0,17.2,15.6,445463,7.3,762,-0.8,1227.072,2025-05-19 11:03:42.549,0,17.87711830857384,16.45,15.022881691426155
KPPL,2025-05-20,16.2,16.3,16.5,15.5,483417,7.758,615,0.5,1168.64,2025-05-20 11:04:03.538,0,17.753990114827793,16.428571428571427,15.10315274231506
KPPL,2025-05-21,16.5,16.8,17.4,16.5,475210,8.095,730,0.5,1190.552,2025-05-21 11:43:18.114,0,17.738922465976454,16.475,15.211077534023547
KPPL,2025-05-22,16.9,17.0,17.7,16.7,483608,8.308,674,0.2,1227.072,2025-05-22 11:04:20.051,0,17.76981579939943,16.533333333333335,15.29685086726724
KPPL,2025-05-24,17.0,18.6,18.7,17.0,1464592,26.811,1415,1.6,1241.68,2025-05-24 11:39:35.951,0,18.446927063468152,16.740000000000002,15.03307293653185
KPPL,2025-05-25,18.9,19.2,19.9,18.8,720336,13.908,857,0.6,1358.544,2025-05-25 11:37:24.731,0,19.119849757145253,16.963636363636365,14.807422970127476
KPPL,2025-05-26,19.4,19.0,19.8,18.8,753893,14.446,901,-0.2,1402.368,2025-05-26 11:03:31.616,0,19.484692278473123,17.133333333333333,14.781974388193545
KPPL,2025-05-27,19.0,18.0,19.1,17.7,929787,17.067,1010,-1.0,1387.76,2025-05-27 11:02:27.944,0,19.505845414793257,17.2,14.894154585206742
KPPL,2025-05-28,18.5,17.4,18.5,16.9,492058,8.623,702,-0.6,1314.72,2025-05-28 11:39:04.184,0,19.43864069990308,17.214285714285715,14.989930728668352
KPPL,2025-05-29,17.0,17.9,18.5,17.0,536733,9.65,582,0.5,1270.896,2025-05-29 11:38:12.745,0,19.435990196056345,17.259999999999998,15.084009803943651
KPPL,2025-06-01,18.1,18.0,18.6,17.9,264655,4.795,442,0.1,1307.416,2025-06-01 11:04:34.536,0,19.44338447166995,17.30625,15.169115528330046
KPPL,2025-06-02,18.2,17.6,18.3,17.4,261242,4.624,385,-0.4,1314.72,2025-06-02 11:03:25.885,0,19.401457578744505,17.323529411764707,15.245601244784906
KPPL,2025-06-03,17.7,17.4,17.9,17.3,202748,3.538,346,-0.2,1285.504,2025-06-03 11:03:37.206,0,19.34746483335573,17.327777777777776,15.308090722199823
KPPL,2025-06-04,17.5,18.1,18.4,17.3,232640,4.158,360,0.7,1270.896,2025-06-04 11:03:52.990,0,19.410651860632967,17.36111111111111,15.311570361589252
