symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
KTL,2025-05-13,10.4,10.2,10.5,10.1,349487,3.589,229,-0.2,1209574000.0,2025-05-13 16:35:38.384,0,10.2,10.2,10.2
KTL,2025-05-14,10.4,9.9,10.4,9.9,353280,3.542,211,-0.3,1186313000.0,2025-05-14 11:54:01.483,0,10.350000000000001,10.05,9.75
KTL,2025-05-15,10.1,9.8,10.1,9.6,473002,4.645,242,-0.1,1151421000.0,2025-05-15 09:20:19.633,0,10.306601300906186,9.966666666666667,9.626732032427148
KTL,2025-05-17,9.7,10.2,10.2,9.6,442223,4.451,223,0.4,1139.791,2025-05-17 10:05:59.576,0,10.382071421427142,10.025,9.667928578572859
KTL,2025-05-18,10.4,10.0,10.4,9.9,877418,8.908,325,-0.2,1186.313,2025-05-18 11:06:42.870,0,10.339999999999998,10.02,9.700000000000001
KTL,2025-05-19,10.3,11.0,11.0,10.1,2886647,31.236,1125,1.0,1163.052,2025-05-19 11:04:52.929,0,10.970028248080396,10.183333333333334,9.39663841858627
KTL,2025-05-20,11.2,11.3,11.6,11.1,1526957,17.304,668,0.3,1279.357,2025-05-20 11:05:33.676,0,11.411138234047996,10.342857142857143,9.27457605166629
KTL,2025-05-21,11.3,11.2,11.4,11.1,1767951,19.771,548,-0.1,1314.249,2025-05-21 11:51:41.426,0,11.598912529307604,10.45,9.301087470692394
KTL,2025-05-22,11.3,10.9,11.4,10.9,1296993,14.349,432,-0.3,1302.618,2025-05-22 11:08:18.910,0,11.619523708249776,10.5,9.380476291750224
KTL,2025-05-24,10.8,11.5,11.6,10.7,2244300,25.241,665,0.6,1267.727,2025-05-24 11:50:57.690,0,11.819836054558152,10.6,9.380163945441847
KTL,2025-05-25,11.6,11.9,12.0,11.5,2596366,30.683,1077,0.4,1337.51,2025-05-25 11:48:59.550,0,12.100717517061845,10.718181818181819,9.335646119301792
KTL,2025-05-26,12.0,11.6,12.0,11.5,1558421,18.207,527,-0.3,1384.032,2025-05-26 11:05:17.841,0,12.202241805474316,10.791666666666666,9.381091527859017
KTL,2025-05-27,11.6,11.1,11.7,11.0,1470464,16.571,580,-0.4,1349.14,2025-05-27 11:03:58.192,0,12.180547110860244,10.815384615384614,9.450222119908984
KTL,2025-05-28,11.2,10.8,11.3,10.6,847596,9.23,435,-0.3,1290.988,2025-05-28 11:49:42.302,0,12.129813078082439,10.814285714285715,9.498758350488991
KTL,2025-05-29,10.8,11.1,11.3,10.7,769455,8.491,354,0.3,1256.096,2025-05-29 11:48:34.391,0,12.112221739550058,10.833333333333334,9.55444492711661
KTL,2025-06-01,11.1,11.1,11.3,11.0,721875,8.042,345,,1290.988,2025-06-01 11:06:34.540,0,12.094989959798871,10.85,9.605010040201128
KTL,2025-06-02,11.3,11.0,11.3,11.0,789426,8.788,261,-0.1,1290.988,2025-06-02 11:05:07.769,0,12.06870213008776,10.858823529411765,9.648944928735771
KTL,2025-06-03,11.1,10.7,11.1,10.7,625583,6.789,327,-0.3,1279.357,2025-06-03 11:05:22.516,0,12.028039803138153,10.850000000000001,9.67196019686185
KTL,2025-06-04,10.6,10.9,11.0,10.6,204085,2.207,154,0.2,1244.466,2025-06-04 11:05:40.929,0,12.023963803477523,10.88888888888889,9.753813974300256
