symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
LANKABAFIN,2025-05-13,17.0,16.0,17.0,16.0,886717,14.333,374,-0.2,8729186000.0,2025-05-13 16:34:18.657,0,16.0,16.0,16.0
LANKABAFIN,2025-05-14,16.1,15.8,16.1,15.7,899227,14.234,470,-0.2,8621418000.0,2025-05-14 11:52:32.638,0,16.1,15.9,15.700000000000001
LANKABAFIN,2025-05-15,15.8,15.3,15.9,15.2,889567,13.741,518,-0.5,8513650000.0,2025-05-15 09:18:47.068,0,16.28878405775519,15.700000000000001,15.111215942244812
LANKABAFIN,2025-05-17,15.3,15.4,15.5,15.1,637478,9.756,378,0.2,8244.231,2025-05-17 09:56:58.635,0,16.19727615711298,15.625,15.052723842887021
LANKABAFIN,2025-05-18,15.6,15.5,15.8,15.4,728079,11.335,433,0.1,8298.115,2025-05-18 11:05:12.664,0,16.12153619241621,15.6,15.078463807583788
LANKABAFIN,2025-05-19,15.6,15.3,15.6,15.2,636627,9.804,348,-0.2,8351.999,2025-05-19 11:03:50.953,0,16.075991127935314,15.549999999999999,15.024008872064682
LANKABAFIN,2025-05-20,15.3,15.5,15.7,15.3,574974,8.894,252,0.2,8244.231,2025-05-20 11:04:15.186,0,16.03108592830386,15.542857142857143,15.054628357410428
LANKABAFIN,2025-05-21,15.6,15.4,15.7,15.4,459242,7.107,290,-0.1,8351.999,2025-05-21 11:45:13.330,0,15.99136895265444,15.525,15.05863104734556
LANKABAFIN,2025-05-22,15.5,15.3,15.6,15.3,414755,6.379,239,,8298.115,2025-05-22 11:06:57.470,0,15.9618802153517,15.5,15.0381197846483
LANKABAFIN,2025-05-24,15.3,15.0,15.4,14.9,790739,11.965,412,-0.3,8244.231,2025-05-24 11:45:19.323,0,15.98103672189407,15.45,14.91896327810593
LANKABAFIN,2025-05-25,15.1,14.9,15.3,14.8,584615,8.751,337,-0.1,8082.579,2025-05-25 11:44:29.396,0,15.996962005795709,15.4,14.803037994204292
LANKABAFIN,2025-05-26,14.9,15.0,15.2,14.9,466755,6.987,261,0.1,8028.695,2025-05-26 11:04:31.314,0,15.979492543695008,15.366666666666667,14.753840789638327
LANKABAFIN,2025-05-27,15.0,15.0,15.4,14.9,634329,9.61,345,,8082.579,2025-05-27 11:03:10.216,0,15.958826004727875,15.338461538461539,14.718097072195203
LANKABAFIN,2025-05-28,15.0,14.8,15.0,14.7,604472,8.961,353,-0.2,8082.579,2025-05-28 11:44:00.018,0,15.959003576838331,15.3,14.64099642316167
LANKABAFIN,2025-05-29,15.0,14.8,15.0,14.4,670083,9.869,432,,7974.812,2025-05-29 11:43:48.346,0,15.95044700826443,15.266666666666667,14.582886325068905
LANKABAFIN,2025-06-01,15.0,14.6,15.0,14.5,485828,7.133,362,-0.2,7974.812,2025-06-01 11:05:39.141,0,15.96154599313281,15.225,14.488454006867189
LANKABAFIN,2025-06-02,14.7,14.7,14.8,14.6,334622,4.924,276,0.1,7867.044,2025-06-02 11:04:21.455,0,15.950177365320453,15.194117647058825,14.438057928797196
LANKABAFIN,2025-06-03,14.7,14.3,14.8,14.2,796701,11.494,545,-0.4,7920.928,2025-06-03 11:04:34.763,0,15.985666365811008,15.144444444444446,14.303222523077883
LANKABAFIN,2025-06-04,14.3,14.4,14.5,14.2,468824,6.71,319,0.1,7705.392,2025-06-04 11:04:57.028,0,15.853392136489608,15.055555555555555,14.257718974621502
