symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
LEGACYFOOT,2025-05-13,47.7,46.9,48.8,46.2,52083,2.48,272,-0.6,2046299000.0,2025-05-13 16:30:19.114,0,46.9,46.9,46.9
LEGACYFOOT,2025-05-14,47.8,45.4,47.9,45.1,35720,1.651,263,-1.5,2020451000.0,2025-05-14 11:48:20.012,0,47.65,46.15,44.65
LEGACYFOOT,2025-05-15,45.4,43.0,46.4,42.8,78137,3.434,317,-2.4,1955831000.0,2025-05-15 09:14:53.310,0,48.31247568084181,45.1,41.887524319158196
LEGACYFOOT,2025-05-17,43.6,44.8,45.1,43.0,68387,3.027,277,1.8,1852.439,2025-05-17 09:31:28.246,0,47.819190401529575,45.025,42.23080959847042
LEGACYFOOT,2025-05-18,45.9,44.6,46.4,44.1,72895,3.3,253,-0.2,1929.983,2025-05-18 11:00:11.677,0,47.46222124326951,44.94,42.417778756730485
LEGACYFOOT,2025-05-19,44.7,44.0,45.2,43.5,60986,2.716,237,-0.6,1921.367,2025-05-19 10:59:33.404,0,47.19003693415796,44.78333333333333,42.376629732508704
LEGACYFOOT,2025-05-20,44.9,45.7,46.0,44.3,81806,3.709,345,1.7,1895.519,2025-05-20 10:59:10.777,0,47.23297640745982,44.91428571428571,42.5955950211116
LEGACYFOOT,2025-05-21,45.9,50.2,50.2,45.9,226036,11.054,851,4.5,1968.755,2025-05-21 11:15:19.035,0,49.68930431543415,45.575,41.460695684565856
LEGACYFOOT,2025-05-22,50.4,49.0,52.0,48.6,168716,8.57,536,-1.2,2162.615,2025-05-22 10:59:27.696,0,50.391881473961575,45.955555555555556,41.519229637149536
LEGACYFOOT,2025-05-24,49.0,47.8,50.5,47.4,152471,7.46,614,-1.2,2110.919,2025-05-24 11:15:41.321,0,50.491735286066934,46.14,41.78826471393307
LEGACYFOOT,2025-05-25,48.8,47.2,48.8,46.2,166492,7.851,537,-0.6,2059.223,2025-05-25 11:15:46.026,0,50.430101589136676,46.23636363636364,42.04262568359061
LEGACYFOOT,2025-05-26,47.7,48.6,50.0,47.7,140354,6.884,648,1.4,2033.375,2025-05-26 10:59:37.508,0,50.65576022895734,46.43333333333334,42.21090643770933
LEGACYFOOT,2025-05-27,49.0,46.8,49.5,46.7,99213,4.736,413,-1.7,2093.687,2025-05-27 10:58:34.127,0,50.52301864760058,46.46153846153846,42.40005827547634
LEGACYFOOT,2025-05-28,47.4,45.8,47.7,45.3,111943,5.186,411,-1.0,2016.143,2025-05-28 11:15:24.624,0,50.342831168745306,46.41428571428571,42.485740259826116
LEGACYFOOT,2025-05-29,45.8,45.8,47.0,45.3,125913,5.798,525,,1973.063,2025-05-29 11:15:26.359,0,50.181021462485845,46.373333333333335,42.565645204180825
LEGACYFOOT,2025-06-01,46.0,46.3,46.7,45.9,46546,2.157,264,0.4,1973.063,2025-06-01 10:59:43.239,0,50.055699111392784,46.36875,42.68180088860721
LEGACYFOOT,2025-06-02,46.8,47.8,48.3,46.8,150211,7.179,510,1.5,1994.603,2025-06-02 10:59:14.348,0,50.09266815204821,46.45294117647059,42.813214200892965
LEGACYFOOT,2025-06-03,47.9,47.3,48.3,46.8,80979,3.849,341,-0.5,2059.223,2025-06-03 10:59:14.730,0,50.05840163868868,46.5,42.94159836131132
LEGACYFOOT,2025-06-04,47.9,47.4,47.9,46.3,65536,3.085,309,0.1,2037.683,2025-06-04 10:59:40.242,0,50.105986861511376,46.52777777777778,42.94956869404418
