symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
LHB,2025-05-13,45.2,45.1,45.3,45.1,204425,9.227,350,-0.2,52610220000.0,2025-05-13 16:30:29.461,0,45.1,45.1,45.1
LHB,2025-05-14,45.0,44.9,45.3,44.7,506492,22.778,390,-0.2,52377945000.0,2025-05-14 11:48:26.766,0,45.2,45.0,44.8
LHB,2025-05-15,45.0,44.5,45.1,44.4,487627,21.76,357,-0.4,52145670000.0,2025-05-15 09:14:43.688,0,45.332220984903195,44.833333333333336,44.334445681763476
LHB,2025-05-17,44.2,45.0,45.1,44.1,113942,5.096,215,0.5,51681.121,2025-05-17 09:31:05.846,0,45.33052167895722,44.875,44.41947832104278
LHB,2025-05-18,45.0,44.2,45.4,44.0,613250,27.294,498,-0.8,52261.808,2025-05-18 11:00:22.015,0,45.4164613810115,44.739999999999995,44.06353861898849
LHB,2025-05-19,44.5,44.1,44.5,44.0,258647,11.42,359,0.2,51332.709,2025-05-19 10:59:29.710,0,45.41364666071464,44.63333333333333,43.853020005952025
LHB,2025-05-20,44.0,44.0,44.3,43.8,389807,17.142,405,-0.1,51216.571,2025-05-20 10:59:24.634,0,45.3904226842395,44.542857142857144,43.695291601474786
LHB,2025-05-21,44.9,44.1,44.9,43.9,255428,11.275,274,0.1,51100.434,2025-05-21 11:18:27.620,0,45.33270707521885,44.4875,43.642292924781145
LHB,2025-05-22,44.8,44.0,44.8,43.9,308586,13.586,368,-0.1,51216.571,2025-05-22 11:00:00.005,0,45.28708323165771,44.43333333333333,43.57958343500895
LHB,2025-05-24,44.0,44.0,44.1,43.9,179819,7.908,241,,51100.434,2025-05-24 11:18:04.773,0,45.24064681272547,44.39,43.53935318727453
LHB,2025-05-25,47.4,43.9,47.4,43.8,155848,6.853,230,-0.1,51100.434,2025-05-25 11:17:43.354,0,45.20405228749946,44.345454545454544,43.48685680340963
LHB,2025-05-26,44.1,43.8,44.1,43.7,187267,8.209,261,-0.1,50984.297,2025-05-26 11:00:04.511,0,45.17559503577092,44.300000000000004,43.42440496422909
LHB,2025-05-27,43.9,43.7,44.1,43.6,165810,7.253,276,-0.1,50868.159,2025-05-27 10:58:57.385,0,45.15381328013597,44.25384615384615,43.353879027556324
LHB,2025-05-28,43.7,43.1,43.7,42.5,225271,9.725,495,-0.6,50752.022,2025-05-28 11:17:31.971,0,45.22276397102709,44.17142857142857,43.12009317183005
LHB,2025-05-29,43.1,42.7,43.4,42.5,447826,19.188,700,-0.4,50055.198,2025-05-29 11:17:52.777,0,45.32652481466765,44.07333333333334,42.820141851999026
LHB,2025-06-01,42.7,42.7,43.0,42.5,343426,14.677,507,,49590.648,2025-06-01 11:00:13.765,0,45.371109410202166,43.9875,42.60389058979783
LHB,2025-06-02,42.9,42.7,43.1,42.6,557667,23.89,482,,49590.648,2025-06-02 10:59:41.053,0,45.38446906572104,43.911764705882355,42.43906034604367
LHB,2025-06-03,42.9,42.9,43.0,42.7,332649,14.246,336,0.2,49590.648,2025-06-03 10:59:44.571,0,45.35995240364558,43.855555555555554,42.35115870746553
LHB,2025-06-04,43.1,43.3,43.4,42.9,223538,9.63,309,0.4,49822.923,2025-06-04 11:00:07.143,0,45.15113941938734,43.75555555555556,42.35997169172378
