symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
LINDEBD,2025-05-13,894.3,877.9,894.3,877.1,7868,6.92,501,-4.6,13430132000.0,2025-05-13 16:27:03.529,0,877.9,877.9,877.9
LINDEBD,2025-05-14,878.1,872.0,882.9,871.5,7120,6.223,572,-5.9,13360128000.0,2025-05-14 11:45:23.393,0,880.8500000000001,874.95,869.05
LINDEBD,2025-05-15,872.0,860.2,880.0,859.7,11798,10.205,824,-11.8,13270340000.0,2025-05-15 09:11:10.615,0,884.7505190546442,870.0333333333333,855.3161476120224
LINDEBD,2025-05-17,860.0,858.1,869.9,856.7,5046,4.332,514,-0.2,13090.764,2025-05-17 09:10:57.442,0,883.458839081422,867.05,850.641160918578
LINDEBD,2025-05-18,864.0,856.4,880.0,855.2,8141,6.989,586,-1.7,13058.806,2025-05-18 10:56:19.911,0,881.8902799034078,864.9200000000001,847.9497200965924
LINDEBD,2025-05-19,860.0,852.7,860.0,852.4,7800,6.663,529,-3.7,13032.935,2025-05-19 10:56:02.445,0,880.8542048264532,862.8833333333333,844.9124618402135
LINDEBD,2025-05-20,869.9,852.3,869.9,851.2,4181,3.565,402,-0.4,12976.627,2025-05-20 10:56:00.299,0,879.5834228250485,861.3714285714286,843.1594343178087
LINDEBD,2025-05-21,853.0,853.9,859.9,853.0,4333,3.701,332,1.6,12970.54,2025-05-21 10:57:08.966,0,878.1755769814545,860.4375,842.6994230185455
LINDEBD,2025-05-22,854.3,853.4,859.8,853.2,3410,2.912,268,,12994.889,2025-05-22 10:55:38.253,0,876.954267417968,859.6555555555556,842.3568436931431
LINDEBD,2025-05-24,859.0,851.4,859.0,851.0,4390,3.742,343,-2.0,12987.28,2025-05-24 10:56:56.915,0,875.9722402269948,858.8299999999999,841.687759773005
LINDEBD,2025-05-25,851.5,841.6,852.7,841.0,7119,6.018,514,-9.8,12956.844,2025-05-25 10:57:14.590,0,876.3759879581178,857.2636363636364,838.1512847691549
LINDEBD,2025-05-26,845.0,829.4,845.0,828.0,8732,7.273,798,-12.2,12807.704,2025-05-26 10:56:41.548,0,878.8596457247355,854.9416666666666,831.0236876085977
LINDEBD,2025-05-27,828.2,810.8,828.2,810.0,10382,8.456,837,-18.6,12622.041,2025-05-27 10:55:43.716,0,884.4320278661518,851.5461538461539,818.6602798261559
LINDEBD,2025-05-28,814.4,788.6,814.4,780.0,13695,10.805,959,-22.2,12338.981,2025-05-28 10:56:55.365,0,892.386881863918,847.0500000000001,801.7131181360821
LINDEBD,2025-05-29,799.0,808.2,810.0,778.5,8187,6.539,597,19.6,12001.136,2025-05-29 10:56:56.828,0,892.3563213618748,844.4599999999999,796.563678638125
LINDEBD,2025-06-01,810.0,813.1,816.3,803.1,4757,3.866,334,4.9,12299.414,2025-06-01 10:56:07.380,0,891.2972847605273,842.5,793.7027152394727
LINDEBD,2025-06-02,813.6,839.8,845.0,812.0,9898,8.217,831,26.7,12373.983,2025-06-02 10:55:56.193,0,889.6985441847739,842.3411764705882,794.9838087564024
LINDEBD,2025-06-03,840.0,838.9,849.0,832.6,7884,6.632,597,-0.9,12780.312,2025-06-03 10:55:57.769,0,888.2000814331528,842.1500000000001,796.0999185668474
LINDEBD,2025-06-04,838.5,848.4,850.0,832.0,5006,4.223,524,9.5,12766.615,2025-06-04 10:56:25.971,0,883.3425579639338,840.5111111111112,797.6796642582885
