symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
LRBDL,2025-05-13,14.3,13.8,14.3,13.8,161418,2.256,214,-0.5,2076976999.9999998,2025-05-13 16:34:40.790,0,13.8,13.8,13.8
LRBDL,2025-05-14,13.8,13.5,14.0,13.4,139528,1.899,160,-0.3,2004355000.0,2025-05-14 11:52:54.598,0,13.950000000000001,13.65,13.35
LRBDL,2025-05-15,13.5,13.4,13.7,13.3,204752,2.746,199,-0.1,1960782000.0,2025-05-15 09:19:08.602,0,13.906601300906187,13.566666666666668,13.22673203242715
LRBDL,2025-05-17,13.5,13.3,13.7,13.1,84400,1.132,93,-0.1,1946.258,2025-05-17 10:00:08.840,0,13.874165738677394,13.5,13.125834261322606
LRBDL,2025-05-18,13.7,13.3,13.7,13.2,92309,1.228,103,,1931.734,2025-05-18 11:05:42.237,0,13.830944739819827,13.459999999999999,13.08905526018017
LRBDL,2025-05-19,13.4,13.4,13.5,13.1,96828,1.292,99,0.1,1931.734,2025-05-19 11:04:10.978,0,13.791565025531987,13.450000000000001,13.108434974468015
LRBDL,2025-05-20,13.5,13.3,13.6,13.1,97020,1.289,133,-0.1,1946.258,2025-05-20 11:04:47.996,0,13.761768679705446,13.428571428571429,13.095374177437412
LRBDL,2025-05-21,13.5,13.5,13.7,13.4,108443,1.467,92,0.2,1931.734,2025-05-21 11:47:42.108,0,13.752738005322962,13.4375,13.122261994677038
LRBDL,2025-05-22,13.6,13.6,13.9,13.5,166185,2.271,150,0.1,1960.782,2025-05-22 11:07:20.302,0,13.76982523608291,13.455555555555556,13.141285875028201
LRBDL,2025-05-24,13.2,13.4,13.6,13.2,86010,1.158,85,-0.2,1975.307,2025-05-24 11:47:15.720,0,13.749999999999998,13.45,13.15
LRBDL,2025-05-25,13.4,13.5,13.7,13.4,172750,2.336,109,0.1,1946.258,2025-05-25 11:46:52.781,0,13.74202524183349,13.454545454545455,13.16706566725742
LRBDL,2025-05-26,13.6,13.6,13.8,13.5,41152,0.559,53,0.1,1960.782,2025-05-26 11:04:51.474,0,13.753410842234754,13.466666666666667,13.17992249109858
LRBDL,2025-05-27,13.7,13.6,13.7,13.5,63675,0.865,72,,1975.307,2025-05-27 11:03:22.468,0,13.761434492444721,13.476923076923075,13.19241166140143
LRBDL,2025-05-28,13.6,13.3,13.6,13.2,74771,0.997,152,-0.3,1975.307,2025-05-28 11:45:43.262,0,13.753196405945095,13.464285714285714,13.175375022626332
LRBDL,2025-05-29,13.3,13.5,13.6,13.3,83460,1.13,114,0.2,1931.734,2025-05-29 11:45:25.844,0,13.746349026178708,13.466666666666667,13.186984307154626
LRBDL,2025-06-01,13.6,13.5,13.7,13.4,43340,0.587,99,,1960.782,2025-06-01 11:05:55.463,0,13.740031680177633,13.46875,13.197468319822367
LRBDL,2025-06-02,13.7,13.7,13.7,13.5,49955,0.681,50,0.2,1960.782,2025-06-02 11:04:32.687,0,13.767146316162593,13.48235294117647,13.197559566190348
LRBDL,2025-06-03,13.7,13.6,13.8,13.5,189016,2.576,205,-0.1,1989.831,2025-06-03 11:04:44.922,0,13.770857278676656,13.488888888888889,13.206920499101122
LRBDL,2025-06-04,13.7,14.2,14.4,13.7,484961,6.789,673,0.6,1975.307,2025-06-04 11:05:01.433,0,13.921470784724875,13.511111111111111,13.100751437497347
