symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
LRGLOBMF1,2025-05-13,4.0,3.9,4.0,3.8,604842,2.351,97,-0.1,1244321000.0,2025-05-13 16:37:58.484,0,3.9,3.9,3.9
LRGLOBMF1,2025-05-14,3.9,3.9,4.0,3.8,969491,3.799,146,,1213213000.0,2025-05-14 11:56:41.400,0,3.9,3.9,3.9
LRGLOBMF1,2025-05-15,3.9,3.8,3.9,3.7,369649,1.409,41,,1213213000.0,2025-05-15 09:22:55.650,0,3.960947570824873,3.8666666666666667,3.7723857625084602
LRGLOBMF1,2025-05-17,3.8,3.8,3.9,3.8,39689,0.151,18,,1182.105,2025-05-17 10:21:56.658,0,3.9499999999999997,3.8499999999999996,3.7499999999999996
LRGLOBMF1,2025-05-18,3.9,3.8,4.0,3.7,922351,3.556,68,,1182.105,2025-05-18 11:09:31.803,0,3.937979589711327,3.84,3.7420204102886725
LRGLOBMF1,2025-05-19,3.8,3.8,3.9,3.6,533528,1.998,46,,1182.105,2025-05-19 11:08:02.449,0,3.92761423749154,3.8333333333333335,3.739052429175127
LRGLOBMF1,2025-05-20,3.7,3.7,3.8,3.7,85901,0.322,14,,1182.105,2025-05-20 11:08:41.028,0,3.942061027285702,3.814285714285714,3.686510401285726
LRGLOBMF1,2025-05-21,3.9,3.9,4.0,3.8,710448,2.778,79,0.2,1150.997,2025-05-21 12:09:13.796,0,3.957287565553229,3.8249999999999997,3.6927124344467703
LRGLOBMF1,2025-05-22,4.0,3.9,4.0,3.8,231961,0.908,21,-0.1,1213.213,2025-05-22 11:11:21.474,0,3.966666666666667,3.8333333333333335,3.7
LRGLOBMF1,2025-05-24,3.8,3.7,3.8,3.7,373015,1.381,25,-0.1,1213.213,2025-05-24 12:09:22.253,0,3.9696662954709576,3.8200000000000003,3.670333704529043
LRGLOBMF1,2025-05-25,3.8,3.7,3.8,3.7,11314,0.042,11,,1150.997,2025-05-25 12:08:29.318,0,3.9675963252196604,3.809090909090909,3.6505854929621577
LRGLOBMF1,2025-05-26,3.8,3.8,3.8,3.7,135507,0.51,15,,1150.997,2025-05-26 11:08:42.725,0,3.9601738929857384,3.8083333333333336,3.6564927736809287
LRGLOBMF1,2025-05-27,3.8,3.7,3.9,3.6,393349,1.461,21,-0.1,1182.105,2025-05-27 11:07:06.334,0,3.9568929081105466,3.8,3.643107091889453
LRGLOBMF1,2025-05-28,3.8,3.7,3.8,3.6,125950,0.465,20,,1150.997,2025-05-28 12:07:10.836,0,3.9525762841071277,3.792857142857143,3.6331380016071586
LRGLOBMF1,2025-05-29,3.8,3.7,3.8,3.7,74100,0.274,18,,1150.997,2025-05-29 12:07:03.830,0,3.947773946314594,3.7866666666666666,3.6255593870187393
LRGLOBMF1,2025-06-01,3.9,3.7,3.9,3.7,20687,0.077,7,0.1,1150.997,2025-06-01 11:09:31.608,0,3.9427855997915007,3.78125,3.6197144002084993
LRGLOBMF1,2025-06-02,3.8,3.8,3.8,3.7,15085,0.057,6,,1150.997,2025-06-02 11:08:05.217,0,3.939313694872074,3.7823529411764705,3.625392187480867
LRGLOBMF1,2025-06-03,3.7,3.7,3.7,3.7,38000,0.141,12,-0.1,1182.105,2025-06-03 11:08:41.063,0,3.9349126180414546,3.7777777777777777,3.6206429375141007
LRGLOBMF1,2025-06-04,3.7,3.7,3.8,3.6,102450,0.376,27,-0.1,1150.997,2025-06-04 11:08:57.680,0,3.915737865166652,3.7666666666666666,3.617595468166681
