symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MAGURAPLEX,2025-05-13,81.2,78.5,82.4,77.0,387057,31.074,1313,-1.8,2377151000.0,2025-05-13 16:29:10.404,0,78.5,78.5,78.5
MAGURAPLEX,2025-05-14,79.0,83.2,86.3,78.7,1296488,109.176,3190,4.7,2323865000.0,2025-05-14 11:47:14.283,0,85.55000000000001,80.85,76.14999999999998
MAGURAPLEX,2025-05-15,83.5,80.5,84.5,80.0,338802,27.682,1580,-2.7,2463001000.0,2025-05-15 09:13:19.583,0,84.58502848684115,80.73333333333333,76.88163817982552
MAGURAPLEX,2025-05-17,80.5,81.4,82.4,77.8,467932,37.232,1764,1.4,2383.072,2025-05-17 09:22:56.283,0,84.28526217596216,80.9,77.51473782403785
MAGURAPLEX,2025-05-18,81.7,80.1,83.8,79.7,469369,38.385,1778,-1.3,2409.715,2025-05-18 10:58:28.733,0,83.83476978142156,80.74,77.64523021857843
MAGURAPLEX,2025-05-19,80.4,79.8,80.9,78.5,276042,21.994,1327,-0.3,2371.231,2025-05-19 10:58:07.131,0,83.49404153276217,80.58333333333333,77.67262513390449
MAGURAPLEX,2025-05-20,79.0,79.8,81.0,78.0,266822,21.17,1173,,2362.35,2025-05-20 10:58:00.034,0,83.22141929497508,80.47142857142856,77.72143784788204
MAGURAPLEX,2025-05-21,80.2,79.3,81.2,78.7,371654,29.7,1441,-0.5,2362.35,2025-05-21 11:09:33.736,0,83.01154052640194,80.325,77.63845947359806
MAGURAPLEX,2025-05-22,79.9,78.2,80.3,78.0,275832,21.761,1065,-1.1,2347.548,2025-05-22 10:58:18.155,0,82.9523668742835,80.08888888888889,77.22541090349428
MAGURAPLEX,2025-05-24,77.0,77.2,78.7,76.3,211158,16.377,924,-1.0,2314.984,2025-05-24 11:09:08.604,0,83.02242144977966,79.8,76.57757855022034
MAGURAPLEX,2025-05-25,78.0,77.2,78.2,76.7,149884,11.611,603,,2285.381,2025-05-25 11:09:19.825,0,82.98046394837073,79.56363636363636,76.146808778902
MAGURAPLEX,2025-05-26,78.0,76.0,78.0,75.6,231419,17.762,801,-1.2,2285.381,2025-05-26 10:58:37.265,0,83.08533426443192,79.26666666666667,75.44799906890141
MAGURAPLEX,2025-05-27,76.1,74.9,77.2,74.6,156507,11.828,747,-0.7,2249.857,2025-05-27 10:57:46.835,0,83.27544563042795,78.93076923076923,74.5860928311105
MAGURAPLEX,2025-05-28,76.1,74.6,76.6,73.8,174155,12.971,799,-0.3,2217.293,2025-05-28 11:08:45.160,0,83.36525377383859,78.62142857142858,73.87760336901857
MAGURAPLEX,2025-05-29,75.0,76.9,78.8,74.2,276444,21.251,1070,2.3,2208.412,2025-05-29 11:08:49.106,0,83.16940787281949,78.50666666666666,73.84392546051383
MAGURAPLEX,2025-06-01,76.8,77.2,78.4,76.8,148260,11.504,627,0.3,2276.5,2025-06-01 10:58:39.290,0,82.98378273226527,78.425,73.86621726773473
MAGURAPLEX,2025-06-02,77.4,75.7,77.7,75.3,189839,14.472,947,-1.5,2285.381,2025-06-02 10:58:05.249,0,82.86953259632861,78.26470588235294,73.65987916837727
MAGURAPLEX,2025-06-03,76.7,76.1,77.4,75.0,171923,13.147,712,0.4,2240.976,2025-06-03 10:58:06.946,0,82.72809763193692,78.14444444444445,73.56079125695197
MAGURAPLEX,2025-06-04,76.8,77.0,77.7,75.6,146745,11.257,686,0.9,2252.817,2025-06-04 10:58:45.654,0,82.67034767787517,78.0611111111111,73.45187454434704
