symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MAKSONSPIN,2025-05-13,5.8,5.5,5.8,5.5,295384,1.68,115,-0.1,1405572000.0,2025-05-13 16:37:14.204,0,5.5,5.5,5.5
MAKSONSPIN,2025-05-14,5.5,5.8,5.8,5.5,88272,0.505,84,0.3,1310279000.0,2025-05-14 11:55:42.855,0,5.949999999999999,5.65,5.350000000000001
MAKSONSPIN,2025-05-15,5.7,5.6,5.7,5.6,66986,0.377,36,-0.2,1381749000.0,2025-05-15 09:22:01.895,0,5.882777159118262,5.633333333333333,5.383889507548404
MAKSONSPIN,2025-05-17,5.8,5.7,5.8,5.6,59137,0.336,37,0.1,1334.102,2025-05-17 10:16:53.140,0,5.873606797749979,5.65,5.426393202250022
MAKSONSPIN,2025-05-18,5.7,5.7,5.8,5.6,14327,0.082,23,,1357.925,2025-05-18 11:08:33.770,0,5.863960780543711,5.66,5.456039219456289
MAKSONSPIN,2025-05-19,5.8,5.7,6.0,5.7,203423,1.187,71,,1357.925,2025-05-19 11:06:57.814,0,5.855228474983079,5.666666666666667,5.478104858350255
MAKSONSPIN,2025-05-20,5.9,5.7,5.9,5.7,67797,0.388,35,,1357.925,2025-05-20 11:07:45.645,0,5.847554685799114,5.671428571428572,5.495302457058029
MAKSONSPIN,2025-05-21,5.9,5.8,5.9,5.6,99026,0.565,42,0.1,1357.925,2025-05-21 12:04:22.168,0,5.872904962177391,5.6875,5.502095037822609
MAKSONSPIN,2025-05-22,5.7,5.8,5.9,5.7,48283,0.279,36,0.1,1381.749,2025-05-22 11:10:31.913,0,5.888561808316411,5.699999999999999,5.511438191683587
MAKSONSPIN,2025-05-24,5.8,5.7,5.8,5.6,40765,0.231,31,-0.1,1381.749,2025-05-24 12:04:11.308,0,5.878885438199983,5.7,5.521114561800017
MAKSONSPIN,2025-05-25,5.8,5.6,5.8,5.6,52210,0.294,36,-0.1,1357.925,2025-05-25 12:02:28.116,0,5.870899907938394,5.690909090909091,5.510918273879788
MAKSONSPIN,2025-05-26,5.8,5.6,5.8,5.5,68819,0.385,50,,1334.102,2025-05-26 11:07:32.688,0,5.8628388269044835,5.683333333333334,5.503827839762184
MAKSONSPIN,2025-05-27,5.5,5.7,5.8,5.5,61278,0.346,56,0.1,1334.102,2025-05-27 11:05:56.910,0,5.857307264004952,5.684615384615385,5.511923505225818
MAKSONSPIN,2025-05-28,5.7,5.5,5.7,5.4,177264,0.976,88,-0.3,1357.925,2025-05-28 12:02:09.421,0,5.863091540928553,5.671428571428572,5.47976560192859
MAKSONSPIN,2025-05-29,5.4,5.4,5.7,5.3,217733,1.177,64,,1310.279,2025-05-29 12:01:24.830,0,5.8827286737878035,5.653333333333333,5.423937992878863
MAKSONSPIN,2025-06-01,5.3,5.3,5.6,5.3,48241,0.257,75,-0.1,1286.456,2025-06-01 11:08:41.928,0,5.911595768650072,5.63125,5.3509042313499275
MAKSONSPIN,2025-06-02,5.6,5.5,5.6,5.4,16940,0.093,38,0.3,1262.632,2025-06-02 11:07:00.996,0,5.902429872732463,5.623529411764705,5.344628950796948
MAKSONSPIN,2025-06-03,5.5,5.5,5.6,5.5,27786,0.153,23,,1310.279,2025-06-03 11:07:33.530,0,5.8935541287639355,5.616666666666666,5.339779204569397
MAKSONSPIN,2025-06-04,5.4,5.5,5.6,5.4,38211,0.21,24,,1310.279,2025-06-04 11:07:54.258,0,5.8935541287639355,5.616666666666666,5.339779204569397
