symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MARICO,2025-05-13,2570.2,2574.2,2585.0,2568.0,3790,9.772,243,-6.0,81276300000.0,2025-05-13 16:26:52.258,0,2574.2,2574.2,2574.2
MARICO,2025-05-14,2580.0,2574.2,2583.7,2570.0,2090,5.382,142,,81087300000.0,2025-05-14 11:45:16.658,0,2574.2,2574.2,2574.2
MARICO,2025-05-15,2579.0,2563.2,2580.0,2560.5,889,2.284,186,-11.0,81087300000.0,2025-05-15 09:10:56.936,0,2580.904232790736,2570.5333333333333,2560.1624338759307
MARICO,2025-05-17,2562.1,2560.1,2574.0,2547.1,3164,8.09,479,-3.1,80740.8,2025-05-17 09:10:06.741,0,2580.6649960753525,2567.9249999999997,2555.185003924647
MARICO,2025-05-18,2560.0,2542.0,2565.0,2540.0,1321,3.368,182,-18.1,80643.15,2025-05-18 10:56:00.719,0,2586.4041839073316,2562.74,2539.075816092668
MARICO,2025-05-19,2535.0,2508.5,2560.0,2415.0,2352,5.898,307,-33.5,80073.0,2025-05-19 10:55:51.241,0,2599.5376846419335,2553.7,2507.862315358066
MARICO,2025-05-20,2500.0,2517.7,2524.0,2500.0,1811,4.547,183,9.2,79017.75,2025-05-20 10:55:42.951,0,2597.910082516916,2548.5571428571425,2499.2042031973688
MARICO,2025-05-21,2510.0,2507.5,2539.0,2505.0,4448,11.185,370,-10.2,79307.55,2025-05-21 10:56:22.520,0,2596.985596523937,2543.4249999999997,2489.8644034760623
MARICO,2025-05-22,2510.0,2455.5,2514.7,2445.1,4758,11.787,421,-52.0,78986.25,2025-05-22 10:55:31.936,0,2608.5163217885274,2533.655555555555,2458.794789322583
MARICO,2025-05-24,2460.0,2471.3,2510.0,2443.3,2447,6.029,432,15.8,77348.25,2025-05-24 10:56:08.420,0,2607.691280044609,2527.42,2447.1487199553912
MARICO,2025-05-25,2467.0,2471.9,2510.0,2467.0,2881,7.134,450,0.6,77845.95,2025-05-25 10:56:19.771,0,2605.2986346581906,2522.372727272727,2439.4468198872632
MARICO,2025-05-27,2348.4,2348.3,2348.4,2348.3,475,1.115,83,-123.6,77864.85,2025-05-27 10:55:37.179,0,2632.615944108351,2507.866666666667,2383.1173892249826
MARICO,2025-05-28,2231.1,2281.0,2290.0,2230.9,12254,27.758,700,-67.3,73971.45,2025-05-28 10:56:05.852,0,2660.660923965581,2490.415384615385,2320.169845265189
MARICO,2025-05-29,2255.0,2299.7,2318.9,2250.0,4404,10.097,413,18.7,71851.5,2025-05-29 10:56:07.008,0,2668.0076572915864,2476.792857142857,2285.5780569941276
MARICO,2025-06-01,2300.0,2307.7,2316.7,2299.7,2068,4.759,195,6.3,72440.55,2025-06-01 10:55:58.786,0,2668.6009913967005,2465.52,2262.4390086032995
MARICO,2025-06-02,2307.7,2329.5,2337.9,2307.7,2399,5.568,276,21.8,72692.55,2025-06-02 10:55:45.267,0,2664.384480278053,2457.01875,2249.653019721947
MARICO,2025-06-03,2340.0,2349.4,2353.0,2340.0,2650,6.225,378,19.9,73379.25,2025-06-03 10:55:51.137,0,2658.139262908183,2450.6882352941175,2243.237207680052
MARICO,2025-06-04,2399.9,2360.0,2399.9,2350.0,3619,8.529,250,10.6,74006.1,2025-06-04 10:56:17.891,0,2651.4925207126394,2445.6499999999996,2239.80747928736
