symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MATINSPINN,2025-05-13,44.0,43.6,44.0,43.6,17421,0.762,70,-0.1,4260313000.0,2025-05-13 16:30:33.761,0,43.6,43.6,43.6
MATINSPINN,2025-05-14,43.6,43.6,43.9,43.4,20460,0.893,68,,4250564000.0000005,2025-05-14 11:48:29.092,0,43.6,43.6,43.6
MATINSPINN,2025-05-15,43.6,43.0,43.6,43.0,39492,1.703,194,-0.6,4250564000.0000005,2025-05-15 09:14:52.011,0,43.965685424949235,43.4,42.83431457505076
MATINSPINN,2025-05-17,43.3,43.1,43.3,42.6,28944,1.24,99,0.1,4192.07,2025-05-17 09:31:52.429,0,43.879526825320475,43.325,42.77047317467953
MATINSPINN,2025-05-18,43.3,43.0,43.5,42.9,32062,1.385,104,-0.1,4201.819,2025-05-18 11:00:27.765,0,43.82000000000001,43.260000000000005,42.7
MATINSPINN,2025-05-19,43.1,43.2,43.6,43.1,21544,0.934,68,0.2,4192.07,2025-05-19 10:59:36.500,0,43.76316014394469,43.25,42.73683985605531
MATINSPINN,2025-05-20,43.8,43.8,43.9,43.2,53293,2.325,90,0.6,4211.568,2025-05-20 10:59:29.526,0,43.94002670168665,43.32857142857143,42.71711615545621
MATINSPINN,2025-05-21,43.9,43.7,43.9,43.2,22323,0.973,95,,4270.062,2025-05-21 11:18:50.782,0,43.99749497989943,43.375,42.75250502010057
MATINSPINN,2025-05-22,43.7,43.1,43.8,43.0,43005,1.861,139,-0.1,4260.313,2025-05-22 11:00:02.123,0,43.95626221768605,43.34444444444445,42.732626671202844
MATINSPINN,2025-05-24,43.7,43.3,43.7,43.1,20170,0.872,68,0.2,4201.819,2025-05-24 11:18:32.303,0,43.92103356185335,43.339999999999996,42.75896643814664
MATINSPINN,2025-05-26,43.0,43.1,43.5,42.9,33958,1.463,107,0.1,4192.07,2025-05-26 11:00:10.595,0,43.88910248974937,43.31818181818182,42.74726114661427
MATINSPINN,2025-05-27,43.3,42.7,43.3,42.6,23481,1.007,126,-0.4,4201.819,2025-05-27 10:59:02.728,0,43.91130265352713,43.26666666666667,42.622030679806215
MATINSPINN,2025-05-28,42.7,42.2,42.8,42.0,32386,1.371,138,-0.5,4162.823,2025-05-28 11:17:54.474,0,44.025296990296255,43.184615384615384,42.34393377893451
MATINSPINN,2025-05-29,42.1,42.9,43.0,42.1,27008,1.154,81,0.7,4114.078,2025-05-29 11:17:27.578,0,43.987544544812785,43.16428571428571,42.34102688375864
MATINSPINN,2025-06-01,42.8,43.3,43.4,42.8,17248,0.744,75,0.4,4182.321,2025-06-01 11:00:07.700,0,43.9715535758451,43.17333333333333,42.375113090821564
MATINSPINN,2025-06-02,43.5,43.6,43.7,43.3,26156,1.139,98,0.2,4221.317,2025-06-02 10:59:35.943,0,44.0,43.2,42.400000000000006
MATINSPINN,2025-06-03,43.9,43.2,43.9,43.1,16821,0.731,121,-0.4,4250.564,2025-06-03 10:59:43.322,0,43.97611400011626,43.199999999999996,42.42388599988373
MATINSPINN,2025-06-04,43.6,43.7,43.8,43.2,28729,1.253,56,0.5,4211.568,2025-06-04 11:00:05.929,0,44.016040440023914,43.22777777777778,42.43951511553165
