symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MBL1STMF,2025-05-13,4.7,4.5,4.7,4.4,211054,0.97,49,-0.2,470000000.0,2025-05-13 16:37:36.894,0,4.5,4.5,4.5
MBL1STMF,2025-05-14,4.5,4.5,4.6,4.3,202668,0.901,78,,450000000.0,2025-05-14 11:56:27.040,0,4.5,4.5,4.5
MBL1STMF,2025-05-15,4.3,4.4,4.6,4.3,59563,0.263,36,-0.1,450000000.0,2025-05-15 09:22:34.703,0,4.560947570824872,4.466666666666667,4.372385762508461
MBL1STMF,2025-05-17,4.5,4.6,4.7,4.3,411244,1.881,49,0.3,440.0,2025-05-17 10:19:08.774,0,4.641421356237309,4.5,4.358578643762691
MBL1STMF,2025-05-18,4.3,4.4,4.7,4.3,247166,1.087,37,-0.2,460.0,2025-05-18 11:09:15.633,0,4.629666295470956,4.4799999999999995,4.330333704529043
MBL1STMF,2025-05-19,4.2,4.4,4.6,4.2,150885,0.662,30,,440.0,2025-05-19 11:07:42.615,0,4.615737865166652,4.466666666666667,4.317595468166681
MBL1STMF,2025-05-20,4.6,4.4,4.6,4.3,329336,1.458,48,,440.0,2025-05-20 11:08:21.600,0,4.602829128959794,4.457142857142857,4.311456585325921
MBL1STMF,2025-05-21,4.6,4.5,4.6,4.5,98219,0.447,33,0.2,440.0,2025-05-21 12:07:13.169,0,4.601694109070751,4.4625,4.32330589092925
MBL1STMF,2025-05-22,4.6,4.5,4.6,4.4,143260,0.644,20,,450.0,2025-05-22 11:11:10.495,0,4.6,4.466666666666667,4.333333333333334
MBL1STMF,2025-05-24,4.5,4.4,4.5,4.3,325460,1.431,19,-0.1,450.0,2025-05-24 12:07:48.020,0,4.592664991614216,4.46,4.327335008385784
MBL1STMF,2025-05-25,4.5,4.4,4.5,4.4,13555,0.06,4,,440.0,2025-05-25 12:06:10.856,0,4.585656410016871,4.454545454545454,4.323434499074037
MBL1STMF,2025-05-26,4.5,4.4,4.5,4.4,39169,0.173,28,,440.0,2025-05-26 11:08:17.660,0,4.57909944487358,4.45,4.32090055512642
MBL1STMF,2025-05-27,4.5,4.3,4.5,4.3,51265,0.222,12,,440.0,2025-05-27 11:06:44.179,0,4.586025585332699,4.438461538461539,4.290897491590378
MBL1STMF,2025-05-28,4.2,4.2,4.4,4.2,15095,0.064,10,-0.1,430.0,2025-05-28 12:05:36.566,0,4.609327806256656,4.421428571428572,4.233529336600488
MBL1STMF,2025-05-29,4.3,4.3,4.4,4.2,224393,0.964,30,0.2,420.0,2025-05-29 12:03:46.068,0,4.60470266792543,4.413333333333333,4.221963998741236
MBL1STMF,2025-06-01,4.5,4.3,4.5,4.3,40898,0.176,17,0.1,430.0,2025-06-01 11:09:03.290,0,4.599495310421753,4.40625,4.213004689578247
MBL1STMF,2025-06-02,4.5,4.4,4.5,4.4,8015,0.035,5,0.2,430.0,2025-06-02 11:07:21.522,0,4.593380911182461,4.405882352941177,4.218383794699893
MBL1STMF,2025-06-03,4.4,4.3,4.4,4.3,8671,0.038,10,-0.1,440.0,2025-06-03 11:08:21.703,0,4.588561808316412,4.4,4.211438191683588
MBL1STMF,2025-06-04,4.5,4.5,4.5,4.5,1006,0.005,4,0.2,430.0,2025-06-04 11:08:15.986,0,4.588561808316412,4.4,4.211438191683588
