symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MEGHNACEM,2025-05-13,41.2,38.2,41.2,38.0,2220,0.085,28,-0.1,1209841000.0,2025-05-13 16:30:59.203,0,38.2,38.2,38.2
MEGHNACEM,2025-05-14,39.4,38.3,39.4,36.0,4003,0.152,55,0.2,1206682000.0,2025-05-14 11:48:51.949,0,38.349999999999994,38.25,38.150000000000006
MEGHNACEM,2025-05-15,38.5,37.7,38.5,37.5,5737,0.217,47,-0.1,1209841000.0,2025-05-15 09:15:14.000,0,38.59160052493412,38.06666666666667,37.54173280839922
MEGHNACEM,2025-05-17,38.9,38.9,38.9,38.9,20,0.001,1,1.2,1190.888,2025-05-17 09:34:36.658,0,39.12793610546159,38.275,37.422063894538404
MEGHNACEM,2025-05-18,38.0,37.3,38.0,36.0,6698,0.245,92,-1.2,1228.794,2025-05-18 11:01:00.892,0,39.17105453575887,38.08,36.98894546424113
MEGHNACEM,2025-05-19,36.2,36.1,37.3,35.8,1082,0.039,15,-0.1,1178.252,2025-05-19 11:00:07.213,0,39.53044938147649,37.75,35.96955061852351
MEGHNACEM,2025-05-20,37.2,37.3,37.5,37.2,910,0.034,36,1.3,1140.346,2025-05-20 11:00:04.096,0,39.36390573206726,37.68571428571429,36.00752283936132
MEGHNACEM,2025-05-21,35.5,37.4,37.9,35.5,1569,0.058,58,0.6,1178.252,2025-05-21 11:21:42.597,0,39.23113883008419,37.65,36.068861169915806
MEGHNACEM,2025-05-22,38.1,37.4,38.3,36.4,6761,0.252,65,0.2,1181.411,2025-05-22 11:00:43.831,0,39.12119306258135,37.62222222222223,36.123251381863106
MEGHNACEM,2025-05-24,36.5,36.1,37.0,36.0,8696,0.314,39,-1.4,1181.411,2025-05-24 11:22:04.964,0,39.16008875506584,37.47,35.779911244934155
MEGHNACEM,2025-05-25,36.1,37.6,38.3,36.0,4637,0.171,34,2.2,1140.346,2025-05-25 11:20:38.013,0,39.09498712820501,37.481818181818184,35.868649235431356
MEGHNACEM,2025-05-26,39.0,37.6,39.0,35.8,336,0.013,26,,1187.729,2025-05-26 11:00:42.104,0,39.03753930767635,37.49166666666667,35.94579402565699
MEGHNACEM,2025-05-27,37.5,36.3,37.5,36.0,888,0.032,35,-0.2,1187.729,2025-05-27 10:59:27.072,0,39.015311353650056,37.4,35.78468864634994
MEGHNACEM,2025-05-28,38.6,36.8,38.6,35.2,13234,0.477,101,0.7,1146.664,2025-05-28 11:20:27.825,0,38.94407932308558,37.357142857142854,35.77020639120013
MEGHNACEM,2025-05-29,37.1,37.0,37.1,36.8,576,0.021,6,0.2,1162.458,2025-05-29 11:21:01.745,0,38.87677825370537,37.333333333333336,35.789888412961304
MEGHNACEM,2025-06-01,37.0,37.2,38.3,36.8,1354,0.05,60,1.3,1168.776,2025-06-01 11:00:50.413,0,38.82082753016517,37.325,35.82917246983484
MEGHNACEM,2025-06-02,38.2,37.0,38.3,36.1,3041,0.113,34,0.6,1175.093,2025-06-02 10:59:56.807,0,38.76508533964365,37.30588235294118,35.84667936623872
MEGHNACEM,2025-06-03,37.0,37.7,38.0,37.0,2368,0.089,23,0.9,1168.776,2025-06-03 11:00:08.706,0,38.75731625117176,37.327777777777776,35.89823930438379
MEGHNACEM,2025-06-04,37.8,37.7,38.0,37.5,2070,0.078,31,0.3,1190.888,2025-06-04 11:00:29.524,0,38.67921072437181,37.3,35.92078927562818
