symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MEGHNALIFE,2025-05-13,48.9,47.6,48.9,47.5,111381,5.337,227,-0.6,2043932000.0,2025-05-13 16:30:16.468,0,47.6,47.6,47.6
MEGHNALIFE,2025-05-14,48.2,46.4,48.2,46.1,126856,5.933,423,-1.2,2018488000.0,2025-05-14 11:48:11.294,0,48.2,47.0,45.8
MEGHNALIFE,2025-05-15,46.9,45.8,46.9,45.0,91525,4.196,351,-0.6,1967602000.0,2025-05-15 09:14:37.500,0,48.096662954709586,46.6,45.10333704529042
MEGHNALIFE,2025-05-17,46.6,46.4,46.8,45.2,53904,2.484,392,0.6,1942.159,2025-05-17 09:30:23.131,0,47.857669683062205,46.55,45.24233031693779
MEGHNALIFE,2025-05-18,46.7,45.5,47.4,45.5,146684,6.804,315,-0.9,1967.602,2025-05-18 11:00:04.662,0,47.78,46.339999999999996,44.89999999999999
MEGHNALIFE,2025-05-19,46.0,44.8,46.3,44.5,139593,6.281,450,-0.7,1929.437,2025-05-19 10:59:21.798,0,47.82848534836113,46.083333333333336,44.338181318305544
MEGHNALIFE,2025-05-20,45.3,45.3,45.6,44.4,86934,3.914,451,0.5,1899.754,2025-05-20 10:59:18.563,0,47.6775998430667,45.971428571428575,44.26525729979045
MEGHNALIFE,2025-05-21,45.8,46.4,47.0,45.3,150316,6.975,462,1.1,1920.956,2025-05-21 11:17:17.592,0,47.64595650774473,46.025,44.40404349225527
MEGHNALIFE,2025-05-22,46.6,47.2,48.3,46.1,310992,14.728,712,0.8,1967.602,2025-05-22 10:59:39.850,0,47.85290279590474,46.15555555555555,44.45820831520636
MEGHNALIFE,2025-05-24,47.0,46.4,48.0,46.1,70478,3.329,281,-0.8,2001.526,2025-05-24 11:16:26.599,0,47.79691063451262,46.18,44.56308936548738
MEGHNALIFE,2025-05-25,46.8,45.4,46.8,44.9,93168,4.264,283,-1.0,1967.602,2025-05-25 11:16:33.525,0,47.71465973030955,46.10909090909091,44.50352208787227
MEGHNALIFE,2025-05-26,45.3,45.7,46.0,45.3,55152,2.516,171,0.3,1925.197,2025-05-26 10:59:52.083,0,47.62875888305317,46.074999999999996,44.52124111694682
MEGHNALIFE,2025-05-27,46.2,44.9,46.2,44.6,123466,5.59,337,-0.8,1937.918,2025-05-27 10:58:45.853,0,47.6034395615958,45.98461538461538,44.36579120763496
MEGHNALIFE,2025-05-28,45.4,44.2,45.4,44.0,95314,4.247,318,-0.7,1903.994,2025-05-28 11:16:43.454,0,47.66776908774341,45.857142857142854,44.0465166265423
MEGHNALIFE,2025-05-29,44.5,44.6,45.5,43.9,103917,4.615,315,0.4,1874.311,2025-05-29 11:16:39.270,0,47.631600148286324,45.77333333333333,43.91506651838034
MEGHNALIFE,2025-06-01,44.6,45.1,45.6,44.6,68857,3.119,203,0.5,1891.273,2025-06-01 11:00:01.473,0,47.55979963017141,45.73125,43.902700369828594
MEGHNALIFE,2025-06-02,45.0,45.2,45.9,44.9,111003,5.003,246,0.1,1912.475,2025-06-02 10:59:25.123,0,47.49148311873315,45.699999999999996,43.90851688126684
MEGHNALIFE,2025-06-03,45.3,44.6,45.7,44.6,62637,2.814,200,-0.6,1916.716,2025-06-03 10:59:33.669,0,47.45136281377582,45.638888888888886,43.82641496400195
MEGHNALIFE,2025-06-04,44.5,45.1,45.5,44.4,69382,3.116,130,0.5,1891.273,2025-06-04 10:59:56.455,0,47.05492050529208,45.5,43.94507949470792
