symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MEGHNAPET,2025-05-13,22.3,22.2,22.4,22.2,4489,0.1,20,0.5,262800000.0,2025-05-13 16:32:44.683,0,22.2,22.2,22.2
MEGHNAPET,2025-05-14,22.4,21.3,22.4,21.0,8156,0.174,51,-0.9,266399999.99999997,2025-05-14 11:51:12.994,0,22.65,21.75,20.85
MEGHNAPET,2025-05-15,21.7,19.8,21.7,19.6,10791,0.215,156,-1.3,255600000.0,2025-05-15 09:17:47.889,0,23.07989898732233,21.099999999999998,19.120101012677665
MEGHNAPET,2025-05-17,20.8,20.5,20.8,19.6,8018,0.164,36,0.7,237.6,2025-05-17 09:50:15.713,0,22.74164728671689,20.95,19.158352713283108
MEGHNAPET,2025-05-18,20.5,20.8,21.1,20.2,12262,0.256,76,-0.3,246.0,2025-05-18 11:03:52.553,0,22.52698475412805,20.919999999999998,19.313015245871945
MEGHNAPET,2025-05-19,20.1,19.9,21.5,19.8,16622,0.332,63,-0.9,249.6,2025-05-19 11:02:32.307,0,22.402271164185834,20.75,19.097728835814166
MEGHNAPET,2025-05-20,20.4,20.2,20.4,20.0,1905,0.038,17,0.3,238.8,2025-05-20 11:02:59.648,0,22.248819856210545,20.67142857142857,19.094037286646596
MEGHNAPET,2025-05-21,20.4,20.6,20.9,20.0,3552,0.073,30,-0.1,242.4,2025-05-21 11:37:37.077,0,22.138770639144465,20.6625,19.18622936085554
MEGHNAPET,2025-05-22,21.3,20.3,21.3,20.2,2337,0.047,27,0.3,247.2,2025-05-22 11:03:08.569,0,22.032589480233103,20.62222222222222,19.211854964211337
MEGHNAPET,2025-05-24,19.8,20.1,20.8,19.8,4553,0.091,26,-0.2,243.6,2025-05-24 11:37:35.655,0,21.944190670904153,20.57,19.195809329095848
MEGHNAPET,2025-05-25,19.5,20.3,20.8,19.5,6104,0.123,31,0.2,241.2,2025-05-25 11:35:50.657,0,21.864858367747402,20.545454545454547,19.22605072316169
MEGHNAPET,2025-05-26,22.0,20.3,22.0,20.0,9832,0.2,58,,243.6,2025-05-26 11:03:13.710,0,21.795498589793265,20.525000000000002,19.25450141020674
MEGHNAPET,2025-05-27,20.1,20.1,21.4,19.9,5217,0.105,36,-0.2,243.6,2025-05-27 11:01:58.813,0,21.733799446266584,20.49230769230769,19.250815938348797
MEGHNAPET,2025-05-28,20.0,20.0,20.7,19.5,32144,0.641,47,-0.1,241.2,2025-05-28 11:34:46.452,0,21.680053403373297,20.457142857142856,19.234232310912414
MEGHNAPET,2025-05-29,19.5,20.4,20.8,19.5,8478,0.17,39,0.7,240.0,2025-05-29 11:34:48.840,0,21.63512105632855,20.453333333333333,19.271545610338116
MEGHNAPET,2025-06-01,20.4,20.9,21.3,20.3,3350,0.07,20,0.5,244.8,2025-06-01 11:03:46.017,0,21.6457643837669,20.48125,19.3167356162331
MEGHNAPET,2025-06-02,21.6,21.3,21.6,20.7,4779,0.101,47,0.4,250.8,2025-06-02 11:02:23.248,0,21.72305119372337,20.529411764705884,19.335772335688397
MEGHNAPET,2025-06-03,21.0,20.9,21.0,20.5,618,0.013,5,-0.8,255.6,2025-06-03 11:02:29.749,0,21.722367026337928,20.549999999999997,19.377632973662067
MEGHNAPET,2025-06-04,21.6,21.6,21.9,21.5,6377,0.138,23,0.7,250.8,2025-06-04 11:02:51.458,0,21.521654228778758,20.516666666666666,19.511679104554574
