symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MERCANBANK,2025-05-13,9.7,9.2,9.7,9.1,607454,5.635,170,-0.1,10291152000.0,2025-05-13 16:35:56.796,0,9.2,9.2,9.2
MERCANBANK,2025-05-14,9.2,9.2,9.3,9.1,245172,2.246,98,,10180494000.0,2025-05-14 11:54:27.965,0,9.2,9.2,9.2
MERCANBANK,2025-05-15,9.2,9.1,9.2,9.1,397529,3.619,112,-0.1,10180494000.0,2025-05-15 09:20:35.991,0,9.260947570824872,9.166666666666666,9.07238576250846
MERCANBANK,2025-05-17,9.2,9.1,9.2,9.0,347571,3.159,124,,10069.836,2025-05-17 10:08:38.980,0,9.249999999999998,9.149999999999999,9.049999999999999
MERCANBANK,2025-05-18,9.3,9.1,9.3,9.1,398001,3.639,114,,10069.836,2025-05-18 11:07:00.508,0,9.237979589711324,9.139999999999999,9.042020410288673
MERCANBANK,2025-05-19,9.1,9.1,9.2,9.0,690784,6.297,131,,10069.836,2025-05-19 11:05:30.658,0,9.227614237491538,9.133333333333333,9.039052429175127
MERCANBANK,2025-05-21,9.1,9.1,9.2,9.0,556411,5.062,118,,10069.836,2025-05-21 11:56:04.567,0,9.218922218861952,9.128571428571428,9.038220638280904
MERCANBANK,2025-05-22,9.1,9.0,9.2,9.0,636844,5.759,105,-0.1,10069.836,2025-05-22 11:08:54.559,0,9.232395788082815,9.112499999999999,8.992604211917183
MERCANBANK,2025-05-24,9.1,9.3,9.9,9.1,1431828,13.436,326,0.3,9959.179,2025-05-24 11:55:42.706,0,9.296632649518878,9.133333333333333,8.970034017147787
MERCANBANK,2025-05-25,9.3,9.3,9.4,9.2,227505,2.117,116,,10291.152,2025-05-25 11:54:39.713,0,9.334390889145858,9.15,8.965609110854142
MERCANBANK,2025-05-26,9.2,9.1,9.3,9.1,880499,8.114,224,-0.2,10291.152,2025-05-26 11:06:14.171,0,9.323599254020595,9.145454545454545,8.967309836888495
MERCANBANK,2025-05-27,9.1,9.0,9.2,8.9,1351518,12.2,229,-0.1,10069.836,2025-05-27 11:04:43.073,0,9.321895141649746,9.133333333333333,8.94477152501692
MERCANBANK,2025-05-28,9.1,8.2,9.1,8.1,2258567,19.213,677,-0.7,9959.179,2025-05-28 11:54:46.899,0,9.590912324125702,9.061538461538461,8.532164598951221
MERCANBANK,2025-05-29,8.1,8.0,8.1,7.6,1209750,9.496,402,-0.2,9073.919,2025-05-29 11:54:34.402,0,9.733500133045853,8.985714285714286,8.237928438382719
MERCANBANK,2025-06-01,7.8,7.9,8.0,7.5,2075201,16.09,445,-0.1,8852.603,2025-06-01 11:07:40.974,0,9.816266824177974,8.913333333333332,8.01039984248869
MERCANBANK,2025-06-02,7.9,7.9,8.0,7.8,634460,5.018,146,,8741.946,2025-06-02 11:06:01.566,0,9.852496882788172,8.85,7.847503117211827
MERCANBANK,2025-06-03,7.9,7.8,7.9,7.7,1242272,9.666,169,-0.1,8741.946,2025-06-03 11:06:24.053,0,9.879122365301521,8.788235294117648,7.697348222933774
MERCANBANK,2025-06-04,7.7,7.9,8.0,7.7,818809,6.446,107,0.1,8631.288,2025-06-04 11:06:48.771,0,9.874453141954081,8.738888888888889,7.603324635823696
