symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MHSML,2025-05-13,13.0,12.5,13.1,12.4,125176,1.578,162,-0.3,1292715000.0,2025-05-13 16:35:09.107,0,12.5,12.5,12.5
MHSML,2025-05-14,12.5,12.3,12.7,12.2,172007,2.138,150,-0.2,1262417000.0,2025-05-14 11:53:27.224,0,12.6,12.4,12.200000000000001
MHSML,2025-05-15,12.4,12.1,12.5,12.0,181100,2.208,498,-0.2,1242219000.0,2025-05-15 09:19:38.761,0,12.62659863237109,12.299999999999999,11.973401367628908
MHSML,2025-05-17,12.4,12.5,12.6,12.0,192521,2.392,224,0.4,1222.02,2025-05-17 10:02:30.386,0,12.68166247903554,12.35,12.01833752096446
MHSML,2025-05-18,12.6,12.4,12.8,12.3,407121,5.133,227,-0.1,1262.417,2025-05-18 11:05:56.440,0,12.659332590941915,12.36,12.060667409058084
MHSML,2025-05-19,12.5,12.9,13.3,12.5,586848,7.59,491,0.5,1252.318,2025-05-19 11:04:17.504,0,12.936483983977547,12.450000000000001,11.963516016022455
MHSML,2025-05-20,12.7,13.0,13.2,12.7,341509,4.411,278,0.1,1302.815,2025-05-20 11:04:59.005,0,13.121041181523648,12.528571428571428,11.93610167561921
MHSML,2025-05-21,13.1,13.0,13.3,12.9,284863,3.72,225,,1312.914,2025-05-21 11:48:25.836,0,13.223404867098845,12.5875,11.951595132901156
MHSML,2025-05-22,13.2,12.9,13.2,12.7,349467,4.531,217,-0.1,1312.914,2025-05-22 11:07:31.336,0,13.253114202959038,12.622222222222222,11.991330241485405
MHSML,2025-05-24,12.9,12.6,13.0,12.5,300890,3.854,176,-0.3,1302.815,2025-05-24 11:48:50.351,0,13.21866518188383,12.620000000000001,12.021334818116172
MHSML,2025-05-25,12.8,13.5,13.7,12.6,852907,11.261,483,0.9,1272.517,2025-05-25 11:46:31.767,0,13.462770071396472,12.7,11.937229928603527
MHSML,2025-05-26,13.6,14.1,14.4,13.3,1240987,17.121,721,0.6,1363.411,2025-05-26 11:04:43.942,0,13.88072597996749,12.816666666666668,11.752607353365846
MHSML,2025-05-27,14.1,13.5,14.2,13.3,514992,7.089,359,-0.6,1424.007,2025-05-27 11:03:25.129,0,13.954473359295285,12.86923076923077,11.783988179166254
MHSML,2025-05-28,13.2,13.4,13.9,13.2,437788,5.936,344,-0.1,1363.411,2025-05-28 11:45:20.572,0,13.988053282172967,12.907142857142857,11.826232432112747
MHSML,2025-05-29,13.4,13.5,13.8,13.3,384583,5.205,267,0.1,1353.311,2025-05-29 11:45:27.027,0,14.032003275998328,12.946666666666665,11.861330057335003
MHSML,2025-06-01,13.3,14.2,14.4,13.3,767597,10.825,550,0.7,1363.411,2025-06-01 11:05:45.218,0,14.238466109951158,13.025,11.811533890048842
MHSML,2025-06-02,14.3,14.1,14.4,14.0,556806,7.916,374,-0.1,1434.106,2025-06-02 11:04:27.524,0,14.369562460753269,13.088235294117647,11.806908127482025
MHSML,2025-06-03,14.0,13.5,14.1,13.4,504265,6.89,286,-0.6,1424.007,2025-06-03 11:04:46.188,0,14.37054465024931,13.11111111111111,11.851677571972912
MHSML,2025-06-04,13.7,13.6,13.8,13.5,288914,3.932,150,0.1,1363.411,2025-06-04 11:05:06.443,0,14.413736629988541,13.172222222222222,11.930707814455904
