symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MIDASFIN,2025-05-13,8.1,7.1,8.3,7.0,522426,3.934,385,-1.4,1223086000.0,2025-05-13 16:36:36.146,0,7.1,7.1,7.1
MIDASFIN,2025-05-14,7.3,6.9,7.3,6.8,116969,0.824,115,-0.2,1021637000.0,2025-05-14 11:55:18.310,0,7.199999999999999,7.0,6.800000000000001
MIDASFIN,2025-05-15,7.1,6.8,7.1,6.7,107181,0.74,87,,992858000.0,2025-05-15 09:21:23.142,0,7.182777159118263,6.933333333333334,6.683889507548404
MIDASFIN,2025-05-17,6.8,7.2,7.3,6.7,110222,0.778,103,0.4,978.469,2025-05-17 10:12:28.096,0,7.316227766016838,7.0,6.683772233983162
MIDASFIN,2025-05-18,7.0,7.1,7.4,7.0,177168,1.274,100,,1036.026,2025-05-18 11:07:40.970,0,7.313938769133982,7.0200000000000005,6.726061230866019
MIDASFIN,2025-05-19,7.1,7.1,7.2,7.0,108213,0.761,43,,1021.637,2025-05-19 11:06:12.522,0,7.308207041707845,7.033333333333334,6.758459624958824
MIDASFIN,2025-05-20,7.1,7.0,7.2,6.9,40322,0.283,55,-0.2,1021.637,2025-05-20 11:07:11.377,0,7.284122054571405,7.028571428571429,6.773020802571454
MIDASFIN,2025-05-21,7.3,7.1,7.3,7.0,93702,0.665,61,0.1,1007.248,2025-05-21 12:00:05.598,0,7.281169858620224,7.0375,6.793830141379775
MIDASFIN,2025-05-22,7.2,7.1,7.2,7.1,7427,0.053,18,,1021.637,2025-05-22 11:09:54.076,0,7.277513077371145,7.044444444444444,6.811375811517744
MIDASFIN,2025-05-24,7.0,6.9,7.2,6.8,65402,0.454,43,-0.2,1021.637,2025-05-24 12:00:29.000,0,7.267486841740758,7.029999999999999,6.792513158259241
MIDASFIN,2025-05-25,7.0,6.9,7.0,6.8,31163,0.214,28,,992.858,2025-05-25 11:59:13.733,0,7.256634128156437,7.0181818181818185,6.7797295082072
MIDASFIN,2025-05-26,6.9,7.0,7.2,6.8,67166,0.471,78,0.1,992.858,2025-05-26 11:06:54.870,0,7.245188486680035,7.016666666666667,6.7881448466532985
MIDASFIN,2025-05-27,7.0,7.0,7.0,6.9,22571,0.158,45,,1007.248,2025-05-27 11:05:22.227,0,7.235120874724395,7.015384615384615,6.795648356044835
MIDASFIN,2025-05-28,7.0,6.7,7.0,6.6,38226,0.256,47,-0.4,1007.248,2025-05-28 11:59:06.139,0,7.259736309889563,6.992857142857143,6.725977975824723
MIDASFIN,2025-05-29,6.7,6.4,6.7,6.3,35373,0.232,68,-0.3,964.08,2025-05-29 11:58:39.159,0,7.345705039188324,6.953333333333333,6.560961627478342
MIDASFIN,2025-06-01,6.5,6.6,6.8,6.5,17101,0.113,28,0.2,920.912,2025-06-01 11:08:14.929,0,7.347895832812474,6.93125,6.514604167187526
MIDASFIN,2025-06-03,6.8,6.7,6.8,6.7,2913,0.02,23,0.1,949.691,2025-06-03 11:06:51.831,0,7.3362458088154625,6.917647058823529,6.499048308831595
MIDASFIN,2025-06-04,6.8,6.6,6.8,6.5,56329,0.371,89,-0.1,964.08,2025-06-04 11:07:18.510,0,7.332049379893857,6.9,6.467950620106143
