symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MIRACLEIND,2025-05-13,26.0,24.8,26.0,24.7,39367,0.982,68,-0.6,891017000.0,2025-05-13 16:32:21.200,0,24.8,24.8,24.8
MIRACLEIND,2025-05-14,24.4,23.5,24.6,23.2,69882,1.669,154,-1.3,873408000.0,2025-05-14 11:50:41.295,0,25.449999999999996,24.15,22.85
MIRACLEIND,2025-05-15,24.0,23.3,24.0,22.8,41969,0.974,101,-0.2,827624000.0,2025-05-15 09:16:50.022,0,25.19666248955066,23.866666666666664,22.536670843782666
MIRACLEIND,2025-05-17,23.8,23.8,24.3,23.3,14961,0.356,62,0.5,820.581,2025-05-17 09:44:50.095,0,25.00325625946708,23.85,22.696743740532924
MIRACLEIND,2025-05-18,24.9,23.6,24.9,23.5,8997,0.214,48,-0.3,838.19,2025-05-18 11:02:50.965,0,24.850714042925095,23.8,22.749285957074907
MIRACLEIND,2025-05-19,24.3,23.5,24.3,23.3,11245,0.264,71,-0.1,831.146,2025-05-19 11:01:35.833,0,24.73488578017961,23.75,22.76511421982039
MIRACLEIND,2025-05-20,23.7,23.6,24.1,23.6,24311,0.58,66,0.2,827.624,2025-05-20 11:01:55.346,0,24.646421623097655,23.728571428571428,22.8107212340452
MIRACLEIND,2025-05-21,23.7,23.8,24.4,23.2,52605,1.247,104,0.2,831.146,2025-05-21 11:31:36.884,0,24.59736917609599,23.7375,22.87763082390401
MIRACLEIND,2025-05-24,24.4,23.9,24.5,23.8,14135,0.339,83,-0.5,859.321,2025-05-24 11:31:03.229,0,24.572656724926677,23.755555555555556,22.938454386184436
MIRACLEIND,2025-05-25,24.3,23.7,24.3,23.6,34521,0.82,99,-0.2,841.712,2025-05-25 11:30:15.628,0,24.52588658965083,23.75,22.97411341034917
MIRACLEIND,2025-05-26,24.5,24.2,25.7,24.0,43140,1.058,142,0.5,834.668,2025-05-26 11:02:03.192,0,24.574627711354626,23.79090909090909,23.007190470463552
MIRACLEIND,2025-05-27,24.7,23.8,24.7,23.6,17845,0.426,95,-0.1,852.277,2025-05-27 11:00:56.592,0,24.542036945632695,23.791666666666668,23.04129638770064
MIRACLEIND,2025-05-28,24.7,23.8,24.7,23.0,64036,1.525,168,0.1,838.19,2025-05-28 11:29:27.243,0,24.51325381623754,23.792307692307695,23.07136156837785
MIRACLEIND,2025-05-29,23.8,23.5,24.4,23.2,21300,0.501,133,-0.3,838.19,2025-05-29 11:29:39.206,0,24.482277445978557,23.771428571428572,23.060579696878587
MIRACLEIND,2025-06-01,24.5,23.3,24.5,23.2,13002,0.305,55,-0.2,827.624,2025-06-01 11:02:53.139,0,24.465901738070198,23.740000000000002,23.014098261929806
MIRACLEIND,2025-06-02,24.2,23.7,24.2,23.5,13350,0.319,69,0.4,820.581,2025-06-02 11:01:47.514,0,24.440618055521263,23.7375,23.03438194447874
MIRACLEIND,2025-06-03,23.8,23.6,24.1,23.6,19098,0.451,75,-0.1,834.668,2025-06-03 11:01:34.656,0,24.414598577814633,23.72941176470588,23.044224951597126
MIRACLEIND,2025-06-04,23.5,23.8,24.0,23.5,11039,0.262,40,0.4,831.146,2025-06-04 11:01:57.954,0,24.400000000000002,23.733333333333334,23.066666666666666
