symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MIRAKHTER,2025-05-13,24.9,24.9,25.7,24.6,672589,16.894,822,0.2,2983057000.0,2025-05-13 16:32:16.565,0,24.9,24.9,24.9
MIRAKHTER,2025-05-14,25.7,25.0,25.7,24.8,423158,10.635,548,0.1,3007212000.0,2025-05-14 11:50:20.978,0,25.05,24.95,24.849999999999998
MIRAKHTER,2025-05-15,25.0,24.2,25.4,24.1,469828,11.529,523,-0.8,3019289000.0,2025-05-15 09:16:37.971,0,25.411805216802087,24.7,23.988194783197912
MIRAKHTER,2025-05-17,24.3,24.5,24.7,23.6,414315,10.072,474,0.3,2922.671,2025-05-17 09:43:36.608,0,25.290312423743284,24.65,24.009687576256713
MIRAKHTER,2025-05-18,24.6,24.4,25.3,24.3,776012,19.229,831,-0.1,2958.903,2025-05-18 11:02:34.340,0,25.206630035524125,24.6,23.993369964475878
MIRAKHTER,2025-05-19,24.5,24.9,25.1,24.5,486474,12.037,495,0.7,2946.826,2025-05-19 11:01:13.231,0,25.247215762238966,24.650000000000002,24.05278423776104
MIRAKHTER,2025-05-20,25.0,25.2,25.4,24.7,613796,15.437,608,0.3,3007.212,2025-05-20 11:01:27.685,0,25.40227577843152,24.728571428571428,24.054867078711336
MIRAKHTER,2025-05-21,25.4,25.4,25.7,25.2,346745,8.813,422,0.2,3043.443,2025-05-21 11:29:16.367,0,25.583457197255463,24.8125,24.041542802744537
MIRAKHTER,2025-05-22,25.4,25.0,25.9,24.9,484161,12.284,464,-0.4,3067.597,2025-05-22 11:01:56.445,0,25.56969073447915,24.833333333333332,24.096975932187515
MIRAKHTER,2025-05-24,25.0,24.4,25.0,24.3,215010,5.287,274,-0.6,3019.289,2025-05-24 11:30:17.279,0,25.535385806143367,24.79,24.04461419385663
MIRAKHTER,2025-05-25,24.8,24.6,25.0,24.4,195550,4.821,162,0.4,2946.826,2025-05-25 11:28:42.178,0,25.491771633937642,24.772727272727273,24.053682911516905
MIRAKHTER,2025-05-26,24.6,25.0,25.3,24.6,481510,12.07,516,0.4,2970.98,2025-05-26 11:01:57.150,0,25.491468225840567,24.791666666666668,24.09186510749277
MIRAKHTER,2025-05-27,24.9,25.6,26.3,24.9,1409558,36.23,1233,0.6,3019.289,2025-05-27 11:00:32.087,0,25.652365493683753,24.853846153846156,24.05532681400856
MIRAKHTER,2025-05-28,25.7,24.8,25.8,24.6,561144,14.078,397,-0.8,3091.752,2025-05-28 11:27:49.984,0,25.619972170183534,24.849999999999998,24.080027829816462
MIRAKHTER,2025-05-29,24.9,25.1,25.4,24.5,487590,12.2,419,0.3,2995.134,2025-05-29 11:27:14.275,0,25.62091389993232,24.866666666666667,24.112419433401016
MIRAKHTER,2025-06-01,25.2,25.1,25.4,25.0,226976,5.706,225,,3031.366,2025-06-01 11:02:21.845,0,25.620231562692872,24.88125,24.14226843730713
MIRAKHTER,2025-06-02,25.3,25.1,25.5,25.0,379436,9.575,414,,3031.366,2025-06-02 11:01:12.465,0,25.618387951605712,24.894117647058824,24.169847342511936
MIRAKHTER,2025-06-03,25.1,24.8,25.3,24.7,233225,5.796,200,-0.3,3031.366,2025-06-03 11:01:19.414,0,25.59407251789433,24.88888888888889,24.18370525988345
MIRAKHTER,2025-06-04,24.8,25.0,25.2,24.7,186758,4.66,188,0.2,2995.134,2025-06-04 11:01:41.661,0,25.601463923108135,24.894444444444446,24.187424965780757
