symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MITHUNKNIT,2025-05-13,15.5,15.1,15.5,15.0,62214,0.94,92,-0.4,503613000.0,2025-05-13 16:34:32.525,0,15.1,15.1,15.1
MITHUNKNIT,2025-05-14,14.8,14.9,15.1,14.7,25377,0.378,37,,490617000.0,2025-05-14 11:52:40.662,0,15.2,15.0,14.8
MITHUNKNIT,2025-05-15,15.1,15.1,15.4,14.9,28483,0.428,51,0.2,484118000.0,2025-05-15 09:18:52.354,0,15.221895141649746,15.033333333333333,14.84477152501692
MITHUNKNIT,2025-05-17,15.3,15.4,15.7,15.0,23520,0.357,37,0.4,490.617,2025-05-17 09:57:03.450,0,15.482071421427143,15.125,14.767928578572857
MITHUNKNIT,2025-05-18,15.5,15.4,15.7,15.2,44394,0.687,74,,500.364,2025-05-18 11:05:14.167,0,15.567814388593309,15.180000000000001,14.792185611406694
MITHUNKNIT,2025-05-19,15.4,15.3,15.4,15.2,6336,0.097,21,-0.1,500.364,2025-05-19 11:03:52.212,0,15.565148371670112,15.200000000000001,14.83485162832989
MITHUNKNIT,2025-05-20,15.2,15.2,15.3,15.2,7978,0.121,14,-0.1,497.115,2025-05-20 11:04:20.652,0,15.538061701891408,15.200000000000001,14.861938298108594
MITHUNKNIT,2025-05-21,15.4,15.5,15.7,15.4,1400,0.022,16,0.5,493.866,2025-05-21 11:44:52.388,0,15.610829613076703,15.2375,14.864170386923298
MITHUNKNIT,2025-05-24,15.4,15.3,15.7,15.3,7340,0.112,10,-0.2,503.613,2025-05-24 11:44:53.311,0,15.598608387789094,15.244444444444444,14.890280501099793
MITHUNKNIT,2025-05-25,15.4,15.2,15.4,15.2,13039,0.199,9,-0.1,497.115,2025-05-25 11:44:01.398,0,15.577045990927056,15.24,14.902954009072944
MITHUNKNIT,2025-05-26,15.1,15.2,15.3,15.1,4601,0.07,13,,493.866,2025-05-26 11:04:28.332,0,15.558546275393988,15.236363636363636,14.914180997333284
MITHUNKNIT,2025-05-27,14.9,15.0,15.4,14.8,3050,0.046,18,-0.4,493.866,2025-05-27 11:03:13.217,0,15.55166252070403,15.216666666666667,14.881670812629304
MITHUNKNIT,2025-05-28,14.8,14.9,15.0,14.8,9169,0.137,22,-0.1,487.367,2025-05-28 11:43:12.720,0,15.555723440339007,15.192307692307692,14.828891944276377
MITHUNKNIT,2025-05-29,15.3,14.9,15.3,14.8,5022,0.075,16,,484.118,2025-05-29 11:43:03.652,0,15.552618973260753,15.171428571428573,14.790238169596392
MITHUNKNIT,2025-06-01,14.9,14.9,15.1,14.8,20205,0.3,24,,484.118,2025-06-01 11:05:30.184,0,15.545705039188325,15.153333333333334,14.760961627478343
MITHUNKNIT,2025-06-02,15.7,15.5,15.7,15.0,6444,0.1,21,0.6,484.118,2025-06-02 11:04:04.931,0,15.590331193145904,15.175,14.759668806854098
MITHUNKNIT,2025-06-03,15.7,15.6,16.0,15.3,15616,0.244,36,0.1,503.613,2025-06-03 11:04:07.815,0,15.64983657163071,15.2,14.750163428369289
MITHUNKNIT,2025-06-04,16.1,16.1,16.3,15.5,8199,0.132,14,0.1,506.862,2025-06-04 11:04:38.195,0,15.850925212577332,15.25,14.649074787422668
