symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MONNOFABR,2025-05-13,13.1,12.7,13.4,12.6,653259,8.464,366,-0.5,1518000000.0,2025-05-13 16:35:01.434,0,12.7,12.7,12.7
MONNOFABR,2025-05-14,12.7,12.3,12.9,12.2,685574,8.568,393,-0.4,1460500000.0,2025-05-14 11:53:25.978,0,12.899999999999999,12.5,12.100000000000001
MONNOFABR,2025-05-15,12.5,12.1,12.6,12.1,380281,4.653,266,-0.2,1414500000.0,2025-05-15 09:19:43.747,0,12.865554318236526,12.366666666666667,11.867779015096808
MONNOFABR,2025-05-17,12.3,12.8,12.8,12.0,521740,6.505,409,0.7,1391.5,2025-05-17 10:00:56.998,0,13.047276157112979,12.475,11.90272384288702
MONNOFABR,2025-05-18,13.0,12.4,13.2,12.3,862905,11.052,465,-0.4,1472.0,2025-05-18 11:06:02.418,0,12.975363949069004,12.459999999999999,11.944636050930994
MONNOFABR,2025-05-19,12.7,13.5,13.6,12.5,2546752,34.066,1272,1.1,1426.0,2025-05-19 11:04:07.898,0,13.540098033915696,12.633333333333333,11.72656863275097
MONNOFABR,2025-05-20,13.7,13.4,13.7,13.1,546383,7.289,419,-0.1,1552.5,2025-05-20 11:04:46.563,0,13.739176901380725,12.742857142857144,11.746537384333562
MONNOFABR,2025-05-21,13.4,13.2,13.5,13.1,1061375,14.089,506,-0.2,1541.0,2025-05-21 11:48:04.882,0,13.77979589711327,12.8,11.82020410288673
MONNOFABR,2025-05-22,13.4,13.2,13.5,13.2,852039,11.358,389,,1518.0,2025-05-22 11:07:26.032,0,13.80180707682391,12.844444444444443,11.887081812064977
MONNOFABR,2025-05-24,13.3,13.4,13.7,13.1,1218235,16.29,866,0.2,1518.0,2025-05-24 11:47:37.253,0,13.867470929795825,12.9,11.932529070204176
MONNOFABR,2025-05-25,13.5,13.9,14.1,13.5,1721445,23.756,957,0.5,1541.0,2025-05-25 11:46:04.927,0,14.077871649282555,12.990909090909092,11.90394653253563
MONNOFABR,2025-05-26,13.9,13.6,14.1,13.6,1154685,15.872,624,-0.3,1598.5,2025-05-26 11:04:48.892,0,14.135462300635318,13.041666666666666,11.947871032698014
MONNOFABR,2025-05-27,13.5,13.2,13.8,13.1,968196,12.991,591,-0.4,1564.0,2025-05-27 11:03:31.074,0,14.108113335323802,13.053846153846154,11.999578972368505
MONNOFABR,2025-05-28,13.3,12.9,13.4,12.8,764168,9.99,441,-0.4,1518.0,2025-05-28 11:46:27.659,0,14.061860257150114,13.042857142857143,12.023854028564172
MONNOFABR,2025-05-29,13.0,13.1,13.2,12.8,530946,6.932,345,0.2,1483.5,2025-05-29 11:46:11.620,0,14.031529883339697,13.046666666666665,12.061803449993633
MONNOFABR,2025-06-01,13.2,13.2,13.3,13.1,435257,5.733,291,0.1,1506.5,2025-06-01 11:06:01.565,0,14.012724646815062,13.05625,12.099775353184938
MONNOFABR,2025-06-02,13.3,13.3,13.5,13.2,502938,6.709,293,0.1,1518.0,2025-06-02 11:04:38.950,0,14.005567834649671,13.070588235294117,12.135608635938564
MONNOFABR,2025-06-03,13.3,13.1,13.4,13.0,453886,5.965,275,-0.2,1529.5,2025-06-03 11:04:51.463,0,13.980958965804103,13.072222222222223,12.163485478640343
MONNOFABR,2025-06-04,13.0,13.2,13.3,13.0,223640,2.942,182,0.1,1506.5,2025-06-04 11:05:14.093,0,13.991939210683977,13.100000000000001,12.208060789316026
