symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
MTB,2025-05-13,11.9,11.6,12.1,11.5,676736,7.987,156,-0.3,11699125000.0,2025-05-13 16:35:16.421,0,11.6,11.6,11.6
MTB,2025-05-14,11.5,11.7,11.8,11.5,231673,2.699,87,0.1,11404189000.0,2025-05-14 11:53:31.038,0,11.75,11.649999999999999,11.549999999999997
MTB,2025-05-15,11.6,11.6,11.7,11.5,402390,4.651,88,-0.1,11502501000.0,2025-05-15 09:19:45.115,0,11.727614237491538,11.633333333333333,11.539052429175127
MTB,2025-05-17,11.6,11.5,11.6,11.4,295025,3.399,93,-0.1,11404.189,2025-05-17 10:03:16.884,0,11.741421356237309,11.6,11.45857864376269
MTB,2025-05-18,11.4,11.4,11.6,11.4,336013,3.854,81,-0.1,11305.877,2025-05-18 11:06:16.238,0,11.76396078054371,11.559999999999999,11.356039219456287
MTB,2025-05-19,11.6,11.4,11.6,11.4,182250,2.082,53,0.1,11207.565,2025-05-19 11:04:38.926,0,11.75444165269036,11.533333333333333,11.312225013976306
MTB,2025-05-20,11.4,11.4,11.6,11.3,360666,4.107,60,0.1,11207.565,2025-05-20 11:05:20.615,0,11.739257367828909,11.514285714285714,11.28931406074252
MTB,2025-05-21,11.6,11.8,11.9,11.5,616612,7.207,161,0.4,11207.565,2025-05-21 11:50:29.640,0,11.83284271247462,11.55,11.267157287525382
MTB,2025-05-24,10.5,10.3,10.7,9.7,654703,6.699,250,-1.5,12760.894,2025-05-24 11:52:58.825,0,12.240806875670865,11.411111111111111,10.581415346551358
MTB,2025-05-25,10.3,10.2,10.4,10.2,109445,1.12,73,-0.1,11138.747,2025-05-25 11:52:12.550,0,12.361260939267368,11.290000000000001,10.218739060732634
MTB,2025-05-26,10.2,10.6,10.7,10.2,316040,3.308,124,0.4,11030.604,2025-05-26 11:05:44.705,0,12.323019576241409,11.227272727272727,10.131525878304044
MTB,2025-05-27,10.5,10.5,10.6,10.4,245563,2.569,65,-0.1,11463.176,2025-05-27 11:04:10.578,0,12.290153303090182,11.166666666666666,10.04318003024315
MTB,2025-05-28,10.6,10.6,10.6,10.4,211506,2.22,97,0.1,11355.033,2025-05-28 11:50:07.973,0,12.2439388061592,11.123076923076923,10.002215039994645
MTB,2025-05-29,10.5,10.4,10.5,10.3,372009,3.878,105,-0.3,11463.176,2025-05-29 11:50:27.757,0,12.213928515607556,11.071428571428571,9.928928627249586
MTB,2025-06-01,10.5,10.9,10.9,10.5,439786,4.717,116,0.4,11246.89,2025-06-01 11:06:41.392,0,12.167068200247845,11.06,9.952931799752156
MTB,2025-06-02,10.8,11.0,11.1,10.7,390505,4.268,123,0.1,11787.606,2025-06-02 11:05:10.298,0,12.12855767506346,11.05625,9.98394232493654
MTB,2025-06-03,11.0,10.7,11.0,10.5,338035,3.616,91,-0.3,11895.749,2025-06-03 11:05:21.193,0,12.089007275335204,11.035294117647059,9.981580959958913
MTB,2025-06-04,10.8,10.8,10.8,10.7,71161,0.768,37,0.1,11571.319,2025-06-04 11:05:48.632,0,12.05190514117361,11.022222222222222,9.992539303270835
