symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NAVANACNG,2025-05-13,19.1,19.3,19.6,19.1,86603,1.673,179,0.4,1427947000.0,2025-05-13 16:33:35.639,0,19.3,19.3,19.3
NAVANACNG,2025-05-14,19.5,19.5,19.6,19.2,54292,1.055,93,0.2,1458168000.0,2025-05-14 11:51:32.406,0,19.6,19.4,19.199999999999996
NAVANACNG,2025-05-15,19.7,20.1,20.3,19.6,150256,3.012,328,0.6,1473279000.0,2025-05-15 09:17:37.109,0,20.313202601812378,19.633333333333336,18.953464064854295
NAVANACNG,2025-05-17,20.4,19.9,20.4,19.7,9447,0.188,53,0.1,1518.611,2025-05-17 09:50:37.993,0,20.332455532033677,19.7,19.06754446796632
NAVANACNG,2025-05-18,20.0,19.7,20.2,19.5,28651,0.57,84,-0.2,1503.5,2025-05-18 11:04:03.177,0,20.26568542494924,19.7,19.13431457505076
NAVANACNG,2025-05-19,19.7,19.1,19.9,19.0,48413,0.93,116,-0.6,1488.39,2025-05-19 11:02:47.991,0,20.28313005106397,19.599999999999998,18.916869948936025
NAVANACNG,2025-05-20,19.8,19.4,19.8,19.3,1592,0.031,15,0.5,1443.058,2025-05-20 11:03:09.157,0,20.21918765992884,19.571428571428573,18.923669482928307
NAVANACNG,2025-05-21,19.5,19.9,20.2,19.5,16467,0.324,31,0.3,1465.724,2025-05-21 11:38:29.153,0,20.25621965947919,19.6125,18.968780340520812
NAVANACNG,2025-05-22,20.1,19.6,20.1,19.5,9266,0.182,36,-0.4,1503.5,2025-05-22 11:03:36.721,0,20.218066679277673,19.61111111111111,19.00415554294455
NAVANACNG,2025-05-24,19.8,19.0,19.8,19.0,17438,0.333,58,-0.4,1480.834,2025-05-24 11:38:50.199,0,20.23264192663504,19.55,18.86735807336496
NAVANACNG,2025-05-25,19.1,18.9,19.2,18.8,16807,0.318,45,-0.1,1435.503,2025-05-25 11:38:09.786,0,20.241446088747285,19.490909090909092,18.7403720930709
NAVANACNG,2025-05-26,19.4,18.6,19.4,18.6,16496,0.309,62,-0.3,1427.947,2025-05-26 11:03:41.985,0,20.287808956358134,19.416666666666668,18.5455243769752
NAVANACNG,2025-05-27,18.4,18.5,18.9,18.1,38707,0.715,79,-0.2,1405.282,2025-05-27 11:02:18.165,0,20.315262507570687,19.346153846153847,18.377045184737007
NAVANACNG,2025-05-28,19.2,18.8,19.2,18.5,32179,0.603,52,0.2,1397.726,2025-05-28 11:36:46.597,0,20.282450239354187,19.307142857142857,18.331835474931527
NAVANACNG,2025-05-29,18.9,19.1,19.3,18.5,53681,1.016,65,0.5,1420.392,2025-05-29 11:36:42.940,0,20.241219871316066,19.293333333333333,18.3454467953506
NAVANACNG,2025-06-01,18.9,19.2,19.8,18.9,29634,0.568,28,0.1,1443.058,2025-06-01 11:04:10.722,0,20.206398797474456,19.2875,18.368601202525547
NAVANACNG,2025-06-02,19.3,19.8,20.5,19.3,103564,2.067,160,0.3,1450.613,2025-06-02 11:02:53.451,0,20.241157736790136,19.31764705882353,18.39413638085692
NAVANACNG,2025-06-03,19.9,19.5,19.9,19.5,26462,0.521,76,-0.3,1495.945,2025-06-03 11:02:39.546,0,20.229148476104758,19.327777777777776,18.426407079450794
NAVANACNG,2025-06-04,19.8,20.0,20.1,19.6,34299,0.684,85,0.4,1473.279,2025-06-04 11:03:16.245,0,20.31885712380571,19.366666666666664,18.414476209527617
