symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NAVANAPHAR,2025-05-13,51.6,50.2,52.0,50.0,300037,15.213,805,-1.4,5542677000.0,2025-05-13 16:29:59.982,0,50.2,50.2,50.2
NAVANAPHAR,2025-05-14,50.5,49.3,50.6,49.0,204625,10.17,572,-0.9,5392294000.0,2025-05-14 11:48:00.009,0,50.650000000000006,49.75,48.849999999999994
NAVANAPHAR,2025-05-15,49.3,48.7,49.9,48.5,197630,9.654,497,-0.6,5295619000.0,2025-05-15 09:14:22.951,0,50.63288280059379,49.4,48.167117199406206
NAVANAPHAR,2025-05-17,48.5,49.4,49.8,47.6,128917,6.335,481,0.7,5231.17,2025-05-17 09:28:25.329,0,50.46770782520313,49.4,48.33229217479687
NAVANAPHAR,2025-05-18,50.0,49.2,50.6,48.9,190751,9.483,504,-0.2,5306.361,2025-05-18 10:59:39.400,0,50.32829747495281,49.36,48.39170252504719
NAVANAPHAR,2025-05-19,49.4,49.0,49.6,48.5,145711,7.149,406,-0.2,5284.878,2025-05-19 10:59:14.094,0,50.22376043070341,49.300000000000004,48.3762395692966
NAVANAPHAR,2025-05-20,49.2,49.3,49.9,48.0,178259,8.747,535,0.9,5263.395,2025-05-20 10:58:55.073,0,50.15523597411976,49.300000000000004,48.44476402588025
NAVANAPHAR,2025-05-21,49.6,50.2,51.0,49.5,303584,15.244,719,0.9,5295.619,2025-05-21 11:14:50.779,0,50.40968353375896,49.4125,48.415316466241045
NAVANAPHAR,2025-05-22,50.1,50.0,51.0,49.6,159505,8.024,494,-0.2,5392.294,2025-05-22 10:59:20.413,0,50.48785050465454,49.47777777777778,48.467705050901024
NAVANAPHAR,2025-05-24,50.0,48.6,50.1,48.3,221266,10.853,622,-1.4,5370.811,2025-05-24 11:15:13.392,0,50.48343495462694,49.39,48.296565045373065
NAVANAPHAR,2025-05-25,48.8,48.3,49.3,48.1,147150,7.132,394,-0.3,5220.428,2025-05-25 11:15:00.668,0,50.507325722449295,49.290909090909096,48.0744924593689
NAVANAPHAR,2025-05-26,48.4,48.2,48.9,48.0,128946,6.235,396,-0.1,5188.203,2025-05-26 10:59:38.837,0,50.51148770486039,49.199999999999996,47.8885122951396
NAVANAPHAR,2025-05-27,48.1,48.2,48.8,47.8,103261,4.988,259,,5177.462,2025-05-27 10:58:27.132,0,50.491183635410195,49.12307692307692,47.75497021074365
NAVANAPHAR,2025-05-28,48.3,47.1,48.6,46.6,153282,7.291,495,-1.1,5177.462,2025-05-28 11:14:31.529,0,50.65901111836111,48.978571428571435,47.29813173878176
NAVANAPHAR,2025-05-29,47.1,48.2,48.8,46.1,287076,13.755,545,1.5,5059.304,2025-05-29 11:13:52.318,0,50.59594462101965,48.92666666666666,47.25738871231368
NAVANAPHAR,2025-06-01,48.4,48.6,48.9,48.2,145178,7.048,380,0.4,5177.462,2025-06-01 10:59:33.643,0,50.530240070782455,48.90625,47.282259929217545
NAVANAPHAR,2025-06-02,48.8,48.6,49.0,48.3,137084,6.661,335,,5220.428,2025-06-02 10:59:09.232,0,50.470314868142516,48.88823529411765,47.30615572009278
NAVANAPHAR,2025-06-03,48.6,48.4,48.7,48.2,88205,4.269,240,-0.2,5220.428,2025-06-03 10:59:05.219,0,50.41480046786295,48.861111111111114,47.307421754359275
NAVANAPHAR,2025-06-04,48.8,48.6,48.8,48.1,130229,6.311,461,0.2,5198.945,2025-06-04 10:59:37.695,0,50.186130211615136,48.77222222222222,47.3583142328293
