symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NCCBANK,2025-05-13,11.5,11.5,11.6,11.4,1040070,11.96,184,,12769866000.0,2025-05-13 16:35:18.063,0,11.5,11.5,11.5
NCCBANK,2025-05-14,11.5,11.4,11.5,11.3,435449,4.966,178,-0.1,12769866000.0,2025-05-14 11:53:34.675,0,11.549999999999997,11.45,11.350000000000001
NCCBANK,2025-05-15,11.4,11.4,11.5,11.3,827590,9.444,120,,12658823000.0,2025-05-15 09:19:46.510,0,11.527614237491537,11.433333333333332,11.339052429175126
NCCBANK,2025-05-17,11.4,11.5,11.6,11.4,711846,8.175,136,0.1,12658.823,2025-05-17 10:03:14.377,0,11.549999999999999,11.45,11.35
NCCBANK,2025-05-18,11.5,11.5,11.6,11.5,918831,10.578,141,,12769.866,2025-05-18 11:06:08.012,0,11.557979589711326,11.459999999999999,11.362020410288672
NCCBANK,2025-05-19,11.6,11.4,11.6,11.4,827982,9.502,188,-0.1,12769.866,2025-05-19 11:04:41.346,0,11.55,11.450000000000001,11.350000000000001
NCCBANK,2025-05-20,11.4,11.4,11.5,11.3,262432,2.987,138,,12658.823,2025-05-20 11:05:24.632,0,11.541831474718219,11.442857142857141,11.343882810996064
NCCBANK,2025-05-21,11.3,11.4,11.5,11.3,346336,3.94,150,,12658.823,2025-05-21 11:51:17.346,0,11.534324583655184,11.4375,11.340675416344816
NCCBANK,2025-05-22,11.4,11.4,11.5,11.3,334935,3.819,131,,12658.823,2025-05-22 11:08:10.029,0,11.52761423749154,11.433333333333334,11.339052429175128
NCCBANK,2025-05-24,11.4,11.4,11.4,11.3,905078,10.267,315,,12658.823,2025-05-24 11:51:20.802,0,11.521651513899116,11.43,11.338348486100884
NCCBANK,2025-05-25,11.3,11.4,11.5,11.3,830331,9.459,234,,12658.823,2025-05-25 11:50:13.492,0,11.516345081555752,11.427272727272728,11.338200372989704
NCCBANK,2025-05-27,10.3,10.3,10.3,10.3,193715,1.995,102,-1.1,12658.823,2025-05-27 11:04:12.923,0,11.962265408803773,11.333333333333334,10.704401257862894
NCCBANK,2025-05-28,10.3,9.8,10.3,9.6,1063028,10.612,270,-0.5,11437.358,2025-05-28 11:51:39.603,0,12.231701203994692,11.215384615384616,10.19906802677454
NCCBANK,2025-05-29,10.3,9.8,10.3,9.6,421990,4.098,147,,10882.146,2025-05-29 11:51:57.519,0,12.335192035384086,11.114285714285714,9.893379393187342
NCCBANK,2025-06-01,9.8,9.7,10.0,9.7,361544,3.533,145,-0.1,10882.146,2025-06-01 11:07:05.914,0,12.39443321651751,11.020000000000001,9.645566783482492
NCCBANK,2025-06-02,9.6,9.9,10.0,9.6,345309,3.381,99,0.3,10771.104,2025-06-02 11:05:34.937,0,12.387010786319994,10.950000000000001,9.512989213680008
NCCBANK,2025-06-03,9.9,9.9,10.0,9.8,140501,1.391,58,,10993.189,2025-06-03 11:05:39.823,0,12.367316651210508,10.888235294117647,9.409153937024787
NCCBANK,2025-06-04,10.0,9.9,10.1,9.8,97824,0.97,59,,10993.189,2025-06-04 11:06:03.351,0,12.340353940727644,10.833333333333334,9.326312725939024
