symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NEWLINE,2025-05-13,6.8,6.6,7.0,6.5,295635,1.988,178,-0.2,541875000.0,2025-05-13 16:36:46.547,0,6.6,6.6,6.6
NEWLINE,2025-05-14,6.6,6.7,7.0,6.6,279614,1.897,121,0.1,518315000.00000006,2025-05-14 11:55:23.898,0,6.75,6.65,6.550000000000001
NEWLINE,2025-05-15,6.8,6.7,6.9,6.7,204389,1.376,81,,526169000.0,2025-05-15 09:21:30.927,0,6.760947570824873,6.666666666666667,6.5723857625084605
NEWLINE,2025-05-17,6.8,7.0,7.1,6.7,275463,1.909,139,0.3,526.169,2025-05-17 10:12:48.842,0,7.05,6.75,6.45
NEWLINE,2025-05-18,7.2,6.9,7.2,6.8,227625,1.582,154,-0.1,549.729,2025-05-18 11:07:48.010,0,7.073938769133981,6.779999999999999,6.486061230866018
NEWLINE,2025-05-19,6.9,6.8,7.0,6.7,285458,1.952,152,-0.1,541.875,2025-05-19 11:06:19.952,0,7.052075258276619,6.783333333333334,6.514591408390049
NEWLINE,2025-05-20,6.7,6.7,6.9,6.7,196427,1.319,86,-0.1,534.022,2025-05-20 11:07:16.991,0,7.026979197428547,6.771428571428571,6.5158779454285956
NEWLINE,2025-05-21,6.9,6.8,6.9,6.8,115924,0.789,62,0.1,526.169,2025-05-21 12:01:40.534,0,7.014791576165636,6.775,6.535208423834365
NEWLINE,2025-05-22,6.8,6.7,6.8,6.7,128024,0.865,80,-0.1,534.022,2025-05-22 11:10:05.866,0,6.9976067743425165,6.766666666666667,6.535726558990817
NEWLINE,2025-05-24,6.7,6.6,6.8,6.6,107591,0.714,106,-0.1,526.169,2025-05-24 12:01:41.556,0,6.990831891575846,6.75,6.509168108424154
NEWLINE,2025-05-25,6.7,6.6,6.8,6.6,115576,0.771,67,,518.315,2025-05-25 12:00:23.933,0,6.981649773876946,6.736363636363635,6.491077498850325
NEWLINE,2025-05-26,7.2,6.7,7.2,6.6,114664,0.768,68,0.1,518.315,2025-05-26 11:07:00.035,0,6.969035593728849,6.733333333333333,6.497631072937818
NEWLINE,2025-05-27,6.7,6.5,6.8,6.5,193591,1.271,128,-0.2,526.169,2025-05-27 11:05:34.900,0,6.973736240365334,6.7153846153846155,6.457032990403897
NEWLINE,2025-05-28,6.8,6.5,7.0,6.5,229238,1.517,115,0.1,510.462,2025-05-28 11:59:04.409,0,6.972554057547699,6.7,6.427445942452302
NEWLINE,2025-05-29,6.5,6.6,6.7,6.2,123022,0.796,93,0.1,510.462,2025-05-29 11:58:37.327,0,6.961330016563224,6.693333333333333,6.425336650103443
NEWLINE,2025-06-01,6.7,6.6,6.7,6.6,61365,0.405,65,,518.315,2025-06-01 11:08:11.558,0,6.9508913438213185,6.6875,6.4241086561786815
NEWLINE,2025-06-02,6.8,6.4,6.8,6.4,351390,2.268,225,-0.2,518.315,2025-06-02 11:06:37.141,0,6.959722487704577,6.670588235294118,6.3814539828836585
NEWLINE,2025-06-03,6.6,6.4,6.6,6.3,97614,0.626,58,,502.609,2025-06-03 11:07:00.024,0,6.9626727769130055,6.655555555555555,6.3484383341981045
NEWLINE,2025-06-04,6.6,6.4,6.6,6.4,91933,0.59,85,,502.609,2025-06-04 11:07:24.627,0,6.972551623560743,6.644444444444445,6.316337265328147
