symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NITOLINS,2025-05-13,25.0,24.6,25.8,24.6,89427,2.234,97,-0.3,1001170000.0,2025-05-13 16:32:22.679,0,24.6,24.6,24.6
NITOLINS,2025-05-14,25.0,24.3,26.4,24.3,48266,1.248,41,-0.3,989108000.0,2025-05-14 11:50:27.405,0,24.750000000000007,24.450000000000003,24.15
NITOLINS,2025-05-15,25.3,24.3,25.3,23.9,5265,0.128,16,-0.4,977046000.0,2025-05-15 09:16:40.690,0,24.682842712474624,24.400000000000002,24.11715728752538
NITOLINS,2025-05-17,23.6,23.8,24.0,23.4,16086,0.382,39,-0.5,977.046,2025-05-17 09:44:46.229,0,24.824456264653804,24.25,23.675543735346196
NITOLINS,2025-05-18,24.3,23.3,24.3,22.7,24881,0.587,61,-1.1,956.942,2025-05-18 11:03:06.635,0,24.977387595294378,24.060000000000002,23.142612404705627
NITOLINS,2025-05-19,23.4,22.9,23.4,22.9,6798,0.156,26,-0.3,936.838,2025-05-19 11:01:41.044,0,25.070364672351182,23.866666666666664,22.662968660982145
NITOLINS,2025-05-20,23.9,23.0,23.9,22.9,1831,0.042,18,0.1,920.755,2025-05-20 11:02:04.609,0,25.011634474924257,23.74285714285714,22.474079810790023
NITOLINS,2025-05-21,23.9,22.7,23.9,22.6,2012,0.046,8,0.7,924.776,2025-05-21 11:31:59.103,0,24.985225391329237,23.6125,22.239774608670764
NITOLINS,2025-05-22,23.7,23.1,23.7,22.9,5719,0.132,23,0.8,912.713,2025-05-22 11:02:20.015,0,24.889259207833216,23.555555555555557,22.221851903277898
NITOLINS,2025-05-24,23.0,22.8,23.8,22.8,2040,0.047,7,-0.3,928.796,2025-05-24 11:32:37.696,0,24.824023809312916,23.48,22.135976190687085
NITOLINS,2025-05-25,22.8,22.7,22.8,22.5,9881,0.224,17,-0.1,916.734,2025-05-25 11:31:36.116,0,24.766774887461416,23.40909090909091,22.051406930720404
NITOLINS,2025-05-26,23.3,22.7,23.3,22.6,17101,0.389,26,0.1,912.713,2025-05-26 11:02:22.312,0,24.707694123627753,23.349999999999998,21.992305876372242
NITOLINS,2025-05-27,22.7,23.0,23.5,22.6,19544,0.45,22,0.3,912.713,2025-05-27 11:01:15.537,0,24.640776191099313,23.323076923076922,22.00537765505453
NITOLINS,2025-05-28,23.2,23.2,25.3,22.7,30910,0.772,37,-0.2,924.776,2025-05-28 11:30:40.431,0,24.58563402635926,23.314285714285713,22.042937402212168
NITOLINS,2025-05-29,23.8,22.2,23.8,22.0,55321,1.234,41,-0.2,932.817,2025-05-29 11:30:30.133,0,24.58818396370822,23.240000000000002,21.891816036291782
NITOLINS,2025-06-01,23.0,23.0,23.3,22.3,12082,0.277,22,0.8,892.61,2025-06-01 11:02:54.822,0,24.53553424220812,23.225,21.914465757791884
NITOLINS,2025-06-02,23.0,23.2,23.6,22.7,8024,0.185,26,0.2,924.776,2025-06-02 11:01:52.183,0,24.49498880810412,23.223529411764705,21.95207001542529
NITOLINS,2025-06-03,23.2,23.0,24.9,22.8,41752,0.987,68,-0.2,932.817,2025-06-03 11:01:39.537,0,24.45098366529452,23.211111111111112,21.971238556927705
NITOLINS,2025-06-04,23.5,23.1,23.5,23.0,3020,0.07,11,0.1,924.776,2025-06-04 11:02:06.597,0,24.168729384200276,23.127777777777776,22.086826171355277
