symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NORTHERN,2025-05-13,98.1,93.0,100.8,92.5,5189,0.489,91,-4.5,208845000.0,2025-05-13 16:28:49.904,0,93.0,93.0,93.0
NORTHERN,2025-05-14,93.0,94.2,97.1,93.0,1532,0.144,16,1.1,199206000.0,2025-05-14 11:46:56.329,0,94.80000000000001,93.6,92.39999999999998
NORTHERN,2025-05-15,97.4,91.6,97.4,91.2,1321,0.121,16,-3.0,201776000.0,2025-05-15 09:12:55.302,0,95.05831699340123,92.93333333333334,90.80834967326544
NORTHERN,2025-05-17,96.2,94.0,96.2,91.5,226,0.021,11,4.0,196.207,2025-05-17 09:20:39.032,0,95.25912602819741,93.2,91.14087397180259
NORTHERN,2025-05-18,96.0,94.1,96.0,93.5,404,0.038,19,0.1,201.348,2025-05-18 10:58:01.517,0,95.35747313508932,93.38,91.40252686491067
NORTHERN,2025-05-19,94.5,93.3,95.0,93.0,431,0.04,10,0.9,201.562,2025-05-19 10:57:54.068,0,95.17282895788588,93.36666666666667,91.56050437544747
NORTHERN,2025-05-20,92.0,92.2,94.0,92.0,350,0.032,7,0.7,199.849,2025-05-20 10:57:33.851,0,95.06087537004957,93.2,91.33912462995043
NORTHERN,2025-05-21,94.0,92.3,94.0,91.5,2310,0.215,33,-0.4,197.492,2025-05-21 11:07:07.906,0,94.92716708944853,93.0875,91.24783291055148
NORTHERN,2025-05-22,95.8,94.5,95.9,94.0,218,0.021,8,2.2,197.707,2025-05-22 10:57:50.655,0,95.19291646371406,93.24444444444445,91.29597242517485
NORTHERN,2025-05-24,92.3,92.3,92.3,92.3,100,0.009,4,-2.2,202.419,2025-05-24 11:07:04.351,0,95.08339080374353,93.15,91.21660919625648
NORTHERN,2025-05-25,92.0,92.1,94.0,92.0,41,0.004,4,1.7,197.707,2025-05-25 11:07:02.725,0,94.99429920904606,93.05454545454546,91.11479170004486
NORTHERN,2025-05-26,93.0,92.3,94.9,91.2,739,0.068,18,0.2,197.278,2025-05-26 10:58:20.938,0,94.89509923851038,92.99166666666667,91.08823409482297
NORTHERN,2025-05-27,92.0,91.5,92.0,90.0,1010,0.093,24,-2.0,197.707,2025-05-27 10:57:25.947,0,94.87099713797164,92.87692307692308,90.88284901587451
NORTHERN,2025-05-28,94.8,83.8,94.8,83.1,2839,0.246,52,-6.0,195.993,2025-05-28 11:06:47.522,0,97.28337314655832,92.22857142857143,87.17376971058454
NORTHERN,2025-05-29,88.0,83.3,88.0,82.7,2100,0.175,50,-1.1,179.5,2025-05-29 11:07:39.439,0,98.24309043090425,91.63333333333334,85.02357623576243
NORTHERN,2025-06-01,85.1,83.4,85.3,82.1,3800,0.32,81,1.5,178.429,2025-06-01 10:58:27.112,0,98.6583848552168,91.11875,83.57911514478322
NORTHERN,2025-06-02,83.7,91.2,91.7,83.4,3733,0.326,69,8.3,178.643,2025-06-02 10:57:42.567,0,98.43814955364967,91.12352941176471,83.80890926987975
NORTHERN,2025-06-03,93.1,97.5,98.7,91.0,3393,0.318,122,6.3,195.35,2025-06-03 10:57:41.472,0,99.16313342068882,91.47777777777777,83.79242213486673
NORTHERN,2025-06-04,99.4,90.0,99.4,88.6,1647,0.149,42,-7.5,208.845,2025-06-04 10:58:19.021,0,98.98730486956222,91.3111111111111,83.63491735265998
