symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NORTHRNINS,2025-05-13,27.5,27.6,28.4,27.2,44197,1.231,85,-0.3,1173139000.0,2025-05-13 16:31:57.099,0,27.6,27.6,27.6
NORTHRNINS,2025-05-14,27.5,26.9,27.5,26.8,374,0.01,15,-0.7,1177405000.0,2025-05-14 11:50:05.100,0,27.950000000000003,27.25,26.549999999999997
NORTHRNINS,2025-05-15,26.4,25.8,27.1,25.5,18893,0.494,54,-1.2,1147544000.0,2025-05-15 09:16:16.034,0,28.24840738472619,26.766666666666666,25.284925948607142
NORTHRNINS,2025-05-17,26.9,25.7,26.9,25.4,13731,0.352,24,-0.1,1100.618,2025-05-17 09:41:38.965,0,28.08113883008419,26.5,24.91886116991581
NORTHRNINS,2025-05-18,25.8,25.9,26.5,25.7,49412,1.281,63,0.2,1096.352,2025-05-18 11:02:16.758,0,27.87345237620756,26.380000000000003,24.886547623792445
NORTHRNINS,2025-05-19,25.2,25.7,26.8,25.2,20319,0.526,38,0.6,1104.884,2025-05-19 11:00:59.589,0,27.72116161528476,26.266666666666666,24.81217171804857
NORTHRNINS,2025-05-20,25.4,25.4,25.8,25.2,8143,0.207,18,0.1,1096.352,2025-05-20 11:01:14.615,0,27.61975405523658,26.142857142857142,24.665960230477705
NORTHRNINS,2025-05-21,25.8,26.0,26.2,25.6,6524,0.17,12,0.6,1083.554,2025-05-21 11:28:27.953,0,27.509738242412624,26.125,24.740261757587376
NORTHRNINS,2025-05-22,26.0,25.4,26.0,25.4,16891,0.429,21,-0.6,1109.15,2025-05-22 11:01:53.490,0,27.427231038764806,26.044444444444444,24.661657850124083
NORTHRNINS,2025-05-24,26.2,25.0,26.2,25.0,7656,0.191,23,-0.4,1083.554,2025-05-24 11:29:27.236,0,27.393822547630897,25.939999999999998,24.4861774523691
NORTHRNINS,2025-05-25,25.0,25.1,25.7,25.0,2058,0.052,10,,1066.49,2025-05-25 11:28:39.809,0,27.33152966486832,25.863636363636363,24.395743062404406
NORTHRNINS,2025-05-26,25.0,25.7,25.8,25.0,2371,0.061,9,0.5,1070.756,2025-05-26 11:01:48.341,0,27.25830867828517,25.849999999999998,24.441691321714824
NORTHRNINS,2025-05-27,25.9,24.9,25.9,24.7,6263,0.156,24,-0.8,1096.352,2025-05-27 11:00:44.705,0,27.221603177054586,25.77692307692308,24.332242976791573
NORTHRNINS,2025-05-28,24.5,24.3,25.0,23.8,1210,0.029,9,-0.6,1062.224,2025-05-28 11:28:29.094,0,27.25785054993163,25.67142857142857,24.085006592925513
NORTHRNINS,2025-05-29,24.0,24.0,24.2,23.9,10801,0.259,26,-0.2,1036.629,2025-05-29 11:28:50.530,0,27.30478269898193,25.56,23.815217301018066
NORTHRNINS,2025-06-01,24.1,24.1,24.1,24.0,3644,0.088,22,0.1,1023.831,2025-06-01 11:02:38.631,0,27.300031996307506,25.46875,23.637468003692494
NORTHRNINS,2025-06-02,25.1,24.5,25.1,24.0,6810,0.167,20,0.4,1028.097,2025-06-02 11:01:20.501,0,27.245927252968883,25.41176470588235,23.57760215879582
NORTHRNINS,2025-06-03,25.4,25.1,25.5,24.7,7779,0.195,85,1.0,1045.16,2025-06-03 11:01:11.187,0,27.18264306903503,25.394444444444446,23.60624581985386
NORTHRNINS,2025-06-04,26.3,25.3,27.5,25.2,15406,0.404,43,0.2,1070.756,2025-06-04 11:01:33.990,0,26.69961235068031,25.266666666666666,23.83372098265302
