symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NPOLYMER,2025-05-13,28.1,27.4,28.2,27.3,62331,1.73,145,-0.5,2036244000.0,2025-05-13 16:31:53.422,0,27.4,27.4,27.4
NPOLYMER,2025-05-15,26.8,26.5,28.0,26.2,42149,1.118,128,-0.7,1977857000.0,2025-05-15 09:16:09.850,0,27.849999999999998,26.95,26.05
NPOLYMER,2025-05-17,26.3,26.4,26.9,26.0,58572,1.548,235,-0.1,1934.067,2025-05-17 09:41:11.010,0,27.666049170882136,26.766666666666666,25.867284162451195
NPOLYMER,2025-05-18,27.2,26.3,27.2,26.1,81605,2.148,124,-0.1,1926.769,2025-05-18 11:02:13.175,0,27.52749643873921,26.65,25.772503561260788
NPOLYMER,2025-05-19,26.3,26.2,26.6,26.0,33058,0.868,97,-0.1,1919.47,2025-05-19 11:01:00.797,0,27.423481325796917,26.560000000000002,25.696518674203087
NPOLYMER,2025-05-20,26.6,26.6,26.7,26.3,42516,1.127,102,0.4,1912.172,2025-05-20 11:01:10.587,0,27.35547730441328,26.566666666666666,25.777856028920052
NPOLYMER,2025-05-21,26.8,27.2,27.3,26.6,57869,1.566,118,0.6,1941.366,2025-05-21 11:27:35.769,0,27.511423793584342,26.657142857142855,25.802861920701368
NPOLYMER,2025-05-22,27.6,26.8,27.6,26.6,69290,1.869,161,-0.4,1985.156,2025-05-22 11:01:30.470,0,27.479673846971554,26.675,25.870326153028447
NPOLYMER,2025-05-24,26.6,26.7,26.9,26.6,10364,0.277,56,-0.1,1955.962,2025-05-24 11:27:18.914,0,27.43659427017617,26.677777777777777,25.918961285379385
NPOLYMER,2025-05-25,26.8,26.4,26.8,26.3,44485,1.176,128,-0.3,1948.664,2025-05-25 11:27:27.485,0,27.388918128076444,26.65,25.911081871923553
NPOLYMER,2025-05-26,26.6,26.6,27.4,26.5,85087,2.286,201,0.2,1926.769,2025-05-26 11:01:36.831,0,27.350571615624194,26.645454545454548,25.940337475284903
NPOLYMER,2025-05-27,27.2,26.8,27.3,26.7,41443,1.114,113,0.2,1941.366,2025-05-27 11:00:20.796,0,27.338815188753117,26.65833333333333,25.977851477913546
NPOLYMER,2025-05-28,26.9,26.2,26.9,26.1,60941,1.609,124,-0.6,1955.962,2025-05-28 11:26:14.026,0,27.321002844443925,26.623076923076926,25.925151001709928
NPOLYMER,2025-05-29,26.2,26.3,26.6,26.2,63903,1.684,109,0.1,1912.172,2025-05-29 11:26:04.264,0,27.29282032302755,26.599999999999998,25.907179676972447
NPOLYMER,2025-06-01,26.5,26.5,26.7,26.4,65984,1.749,90,0.2,1919.47,2025-06-01 11:02:03.847,0,27.26451802392817,26.59333333333333,25.92214864273849
NPOLYMER,2025-06-02,26.5,26.5,26.6,26.3,40272,1.066,104,,1934.067,2025-06-02 11:00:55.340,0,27.238940711039767,26.5875,25.93605928896023
NPOLYMER,2025-06-03,26.5,26.2,26.8,26.1,45990,1.205,111,-0.3,1934.067,2025-06-03 11:01:08.398,0,27.222478152870323,26.564705882352943,25.906933611835562
NPOLYMER,2025-06-04,26.3,26.3,26.4,26.2,25986,0.683,57,0.1,1912.172,2025-06-04 11:01:28.156,0,27.200640709864768,26.549999999999997,25.899359290135227
