symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NRBBANK,2025-05-13,14.6,13.3,14.7,13.3,10218117,141.299,2667,-1.4,10151632000.0,2025-05-13 16:34:48.159,0,13.3,13.3,13.3
NRBBANK,2025-05-14,13.0,12.4,13.0,12.2,9534424,119.327,2257,-0.9,9184810000.0,2025-05-14 11:53:24.745,0,13.750000000000004,12.850000000000001,11.95
NRBBANK,2025-05-15,12.4,12.6,13.0,12.4,6867389,86.871,1469,0.2,8563281000.000001,2025-05-15 09:19:18.126,0,13.538389126852682,12.766666666666666,11.99494420648065
NRBBANK,2025-05-17,11.4,12.4,12.8,11.4,3921254,48.952,1141,-0.2,8701.399,2025-05-17 10:02:31.582,0,13.41493242934744,12.675,11.935067570652562
NRBBANK,2025-05-18,12.6,11.2,12.6,11.2,10958648,127.037,3074,-1.2,8563.281,2025-05-18 11:06:18.982,0,13.732922762023023,12.379999999999999,11.027077237976975
NRBBANK,2025-05-19,10.3,10.9,11.3,10.3,6530757,69.883,1839,-0.3,7734.577,2025-05-19 11:04:55.604,0,13.789298979783231,12.133333333333333,10.477367686883435
NRBBANK,2025-05-20,10.5,11.4,11.6,10.5,4209048,47.077,1391,0.5,7527.4,2025-05-20 11:05:23.322,0,13.645320497233728,12.028571428571428,10.411822359909129
NRBBANK,2025-05-21,10.3,11.1,11.5,10.3,4384967,49.148,1334,-0.3,7872.694,2025-05-21 11:51:43.055,0,13.544791334290544,11.9125,10.280208665709456
NRBBANK,2025-05-22,11.2,11.1,11.3,10.9,2661763,29.488,999,,7665.518,2025-05-22 11:08:15.488,0,13.44368323084042,11.822222222222223,10.200761213604025
NRBBANK,2025-05-24,11.1,11.6,11.8,11.1,5510372,63.169,1559,0.5,7665.518,2025-05-24 11:50:33.185,0,13.344020725249505,11.8,10.255979274750496
NRBBANK,2025-05-25,11.7,11.2,11.8,11.2,3413544,38.986,962,-0.4,8010.812,2025-05-25 11:50:38.139,0,13.257499846275767,11.745454545454544,10.233409244633322
NRBBANK,2025-05-26,11.2,10.4,11.2,10.3,6502009,69.148,2137,-0.8,7734.577,2025-05-26 11:05:48.017,0,13.260874082097828,11.633333333333333,10.005792584568837
NRBBANK,2025-05-27,10.4,10.2,10.8,10.1,3909903,40.603,1146,-0.2,7182.107,2025-05-27 11:04:15.521,0,13.263375475985145,11.523076923076925,9.782778370168705
NRBBANK,2025-05-28,10.3,9.2,10.4,9.2,6503011,61.729,2180,-1.0,7043.989,2025-05-28 11:53:57.263,0,13.417259754955472,11.357142857142858,9.297025959330243
NRBBANK,2025-05-29,9.2,9.4,9.5,8.7,4195964,38.706,1395,0.2,6353.402,2025-05-29 11:52:41.987,0,13.443531319479035,11.226666666666667,9.009802013854298
NRBBANK,2025-06-01,9.1,9.9,10.1,9.0,5606355,54.56,1624,0.5,6491.52,2025-06-01 11:07:01.210,0,13.38425078107552,11.14375,8.903249218924481
NRBBANK,2025-06-02,9.9,9.6,9.9,9.6,2350472,22.825,735,-0.3,6836.813,2025-06-02 11:05:38.976,0,13.344734871177936,11.052941176470588,8.76114748176324
NRBBANK,2025-06-03,9.6,9.4,9.7,9.3,2879383,27.21,703,-0.2,6629.637,2025-06-03 11:05:54.495,0,13.313546151082239,10.961111111111112,8.608676071139985
NRBBANK,2025-06-04,9.4,9.6,9.6,9.4,1483338,14.109,540,0.2,6491.52,2025-06-04 11:06:18.852,0,12.89120244919715,10.755555555555555,8.619908661913959
