symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NRBCBANK,2025-05-13,8.8,8.4,9.3,8.2,4924835,43.717,1148,-0.1,7043521000.0,2025-05-13 16:36:14.768,0,8.4,8.4,8.4
NRBCBANK,2025-05-14,8.3,7.9,8.6,7.8,2145205,17.461,522,-0.5,6960656000.0,2025-05-14 11:54:58.842,0,8.65,8.15,7.65
NRBCBANK,2025-05-15,7.9,7.7,8.2,7.5,1633462,12.639,549,-0.2,6546331000.0,2025-05-15 09:21:14.002,0,8.58878405775519,8.0,7.4112159422448105
NRBCBANK,2025-05-17,7.9,8.2,8.3,7.6,1601685,12.748,444,0.5,6380.601,2025-05-17 10:10:55.883,0,8.588516480713452,8.05,7.511483519286551
NRBCBANK,2025-05-18,8.4,7.7,8.4,7.6,1694610,13.43,548,-0.5,6794.926,2025-05-18 11:07:33.956,0,8.537135531087364,7.9799999999999995,7.422864468912635
NRBCBANK,2025-05-19,7.9,7.4,7.9,7.3,1301808,9.747,464,-0.3,6380.601,2025-05-19 11:06:08.125,0,8.550832813150025,7.883333333333333,7.21583385351664
NRBCBANK,2025-05-20,7.5,7.5,7.6,7.3,587731,4.359,311,0.1,6132.007,2025-05-20 11:07:00.412,0,8.50227577843152,7.828571428571428,7.154867078711337
NRBCBANK,2025-05-21,7.6,7.4,7.6,7.3,393900,2.923,227,-0.1,6214.872,2025-05-21 11:59:41.082,0,8.466013748054262,7.775,7.0839862519457375
NRBCBANK,2025-05-22,7.5,7.3,7.5,7.3,762414,5.632,275,-0.1,6132.007,2025-05-22 11:09:46.669,0,8.438867355404316,7.722222222222222,7.005577089040129
NRBCBANK,2025-05-24,7.4,7.5,7.7,7.4,639825,4.824,264,0.2,6049.142,2025-05-24 11:59:42.305,0,8.392820323027552,7.7,7.007179676972449
NRBCBANK,2025-05-25,7.6,7.3,7.6,7.3,551410,4.064,205,-0.2,6214.872,2025-05-25 11:58:30.231,0,8.363104874969867,7.663636363636363,6.964167852302859
NRBCBANK,2025-05-26,7.3,7.0,7.3,6.9,1622362,11.437,442,-0.3,6049.142,2025-05-26 11:06:56.250,0,8.371914079263687,7.608333333333333,6.844752587402979
NRBCBANK,2025-05-27,7.0,7.1,7.4,7.0,459427,3.279,220,0.1,5800.547,2025-05-27 11:05:15.470,0,8.35127784782393,7.56923076923077,6.787183690637611
NRBCBANK,2025-05-28,7.2,6.5,7.2,6.4,1508481,10.092,529,-0.6,5883.412,2025-05-28 11:59:28.307,0,8.426251212795409,7.492857142857143,6.559463072918878
NRBCBANK,2025-05-29,6.5,6.3,6.5,6.0,1365789,8.435,384,-0.2,5386.222,2025-05-29 11:59:00.436,0,8.493744777593754,7.413333333333333,6.332921889072912
NRBCBANK,2025-06-01,6.2,6.4,6.5,6.1,412219,2.613,217,0.1,5220.492,2025-06-01 11:08:17.616,0,8.505422000829133,7.35,6.194577999170866
NRBCBANK,2025-06-02,6.4,6.2,6.4,6.2,520798,3.257,187,-0.2,5303.357,2025-06-02 11:06:41.041,0,8.527078838936147,7.2823529411764705,6.037627043416794
NRBCBANK,2025-06-03,6.2,6.0,6.3,6.0,718693,4.351,243,-0.2,5137.627,2025-06-03 11:07:09.267,0,8.555876912925092,7.211111111111112,5.866345309297133
NRBCBANK,2025-06-04,6.1,6.1,6.2,6.0,110840,0.676,81,0.1,4971.897,2025-06-04 11:07:32.112,0,8.38845146336346,7.083333333333333,5.778215203303207
