symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NTLTUBES,2025-05-13,72.8,71.3,73.3,71.1,52813,3.803,214,-1.4,2535027000.0,2025-05-13 16:29:23.497,0,71.3,71.3,71.3
NTLTUBES,2025-05-14,71.0,70.5,71.6,70.3,23456,1.657,387,-0.8,2482795000.0,2025-05-14 11:47:22.664,0,71.70000000000002,70.9,70.1
NTLTUBES,2025-05-15,72.0,69.0,72.0,68.0,49025,3.426,311,-1.5,2454937000.0,2025-05-15 09:13:31.387,0,72.17337995281001,70.26666666666667,68.35995338052332
NTLTUBES,2025-05-17,69.4,70.5,71.4,68.1,17012,1.185,86,1.8,2402.704,2025-05-17 09:23:42.412,0,71.98858047596141,70.325,68.66141952403859
NTLTUBES,2025-05-18,71.6,70.2,71.7,70.1,24926,1.759,102,-0.3,2454.937,2025-05-18 10:58:38.527,0,71.79130815058458,70.3,68.80869184941541
NTLTUBES,2025-05-19,70.5,70.0,71.2,69.0,51493,3.595,148,-0.2,2444.491,2025-05-19 10:58:22.459,0,71.62961347243832,70.25,68.87038652756168
NTLTUBES,2025-05-20,70.7,70.5,71.9,69.7,31120,2.191,166,1.2,2437.526,2025-05-20 10:58:07.705,0,71.57491590544898,70.28571428571429,68.99651266597961
NTLTUBES,2025-05-21,70.6,73.1,74.0,70.6,99257,7.214,710,2.6,2454.937,2025-05-21 11:09:58.880,0,72.85546641092691,70.6375,68.4195335890731
NTLTUBES,2025-05-22,73.9,72.8,74.0,71.9,78800,5.723,372,-0.3,2545.474,2025-05-22 10:58:22.361,0,73.37182006161746,70.87777777777778,68.3837354939381
NTLTUBES,2025-05-24,72.8,71.7,73.5,71.5,60178,4.326,209,-1.1,2535.027,2025-05-24 11:10:02.056,0,73.37694021440333,70.96000000000001,68.54305978559668
NTLTUBES,2025-05-25,72.7,70.9,72.7,70.5,67910,4.816,295,-0.8,2496.723,2025-05-25 11:10:09.199,0,73.25926572763503,70.95454545454545,68.64982518145588
NTLTUBES,2025-05-26,71.0,70.6,71.6,70.5,24857,1.759,166,,2468.866,2025-05-26 10:58:41.380,0,73.14028779168757,70.925,68.70971220831242
NTLTUBES,2025-05-27,71.7,70.6,71.7,70.4,37647,2.659,185,,2458.419,2025-05-27 10:57:51.545,0,73.03541565040626,70.9,68.76458434959375
NTLTUBES,2025-05-28,70.6,69.8,71.1,69.5,44156,3.091,245,-0.8,2458.419,2025-05-28 11:09:35.160,0,72.95574488407976,70.82142857142857,68.68711225877738
NTLTUBES,2025-05-29,70.6,70.2,71.5,68.9,28569,2.007,219,0.4,2430.562,2025-05-29 11:09:35.123,0,72.86512189891462,70.78,68.69487810108538
NTLTUBES,2025-06-01,71.4,70.4,71.4,70.2,18865,1.328,104,0.2,2444.491,2025-06-01 10:58:46.146,0,72.78352495668446,70.75625,68.72897504331553
NTLTUBES,2025-06-02,70.3,72.3,73.0,70.0,124487,8.866,468,1.9,2451.455,2025-06-02 10:58:11.517,0,72.94368653270075,70.84705882352942,68.7504311143581
NTLTUBES,2025-06-03,72.0,71.7,72.6,71.3,36584,2.627,180,-0.6,2517.616,2025-06-03 10:58:15.578,0,72.96913020080716,70.89444444444445,68.81975868808173
NTLTUBES,2025-06-04,71.9,71.5,71.9,71.1,63853,4.56,232,0.2,2496.723,2025-06-04 10:58:51.440,0,72.99092493101371,70.90555555555555,68.8201861800974
