symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
NURANI,2025-05-13,3.4,3.3,3.4,3.2,29751,0.097,29,,404663000.0,2025-05-13 16:38:30.284,0,3.3,3.3,3.3
NURANI,2025-05-14,3.2,3.2,3.3,3.2,35846,0.115,19,-0.1,404663000.0,2025-05-14 11:57:16.469,0,3.3499999999999996,3.25,3.1500000000000004
NURANI,2025-05-15,3.3,3.3,3.3,3.2,4,,2,,392400000.0,2025-05-15 09:23:27.779,0,3.360947570824873,3.266666666666667,3.172385762508461
NURANI,2025-05-17,3.3,3.2,3.3,3.2,23605,0.076,13,,404.663,2025-05-17 10:24:42.107,0,3.3499999999999996,3.25,3.1500000000000004
NURANI,2025-05-18,3.3,3.2,3.3,3.2,19566,0.063,10,,392.4,2025-05-18 11:10:08.128,0,3.3379795897113267,3.2399999999999998,3.142020410288673
NURANI,2025-05-19,3.2,3.3,3.4,3.2,44803,0.147,30,0.1,392.4,2025-05-19 11:08:34.211,0,3.3499999999999996,3.25,3.1500000000000004
NURANI,2025-05-20,3.3,3.3,3.3,3.2,20196,0.066,11,,404.663,2025-05-20 11:09:20.509,0,3.3561171890039354,3.257142857142857,3.158168525281779
NURANI,2025-05-21,3.2,3.3,3.3,3.2,18746,0.062,11,,404.663,2025-05-21 12:12:18.902,0,3.359324583655185,3.2625,3.1656754163448153
NURANI,2025-05-22,3.3,3.2,3.3,3.2,35291,0.113,11,-0.1,404.663,2025-05-22 11:11:51.978,0,3.3549363545555457,3.2555555555555555,3.1561747565555653
NURANI,2025-05-24,3.3,3.2,3.3,3.1,34729,0.11,12,0.1,392.4,2025-05-24 12:12:04.727,0,3.3499999999999996,3.25,3.1500000000000004
NURANI,2025-05-25,3.2,3.1,3.2,3.0,73284,0.227,53,-0.1,392.4,2025-05-25 12:11:37.709,0,3.364928505670281,3.2363636363636363,3.1077987670569915
NURANI,2025-05-26,3.0,3.1,3.1,3.0,5109,0.016,8,,380.138,2025-05-26 11:09:16.162,0,3.369337567297406,3.225,3.080662432702594
NURANI,2025-05-27,3.1,3.2,3.3,3.1,21500,0.068,17,,380.138,2025-05-27 11:07:46.035,0,3.362390540586729,3.223076923076923,3.083763305567117
NURANI,2025-05-28,3.1,3.1,3.2,3.0,66540,0.208,28,-0.1,392.4,2025-05-28 12:10:40.709,0,3.3627472120773323,3.2142857142857144,3.0658242164940965
NURANI,2025-05-29,3.1,3.1,3.2,3.1,15363,0.048,14,,380.138,2025-05-29 12:09:44.933,0,3.3610111587038696,3.2066666666666666,3.0523221746294635
NURANI,2025-06-01,3.1,3.0,3.2,3.0,7804,0.024,17,-0.1,380.138,2025-06-01 11:10:21.936,0,3.373593682124227,3.19375,3.0139063178757732
NURANI,2025-06-02,3.1,3.1,3.1,3.1,15480,0.048,12,0.1,367.875,2025-06-02 11:08:29.537,0,3.3682006887150395,3.1882352941176473,3.008269899520255
NURANI,2025-06-03,3.1,3.1,3.2,3.1,17060,0.053,10,,380.138,2025-06-03 11:09:12.781,0,3.3628388269044835,3.183333333333333,3.0038278397621827
NURANI,2025-06-04,3.2,3.2,3.2,3.1,10756,0.034,15,0.1,380.138,2025-06-04 11:09:28.583,0,3.3484699055081917,3.177777777777778,3.0070856500473644
