symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
OAL,2025-05-13,7.2,7.1,7.3,7.0,162793,1.164,68,-0.1,1203642000.0,2025-05-13 16:36:39.247,0,7.1,7.1,7.1
OAL,2025-05-14,7.3,7.1,7.3,7.0,158751,1.114,75,,1203642000.0,2025-05-14 11:55:07.792,0,7.1,7.1,7.1
OAL,2025-05-15,7.0,7.0,7.2,7.0,84138,0.591,50,,1203642000.0,2025-05-15 09:21:21.346,0,7.160947570824872,7.066666666666666,6.972385762508461
OAL,2025-05-17,7.0,7.2,7.3,6.9,87038,0.616,56,0.2,1186.689,2025-05-17 10:12:26.593,0,7.24142135623731,7.1,6.9585786437626895
OAL,2025-05-18,7.2,7.1,7.3,7.0,113845,0.805,88,-0.1,1220.594,2025-05-18 11:07:43.013,0,7.226491106406735,7.1,6.973508893593264
OAL,2025-05-19,7.0,6.9,7.1,6.9,63110,0.439,51,-0.2,1203.642,2025-05-19 11:06:18.049,0,7.255228474983078,7.066666666666666,6.878104858350254
OAL,2025-05-20,7.0,7.0,7.2,6.9,135628,0.962,104,0.1,1169.736,2025-05-20 11:07:04.787,0,7.237844437723907,7.057142857142857,6.876441276561807
OAL,2025-05-21,7.2,7.0,7.2,7.0,129219,0.905,70,,1186.689,2025-05-21 12:00:28.936,0,7.2232050807568875,7.05,6.876794919243112
OAL,2025-05-22,7.0,7.0,7.1,6.9,155021,1.086,76,,1186.689,2025-05-22 11:09:55.714,0,7.210740328301064,7.044444444444444,6.8781485605878245
OAL,2025-05-24,7.1,7.0,7.1,6.9,90536,0.632,46,,1186.689,2025-05-24 12:00:27.079,0,7.200000000000001,7.040000000000001,6.880000000000001
OAL,2025-05-25,7.0,7.0,7.1,6.9,131613,0.92,63,,1186.689,2025-05-25 11:58:52.766,0,7.190641479531611,7.036363636363637,6.882085793195663
OAL,2025-05-26,7.1,7.0,7.1,7.0,190733,1.339,91,0.1,1186.689,2025-05-26 11:06:46.821,0,7.18240453183332,7.033333333333334,6.884262134833349
OAL,2025-05-27,7.0,6.9,7.1,6.9,58103,0.402,48,,1186.689,2025-05-27 11:05:25.313,0,7.18295853608328,7.023076923076923,6.863195310070566
OAL,2025-05-28,7.2,7.0,7.2,6.9,182700,1.293,108,0.1,1169.736,2025-05-28 11:57:32.462,0,7.175952197519885,7.021428571428571,6.866904945337258
OAL,2025-05-29,6.9,7.0,7.1,6.6,281514,1.921,107,,1186.689,2025-05-29 11:56:46.573,0,7.1696662954709565,7.02,6.870333704529043
OAL,2025-06-01,7.4,6.9,7.4,6.9,83170,0.577,79,-0.1,1186.689,2025-06-01 11:07:58.240,0,7.16862494995996,7.0125,6.85637505004004
OAL,2025-06-02,7.0,7.0,7.1,6.9,45672,0.32,32,0.1,1169.736,2025-06-02 11:06:19.618,0,7.163342337961471,7.011764705882353,6.8601870738032344
OAL,2025-06-03,7.1,7.0,7.2,6.9,96572,0.673,54,,1186.689,2025-06-03 11:06:38.556,0,7.158516657349129,7.011111111111111,6.863705564873094
OAL,2025-06-04,7.1,7.0,7.2,6.9,146995,1.027,80,,1186.689,2025-06-04 11:07:06.234,0,7.146539750449439,7.005555555555556,6.864571360661674
