symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
OLYMPIC,2025-05-13,147.1,145.5,149.5,145.0,23175,3.388,258,-2.5,29590955000.0,2025-05-13 16:28:09.307,0,145.5,145.5,145.5
OLYMPIC,2025-05-14,147.9,145.7,147.9,145.3,40885,5.962,221,0.2,29091108000.0,2025-05-14 11:46:16.509,0,145.79999999999998,145.6,145.4
OLYMPIC,2025-05-15,148.8,143.5,148.8,143.1,52633,7.585,379,-2.4,29131096000.0,2025-05-15 09:12:14.130,0,146.88662192343352,144.9,142.9133780765665
OLYMPIC,2025-05-17,144.8,143.8,145.0,141.4,16290,2.343,159,1.4,28691.23,2025-05-17 09:16:43.549,0,146.5915960439297,144.625,142.6584039560703
OLYMPIC,2025-05-18,144.1,142.1,145.1,141.8,30847,4.414,264,-1.7,28751.212,2025-05-18 10:57:17.852,0,146.79850704684532,144.12,141.4414929531547
OLYMPIC,2025-05-19,143.9,143.3,143.9,141.9,6341,0.905,124,1.3,28411.316,2025-05-19 10:57:06.441,0,146.50369485942878,143.98333333333332,141.46297180723786
OLYMPIC,2025-05-20,144.8,143.1,144.8,142.0,26156,3.731,164,-0.2,28651.242,2025-05-20 10:56:47.992,0,146.27104815261538,143.85714285714286,141.44323756167034
OLYMPIC,2025-05-21,142.3,142.3,145.0,142.0,19275,2.749,230,-0.8,28611.255,2025-05-21 11:03:02.772,0,146.14430881616613,143.6625,141.18069118383386
OLYMPIC,2025-05-22,144.7,144.5,146.0,143.0,28935,4.174,209,3.1,28451.303,2025-05-22 10:56:55.836,0,146.15390890013015,143.75555555555556,141.35720221098097
OLYMPIC,2025-05-24,145.7,143.9,145.7,142.5,5175,0.745,69,-0.6,28891.169,2025-05-24 11:02:29.267,0,146.04692775467296,143.77,141.49307224532706
OLYMPIC,2025-05-25,144.0,142.7,144.0,142.0,31146,4.442,221,-1.4,28771.206,2025-05-25 11:03:04.886,0,145.92917808050794,143.6727272727273,141.41627646494663
OLYMPIC,2025-05-26,142.7,143.8,146.5,142.7,26344,3.803,192,1.1,28531.279,2025-05-26 10:57:36.279,0,145.84486571158314,143.68333333333334,141.52180095508353
OLYMPIC,2025-05-27,144.9,143.8,144.9,143.2,11106,1.596,112,0.9,28751.212,2025-05-27 10:56:44.077,0,145.76997137792492,143.69230769230768,141.61464400669044
OLYMPIC,2025-05-28,143.8,142.4,144.4,142.0,26809,3.826,135,-0.4,28751.212,2025-05-28 11:01:54.416,0,145.70984088770422,143.6,141.49015911229577
OLYMPIC,2025-05-29,142.5,144.5,145.9,142.0,19599,2.819,194,1.0,28471.297,2025-05-29 11:02:28.955,0,145.74716713913062,143.66,141.57283286086937
OLYMPIC,2025-06-01,146.9,145.0,146.9,143.8,21037,3.036,146,1.0,28891.169,2025-06-01 10:57:18.173,0,145.866211719325,143.74375,141.621288280675
OLYMPIC,2025-06-02,143.8,147.0,148.0,143.8,26060,3.826,254,2.0,28991.138,2025-06-02 10:56:52.677,0,146.50199598531862,143.93529411764706,141.3685922499755
OLYMPIC,2025-06-03,147.0,147.7,150.0,146.0,24683,3.636,167,0.7,29391.016,2025-06-03 10:56:53.801,0,147.1770247335508,144.14444444444445,141.11186415533808
OLYMPIC,2025-06-04,145.5,150.0,150.3,145.4,48352,7.235,365,2.3,29530.973,2025-06-04 10:57:24.080,0,148.41410292757303,144.39444444444445,140.37478596131587
