symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ORIONINFU,2025-05-13,368.0,359.6,372.0,358.0,75282,27.554,1012,-9.2,7508679000.0,2025-05-13 16:27:30.304,0,359.6,359.6,359.6
ORIONINFU,2025-05-14,360.0,352.7,362.8,349.8,103266,36.756,1174,-6.9,7321370000.0,2025-05-14 11:45:42.927,0,363.04999999999995,356.15,349.25
ORIONINFU,2025-05-15,354.2,352.2,360.9,350.0,63008,22.427,1057,-0.5,7180887000.0,2025-05-15 09:11:27.158,0,361.5867686731355,354.8333333333333,348.0798979935311
ORIONINFU,2025-05-17,352.1,352.1,358.5,349.9,67560,23.788,943,-0.1,7170.707,2025-05-17 09:12:35.469,0,360.4595166217389,354.15,347.84048337826107
ORIONINFU,2025-05-18,353.4,347.3,360.0,340.3,115333,40.486,1240,-4.8,7168.671,2025-05-18 10:56:38.036,0,360.6462824764942,352.78000000000003,344.91371752350585
ORIONINFU,2025-05-19,345.1,358.0,363.8,333.3,405664,140.964,2860,10.7,7070.945,2025-05-19 10:56:20.246,0,361.81721086622196,353.65000000000003,345.4827891337781
ORIONINFU,2025-05-20,363.0,377.0,379.2,357.0,836781,307.281,3991,19.0,7288.794,2025-05-20 10:56:15.715,0,374.9918810298142,356.9857142857143,338.97954754161447
ORIONINFU,2025-05-21,379.9,374.8,380.0,371.0,475427,179.242,3081,-2.2,7675.63,2025-05-21 10:58:44.564,0,379.7681409532761,359.2125,338.65685904672387
ORIONINFU,2025-05-22,374.9,364.7,374.9,362.0,315684,115.644,2561,-10.1,7630.838,2025-05-22 10:56:03.309,0,379.50679661781953,359.82222222222225,340.13764782662497
ORIONINFU,2025-05-24,364.7,348.4,365.0,345.3,150899,53.471,2493,-16.3,7425.204,2025-05-24 10:58:31.770,0,378.57226985539864,358.68,338.78773014460137
ORIONINFU,2025-05-25,350.0,353.1,356.9,346.1,130370,46.047,1635,4.7,7093.34,2025-05-25 10:58:45.081,0,377.4086956481131,358.1727272727273,338.93675889734146
ORIONINFU,2025-05-26,356.6,349.7,356.6,347.2,59512,20.924,1164,-3.4,7189.031,2025-05-26 10:56:55.030,0,376.4698827687433,357.4666666666667,338.4634505645901
ORIONINFU,2025-05-27,350.0,343.9,353.5,342.3,59514,20.615,975,-5.8,7119.808,2025-05-27 10:56:02.028,0,376.0602714346161,356.4230769230769,336.7858824115377
ORIONINFU,2025-05-28,353.0,330.5,353.0,329.3,224437,75.336,2632,-13.4,7001.721,2025-05-28 10:58:26.076,0,377.73092875989533,354.57142857142856,331.4119283829618
ORIONINFU,2025-05-29,334.9,325.5,334.9,324.2,201886,66.527,2313,-5.0,6728.901,2025-05-29 10:58:30.910,0,379.29703316829415,352.6333333333333,325.9696334983725
ORIONINFU,2025-06-01,326.1,314.7,328.0,313.0,185965,59.147,2364,-10.8,6627.102,2025-06-01 10:56:27.240,0,381.94481959626694,350.2625,318.58018040373304
ORIONINFU,2025-06-02,320.8,327.9,330.4,316.1,150140,48.611,2071,13.2,6407.216,2025-06-02 10:56:12.095,0,381.4350379685507,348.94705882352946,316.4590796785082
ORIONINFU,2025-06-03,330.1,324.8,335.0,322.9,197785,65.125,2117,-3.1,6675.965,2025-06-03 10:56:17.558,0,381.0600999884107,347.60555555555555,314.1510111227004
ORIONINFU,2025-06-04,323.7,321.6,325.5,320.0,90655,29.189,1346,-3.2,6612.85,2025-06-04 10:56:47.281,0,380.4185826886268,345.4944444444444,310.570306200262
