symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PADMAOIL,2025-05-13,180.4,180.6,181.1,180.0,17732,3.201,175,0.3,17711365000.0,2025-05-13 16:27:57.839,0,180.6,180.6,180.6
PADMAOIL,2025-05-14,180.4,180.0,180.5,179.8,31086,5.599,202,-0.6,17740835000.0,2025-05-14 11:46:08.370,0,180.90000000000003,180.3,179.7
PADMAOIL,2025-05-15,180.2,179.3,180.2,179.1,6305,1.132,105,-0.3,17681895000.0,2025-05-15 09:11:50.182,0,181.0291584967006,179.96666666666667,178.90417483663273
PADMAOIL,2025-05-17,181.3,179.3,181.3,178.8,14279,2.561,218,,17613.132,2025-05-17 09:15:11.442,0,180.88627804912002,179.8,178.71372195088
PADMAOIL,2025-05-18,179.3,178.8,180.4,178.6,21407,3.833,258,-0.5,17613.132,2025-05-18 10:57:03.744,0,180.8585706178042,179.6,178.3414293821958
PADMAOIL,2025-05-19,180.9,178.6,180.9,178.0,19026,3.392,183,-0.2,17564.016,2025-05-19 10:56:45.132,0,180.80284257227825,179.4333333333333,178.06382409438837
PADMAOIL,2025-05-20,178.1,177.9,179.7,177.4,11266,2.006,187,0.6,17544.369,2025-05-20 10:56:34.481,0,180.87536478328556,179.21428571428572,177.55320664528588
PADMAOIL,2025-05-21,178.0,178.3,178.8,177.9,17253,3.073,147,0.5,17475.606,2025-05-21 11:01:33.033,0,180.76733320005332,179.1,177.43266679994667
PADMAOIL,2025-05-22,178.3,177.9,178.9,177.5,10010,1.783,159,-0.4,17514.899,2025-05-22 10:56:43.376,0,180.71022624408295,178.96666666666667,177.2231070892504
PADMAOIL,2025-05-24,179.9,176.7,179.9,176.5,10405,1.843,178,-1.1,17475.606,2025-05-24 11:01:19.211,0,180.88140141029191,178.74,176.5985985897081
PADMAOIL,2025-05-25,176.1,175.8,177.0,175.6,12159,2.14,234,-0.9,17357.727,2025-05-25 11:01:29.220,0,181.12340939295208,178.47272727272727,175.82204515250245
PADMAOIL,2025-05-26,176.0,175.5,177.0,175.1,9185,1.613,176,-0.3,17269.317,2025-05-26 10:57:24.598,0,181.2483811095086,178.225,175.20161889049137
PADMAOIL,2025-05-27,175.5,174.9,180.0,174.7,15292,2.707,219,-0.6,17239.848,2025-05-27 10:56:31.285,0,181.37184027948757,177.96923076923076,174.56662125897395
PADMAOIL,2025-05-28,175.0,174.7,175.1,174.5,13301,2.324,143,-0.4,17180.908,2025-05-28 11:00:52.643,0,181.42167773244196,177.7357142857143,174.04975083898663
PADMAOIL,2025-05-29,174.4,176.7,177.0,174.4,16450,2.886,220,2.0,17161.261,2025-05-29 11:00:58.324,0,181.26493785649598,177.66666666666666,174.06839547683734
PADMAOIL,2025-06-01,176.4,176.8,178.0,175.5,20942,3.696,240,0.1,17357.727,2025-06-01 10:57:04.352,0,181.12168437817112,177.6125,174.1033156218289
PADMAOIL,2025-06-02,176.8,178.4,179.9,175.0,38550,6.848,306,1.6,17367.55,2025-06-02 10:56:36.098,0,181.08334329722427,177.65882352941176,174.23430376159925
PADMAOIL,2025-06-03,178.9,177.8,179.3,176.5,13798,2.459,132,-0.6,17524.723,2025-06-03 10:56:40.537,0,180.99533006208534,177.66666666666666,174.33800327124797
PADMAOIL,2025-06-04,176.2,178.8,179.0,176.2,29453,5.247,214,1.2,17465.783,2025-06-04 10:57:09.075,0,180.6347822664011,177.5666666666667,174.4985510669323
