symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PENINSULA,2025-05-13,10.9,10.8,10.9,10.6,48313,0.52,84,,1281601000.0,2025-05-13 16:35:27.638,0,10.8,10.8,10.8
PENINSULA,2025-05-14,10.9,10.5,10.9,10.3,32124,0.339,51,-0.5,1281601000.0,2025-05-14 11:53:44.770,0,10.950000000000001,10.65,10.35
PENINSULA,2025-05-15,10.5,10.3,10.5,10.3,35169,0.365,63,-0.2,1246001000.0,2025-05-15 09:20:03.181,0,10.944294266864597,10.533333333333333,10.12237239980207
PENINSULA,2025-05-17,10.3,10.8,10.9,10.2,348101,3.643,109,0.5,1222.268,2025-05-17 10:04:48.109,0,11.02426406871193,10.600000000000001,10.175735931288072
PENINSULA,2025-05-18,11.0,10.6,11.0,10.6,10666,0.114,43,-0.1,1281.601,2025-05-18 11:06:29.576,0,10.979473319220206,10.6,10.220526680779793
PENINSULA,2025-05-19,10.5,10.3,10.5,10.3,53561,0.558,63,-0.1,1257.868,2025-05-19 11:04:59.332,0,10.962310562561767,10.55,10.137689437438235
PENINSULA,2025-05-20,10.6,10.7,10.7,10.2,43476,0.461,66,0.4,1222.268,2025-05-20 11:05:38.773,0,10.967325898872886,10.571428571428571,10.175531243984256
PENINSULA,2025-05-21,11.0,10.7,11.0,10.6,65187,0.708,92,0.1,1269.735,2025-05-21 11:52:30.006,0,10.967467103839267,10.5875,10.207532896160734
PENINSULA,2025-05-22,11.0,10.7,11.0,10.7,37114,0.4,49,,1269.735,2025-05-22 11:08:23.072,0,10.965148371670113,10.600000000000001,10.23485162832989
PENINSULA,2025-05-24,10.5,10.7,11.0,10.5,15833,0.169,16,,1269.735,2025-05-24 11:52:35.604,0,10.961567916624938,10.61,10.25843208337506
PENINSULA,2025-05-25,10.9,10.7,10.9,10.7,23731,0.255,35,,1269.735,2025-05-25 11:51:22.843,0,10.957359238294137,10.618181818181817,10.279004398069498
PENINSULA,2025-05-26,10.9,10.6,11.0,10.6,86220,0.932,94,0.1,1269.735,2025-05-26 11:05:43.406,0,10.941559811493633,10.616666666666667,10.291773521839701
PENINSULA,2025-05-27,11.0,10.6,11.0,10.6,67465,0.723,49,,1257.868,2025-05-27 11:04:07.103,0,10.927658202002837,10.615384615384615,10.303111028766393
PENINSULA,2025-05-28,10.9,10.7,10.9,10.6,54387,0.581,63,0.1,1257.868,2025-05-28 11:49:45.279,0,10.925482809339895,10.62142857142857,10.317374333517245
PENINSULA,2025-06-01,10.7,10.5,10.8,10.4,55056,0.581,83,-0.3,1269.735,2025-06-01 11:06:48.231,0,10.913259250112052,10.613333333333333,10.313407416554615
PENINSULA,2025-06-02,10.6,10.5,10.7,10.4,41375,0.436,49,,1246.001,2025-06-02 11:05:24.349,0,10.90178976043842,10.60625,10.310710239561578
PENINSULA,2025-06-03,10.6,10.6,10.7,10.5,13333,0.141,24,0.1,1246.001,2025-06-03 11:05:23.751,0,10.892613120163624,10.605882352941178,10.319151585718732
PENINSULA,2025-06-04,10.8,10.5,10.8,10.2,44401,0.459,47,-0.1,1257.868,2025-06-04 11:05:54.929,0,10.88284271247462,10.600000000000001,10.317157287525383
