symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PHARMAID,2025-05-13,488.5,481.3,498.5,477.0,7566,3.664,323,-7.2,1524120000.0,2025-05-13 16:27:25.818,0,481.3,481.3,481.3
PHARMAID,2025-05-14,480.4,482.5,486.9,480.4,5705,2.757,186,1.2,1501656000.0,2025-05-14 11:45:39.630,0,483.1,481.9,480.69999999999993
PHARMAID,2025-05-15,482.0,461.0,482.0,460.0,5831,2.734,269,-18.4,1505400000.0,2025-05-15 09:11:22.553,0,494.6623869232944,474.93333333333334,455.2042797433723
PHARMAID,2025-05-17,464.1,464.0,469.0,457.5,4385,2.025,210,2.6,1438.32,2025-05-17 09:12:13.421,0,491.73407279601463,472.2,452.66592720398535
PHARMAID,2025-05-18,473.5,463.6,474.0,462.8,3557,1.667,149,-0.4,1447.68,2025-05-18 10:56:35.330,0,489.2576036809812,470.48,451.7023963190188
PHARMAID,2025-05-19,463.1,461.4,467.1,458.3,3683,1.703,175,-1.6,1446.432,2025-05-19 10:56:17.766,0,487.39587054408787,468.9666666666667,450.5374627892455
PHARMAID,2025-05-20,461.2,461.4,470.0,459.0,3764,1.744,215,4.6,1439.568,2025-05-20 10:56:09.133,0,485.7507411167456,467.88571428571424,450.0206874546829
PHARMAID,2025-05-21,465.0,472.4,472.5,464.0,2610,1.229,142,11.0,1439.568,2025-05-21 10:58:21.678,0,485.4258652209541,468.45,451.47413477904587
PHARMAID,2025-05-22,465.1,467.1,477.0,465.1,6923,3.261,212,-5.3,1473.888,2025-05-22 10:55:59.877,0,484.3274764077193,468.29999999999995,452.2725235922806
PHARMAID,2025-05-24,467.4,467.7,475.7,467.3,2046,0.959,104,0.6,1457.352,2025-05-24 10:58:09.261,0,483.4492603370446,468.23999999999995,453.0307396629553
PHARMAID,2025-05-25,467.1,460.7,470.0,460.3,2517,1.166,97,-7.2,1459.224,2025-05-25 10:58:22.732,0,482.6901419407014,467.55454545454546,452.41894896838954
PHARMAID,2025-05-26,461.3,464.5,465.0,461.1,1248,0.578,64,4.3,1437.384,2025-05-26 10:56:51.231,0,481.889265460148,467.3,452.710734539852
PHARMAID,2025-05-27,461.2,456.4,463.1,454.0,3948,1.815,196,-6.5,1449.24,2025-05-27 10:55:56.960,0,481.6344979034157,466.46153846153845,451.2885790196612
PHARMAID,2025-05-28,466.0,458.5,470.0,457.1,5230,2.411,161,2.1,1423.968,2025-05-28 10:57:58.379,0,481.0780876149243,465.89285714285717,450.70762667079003
PHARMAID,2025-05-29,462.0,465.2,467.0,462.0,1753,0.816,68,6.7,1430.52,2025-05-29 10:58:07.909,0,480.52106462895307,465.84666666666664,451.1722687043802
PHARMAID,2025-06-01,469.0,470.7,472.9,465.0,4041,1.891,141,5.5,1451.424,2025-06-01 10:56:22.692,0,480.55138882191574,466.15,451.7486111780842
PHARMAID,2025-06-02,475.0,505.7,511.8,474.9,28258,14.103,861,35.0,1468.584,2025-06-02 10:56:05.682,0,491.748724141923,468.4764705882353,445.20421703454764
PHARMAID,2025-06-03,515.0,492.8,515.0,490.0,10384,5.164,517,-11.7,1577.784,2025-06-03 10:56:08.989,0,495.0404558545405,469.8277777777778,444.6150997010151
PHARMAID,2025-06-04,494.5,507.2,513.0,494.5,8839,4.469,467,20.2,1537.536,2025-06-04 10:56:35.988,0,501.4084059072023,471.26666666666665,441.124927426131
