symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PHENIXINS,2025-05-13,25.0,24.6,25.0,24.5,393,0.01,9,-0.6,1016608000.0,2025-05-13 16:32:24.262,0,24.6,24.6,24.6
PHENIXINS,2025-05-14,24.1,24.0,24.7,24.0,20005,0.481,27,-0.6,992403000.0,2025-05-14 11:50:38.303,0,24.900000000000002,24.3,23.7
PHENIXINS,2025-05-15,24.7,23.7,24.7,23.6,8584,0.203,18,-0.3,968198000.0,2025-05-15 09:16:43.361,0,24.84833147735479,24.099999999999998,23.351668522645205
PHENIXINS,2025-05-17,24.0,23.9,24.2,23.5,124000,2.959,30,0.5,956.095,2025-05-17 09:44:24.161,0,24.72082039324994,24.05,23.37917960675006
PHENIXINS,2025-05-18,24.9,24.9,25.2,24.5,43717,1.085,52,0.7,964.164,2025-05-18 11:02:31.547,0,25.12686272390037,24.22,23.313137276099628
PHENIXINS,2025-05-19,23.9,24.2,24.3,23.8,8624,0.209,20,-0.7,1004.505,2025-05-19 11:01:19.769,0,25.04464948989162,24.21666666666667,23.38868384344172
PHENIXINS,2025-05-20,24.2,24.1,24.2,23.5,19436,0.469,21,-0.4,976.266,2025-05-20 11:01:51.410,0,24.970899289327544,24.2,23.429100710672454
PHENIXINS,2025-05-21,23.8,24.3,24.5,23.8,22972,0.557,31,-0.1,972.232,2025-05-21 11:31:13.630,0,24.936637417898012,24.2125,23.488362582101985
PHENIXINS,2025-05-22,23.9,23.8,23.9,23.8,28500,0.679,25,-0.5,980.3,2025-05-22 11:02:18.704,0,24.89696341000689,24.166666666666668,23.436369923326446
PHENIXINS,2025-05-24,24.3,23.7,24.3,23.7,13920,0.33,12,-0.1,960.129,2025-05-24 11:31:27.314,0,24.867261667690773,24.119999999999997,23.372738332309222
PHENIXINS,2025-05-25,23.3,23.4,23.5,23.3,5532,0.129,14,-0.4,956.095,2025-05-25 11:30:39.062,0,24.878565032263616,24.05454545454546,23.2305258768273
PHENIXINS,2025-05-26,23.4,23.5,24.0,23.2,1574,0.037,11,0.1,943.993,2025-05-26 11:02:16.463,0,24.854730928372977,24.008333333333336,23.161935738293696
PHENIXINS,2025-05-27,24.2,24.0,25.0,23.5,71691,1.729,30,0.5,948.027,2025-05-27 11:01:04.552,0,24.820896940701694,24.00769230769231,23.194487674682925
PHENIXINS,2025-05-28,23.3,23.8,24.2,23.3,52518,1.246,31,-0.2,968.198,2025-05-28 11:29:30.111,0,24.783749173466646,23.99285714285714,23.201965112247635
PHENIXINS,2025-05-29,23.3,23.3,23.4,23.3,21461,0.5,44,-0.5,960.129,2025-05-29 11:30:04.736,0,24.785289876987537,23.946666666666665,23.108043456345793
PHENIXINS,2025-06-01,22.8,23.7,24.1,22.8,20741,0.481,48,0.7,939.959,2025-06-01 11:02:39.985,0,24.751977573558968,23.93125,23.11052242644103
PHENIXINS,2025-06-02,23.9,24.0,25.8,23.5,34246,0.838,90,0.3,956.095,2025-06-02 11:01:36.767,0,24.732173845735343,23.935294117647057,23.138414389558772
PHENIXINS,2025-06-04,23.5,23.3,23.5,23.2,1285,0.03,17,-0.8,968.198,2025-06-04 11:02:01.936,0,24.727311576399384,23.9,23.072688423600614
