symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PHOENIXFIN,2025-05-13,3.8,3.7,3.8,3.6,9096,0.033,11,0.1,597147000.0,2025-05-13 16:38:12.281,0,3.7,3.7,3.7
PHOENIXFIN,2025-05-14,3.8,3.6,3.8,3.6,170481,0.614,19,,613735000.0,2025-05-14 11:56:50.312,0,3.750000000000001,3.6500000000000004,3.55
PHOENIXFIN,2025-05-15,3.7,3.6,3.7,3.6,71131,0.256,28,,597147000.0,2025-05-15 09:23:06.423,0,3.72761423749154,3.6333333333333333,3.5390524291751264
PHOENIXFIN,2025-05-17,3.7,3.5,3.7,3.5,12013,0.042,6,0.1,597.147,2025-05-17 10:22:19.773,0,3.74142135623731,3.6,3.45857864376269
PHOENIXFIN,2025-05-18,3.7,3.8,3.8,3.7,446943,1.696,97,0.3,580.56,2025-05-18 11:09:36.103,0,3.843960780543711,3.6399999999999997,3.4360392194562883
PHOENIXFIN,2025-05-19,3.9,3.7,3.9,3.6,57359,0.218,29,0.1,630.322,2025-05-19 11:07:54.853,0,3.8414854215512673,3.65,3.4585145784487326
PHOENIXFIN,2025-05-20,3.8,3.6,3.8,3.5,132859,0.472,45,,613.735,2025-05-20 11:08:42.393,0,3.8235587234381927,3.642857142857143,3.462155562276093
PHOENIXFIN,2025-05-21,3.8,3.6,3.8,3.5,22724,0.083,76,,597.147,2025-05-21 12:10:22.698,0,3.8088913650100262,3.6375,3.466108634989974
PHOENIXFIN,2025-05-22,3.8,3.6,3.8,3.6,140401,0.513,25,0.1,597.147,2025-05-22 11:11:26.818,0,3.796632649518879,3.6333333333333337,3.4700340171477886
PHOENIXFIN,2025-05-24,3.6,3.5,3.6,3.5,125231,0.441,88,,597.147,2025-05-24 12:10:31.272,0,3.794355957741627,3.62,3.4456440422583734
PHOENIXFIN,2025-05-25,3.8,3.6,3.8,3.5,35290,0.126,42,0.1,580.56,2025-05-25 12:08:30.954,0,3.78482093436203,3.6181818181818177,3.4515427020016056
PHOENIXFIN,2025-05-26,3.7,3.6,3.7,3.6,59962,0.216,35,,597.147,2025-05-26 11:08:50.810,0,3.7765277174437575,3.6166666666666667,3.456805615889576
PHOENIXFIN,2025-05-27,3.7,3.6,3.7,3.5,130518,0.468,28,,597.147,2025-05-27 11:07:21.680,0,3.769230769230769,3.6153846153846154,3.4615384615384617
PHOENIXFIN,2025-05-28,3.5,3.3,3.5,3.3,1002917,3.333,104,-0.2,597.147,2025-05-28 12:09:08.260,0,3.8127829188334377,3.5928571428571425,3.3729313668808474
PHOENIXFIN,2025-05-29,3.1,3.2,3.4,3.1,82717,0.265,51,,547.385,2025-05-29 12:08:34.908,0,3.855726445182384,3.566666666666667,3.2776068881509497
PHOENIXFIN,2025-06-01,3.4,3.2,3.4,3.2,32070,0.103,21,,530.797,2025-06-01 11:10:14.891,0,3.8751768395890713,3.54375,3.212323160410929
PHOENIXFIN,2025-06-02,3.3,3.3,3.4,3.2,109104,0.358,27,0.1,530.797,2025-06-02 11:08:16.461,0,3.870791014789339,3.5294117647058822,3.1880325146224253
PHOENIXFIN,2025-06-03,3.4,3.3,3.4,3.3,14077,0.046,35,0.1,547.385,2025-06-03 11:08:56.119,0,3.864676883630352,3.5166666666666666,3.1686564497029814
PHOENIXFIN,2025-06-04,3.4,3.3,3.4,3.2,12862,0.042,19,0.1,547.385,2025-06-04 11:09:12.151,0,3.843870782078142,3.4944444444444445,3.145018106810747
