symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PHPMF1,2025-05-13,3.8,3.8,3.9,3.6,2517283,9.473,307,,1071194000.0,2025-05-13 16:38:07.659,0,3.8,3.8,3.8
PHPMF1,2025-05-14,3.8,3.8,3.9,3.7,2500388,9.449,315,,1071194000.0,2025-05-14 11:56:48.018,0,3.8,3.8,3.8
PHPMF1,2025-05-15,3.8,3.6,3.8,3.5,1883753,6.817,183,-0.2,1071194000.0,2025-05-15 09:23:05.010,0,3.9218951416497454,3.733333333333333,3.5447715250169205
PHPMF1,2025-05-17,3.6,3.7,3.8,3.5,1380758,5.064,138,0.1,1014.816,2025-05-17 10:22:45.681,0,3.89083123951777,3.725,3.55916876048223
PHPMF1,2025-05-18,3.8,3.5,3.8,3.5,2664407,9.64,229,-0.2,1043.005,2025-05-18 11:09:56.094,0,3.913238075793812,3.6799999999999997,3.4467619242061875
PHPMF1,2025-05-19,3.6,3.4,3.7,3.4,1235897,4.285,153,-0.1,986.626,2025-05-19 11:08:31.370,0,3.931475730333305,3.6333333333333333,3.3351909363333614
PHPMF1,2025-05-20,3.4,3.4,3.5,3.4,337104,1.148,75,0.1,958.437,2025-05-20 11:09:03.443,0,3.9207134902949097,3.6,3.2792865097050905
PHPMF1,2025-05-21,3.5,3.6,3.7,3.5,3318207,12.118,303,0.2,958.437,2025-05-21 12:10:24.373,0,3.9000000000000004,3.6,3.3
PHPMF1,2025-05-22,3.7,3.6,3.7,3.5,479081,1.725,61,,1014.816,2025-05-22 11:11:34.034,0,3.882842712474619,3.5999999999999996,3.3171572875253803
PHPMF1,2025-05-24,3.5,3.4,3.5,3.4,967445,3.342,116,-0.2,1014.816,2025-05-24 12:11:40.301,0,3.8739387691339813,3.5799999999999996,3.286061230866018
PHPMF1,2025-05-25,3.5,3.4,3.5,3.4,998039,3.398,121,,958.437,2025-05-25 12:10:03.048,0,3.8623941222755453,3.563636363636364,3.2648786049971825
PHPMF1,2025-05-26,3.4,3.5,3.5,3.3,790680,2.694,124,0.1,958.437,2025-05-26 11:08:56.115,0,3.84652694109651,3.5583333333333336,3.270139725570157
PHPMF1,2025-05-27,3.5,3.4,3.5,3.3,789669,2.697,105,-0.1,986.626,2025-05-27 11:07:34.498,0,3.8356136572650277,3.5461538461538464,3.256694035042665
PHPMF1,2025-05-28,3.5,3.4,3.5,3.3,728946,2.465,90,,958.437,2025-05-28 12:09:10.942,0,3.824624977373667,3.5357142857142856,3.2468035940549043
PHPMF1,2025-05-29,3.4,3.3,3.5,3.3,1513775,5.09,191,-0.1,958.437,2025-05-29 12:08:36.842,0,3.822875111776015,3.52,3.217124888223985
PHPMF1,2025-06-01,3.4,3.4,3.5,3.3,142880,0.486,47,0.1,930.248,2025-06-01 11:09:59.342,0,3.8114565185775353,3.5125,3.213543481422465
PHPMF1,2025-06-02,3.4,3.4,3.5,3.3,1136771,3.865,52,,958.437,2025-06-02 11:08:11.468,0,3.8007050373209808,3.5058823529411764,3.211059668561372
PHPMF1,2025-06-03,3.5,3.4,3.5,3.3,110115,0.37,33,,958.437,2025-06-03 11:08:58.743,0,3.7905932629027115,3.5,3.2094067370972885
PHPMF1,2025-06-04,3.4,3.4,3.5,3.3,204117,0.694,34,,958.437,2025-06-04 11:09:13.561,0,3.732122736494658,3.477777777777778,3.2234328190608976
