symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PIONEERINS,2025-05-13,38.4,37.3,38.7,37.2,57812,2.186,174,-0.7,3716454000.0,2025-05-13 16:31:00.595,0,37.3,37.3,37.3
PIONEERINS,2025-05-14,37.3,36.9,38.0,36.7,73407,2.726,142,0.1,3647993000.0,2025-05-14 11:49:04.987,0,37.499999999999986,37.099999999999994,36.7
PIONEERINS,2025-05-15,37.3,36.6,37.5,36.4,41048,1.514,156,-0.3,3608872000.0,2025-05-15 09:15:24.852,0,37.5068216844695,36.93333333333333,36.35984498219716
PIONEERINS,2025-05-17,37.0,36.4,37.0,36.1,54126,1.971,216,-0.5,3579.532,2025-05-17 09:35:47.199,0,37.47823299831252,36.8,36.12176700168747
PIONEERINS,2025-05-18,37.0,36.6,37.4,36.4,35479,1.304,107,0.2,3559.972,2025-05-18 11:01:06.564,0,37.387375485654324,36.760000000000005,36.132624514345686
PIONEERINS,2025-05-19,37.2,36.4,37.4,36.2,38377,1.408,141,-0.2,3579.532,2025-05-19 11:00:11.274,0,37.33245553203366,36.699999999999996,36.06754446796633
PIONEERINS,2025-05-20,36.8,36.4,36.8,36.3,7283,0.265,32,,3559.972,2025-05-20 11:00:06.887,0,37.27918688734506,36.65714285714286,36.035098826940654
PIONEERINS,2025-05-21,36.8,36.5,36.8,36.3,19059,0.699,66,0.3,3559.972,2025-05-21 11:22:53.327,0,37.22857952087684,36.6375,36.046420479123164
PIONEERINS,2025-05-22,37.1,36.2,37.1,36.0,54671,1.985,145,-0.5,3569.752,2025-05-22 11:00:49.539,0,37.21031695351597,36.58888888888889,35.967460824261806
PIONEERINS,2025-05-24,36.6,35.8,36.6,35.6,33958,1.218,99,-0.4,3540.411,2025-05-24 11:22:31.088,0,37.26604232685743,36.510000000000005,35.75395767314258
PIONEERINS,2025-05-25,35.8,35.3,36.1,35.1,24118,0.861,135,,3501.291,2025-05-25 11:21:51.281,0,37.40181653192406,36.4,35.398183468075935
PIONEERINS,2025-05-26,35.5,35.5,35.9,35.4,30472,1.082,77,0.2,3452.39,2025-05-26 11:00:49.224,0,37.40550913924871,36.324999999999996,35.244490860751284
PIONEERINS,2025-05-27,35.8,35.5,35.8,35.5,28012,0.996,84,0.2,3471.95,2025-05-27 10:59:39.299,0,37.388927443726836,36.26153846153846,35.13414947935008
PIONEERINS,2025-05-28,35.5,35.2,35.7,35.1,30799,1.091,93,-0.1,3471.95,2025-05-28 11:21:46.648,0,37.401931237359584,36.18571428571429,34.969497334069
PIONEERINS,2025-06-01,35.1,35.3,35.6,34.7,53374,1.873,219,0.1,3442.61,2025-06-01 11:01:12.867,0,37.381984244900245,36.126666666666665,34.871349088433085
PIONEERINS,2025-06-02,35.5,35.3,35.7,35.1,70023,2.475,149,-0.2,3452.39,2025-06-02 11:00:16.453,0,37.35464838920697,36.075,34.795351610793034
PIONEERINS,2025-06-03,35.4,35.3,35.6,35.2,30170,1.066,76,,3452.39,2025-06-03 11:00:19.261,0,37.32331549034047,36.029411764705884,34.7355080390713
PIONEERINS,2025-06-04,35.6,35.2,35.6,35.1,16667,0.587,58,0.1,3452.39,2025-06-04 11:00:45.087,0,37.2969373663492,35.983333333333334,34.66972930031747
