symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PLFSL,2025-05-13,2.3,2.2,2.3,2.2,436747,0.997,94,0.1,627969000.0,2025-05-13 16:38:45.197,0,2.2,2.2,2.2
PLFSL,2025-05-14,2.3,2.2,2.3,2.2,42845,0.095,22,,627969000.0,2025-05-14 11:57:29.653,0,2.2,2.2,2.2
PLFSL,2025-05-15,2.3,2.2,2.3,2.2,265314,0.584,45,,627969000.0,2025-05-15 09:23:51.866,0,2.2,2.2,2.2
PLFSL,2025-05-17,2.2,2.2,2.3,2.2,207266,0.456,30,,627.969,2025-05-17 10:26:17.934,0,2.2,2.2,2.2
PLFSL,2025-05-18,2.3,2.2,2.3,2.2,378578,0.836,55,,627.969,2025-05-18 11:10:18.250,0,2.2,2.2,2.2
PLFSL,2025-05-19,2.3,2.2,2.3,2.1,145138,0.321,62,0.1,627.969,2025-05-19 11:08:48.780,0,2.2,2.2,2.2
PLFSL,2025-05-20,2.3,2.2,2.3,2.2,54722,0.12,30,0.1,627.969,2025-05-20 11:09:34.347,0,2.2,2.2,2.2
PLFSL,2025-05-21,2.2,2.2,2.3,2.2,121625,0.268,46,,627.969,2025-05-21 12:14:00.278,0,2.2,2.2,2.2
PLFSL,2025-05-22,2.3,2.2,2.3,2.1,224097,0.493,63,,627.969,2025-05-22 11:12:02.054,0,2.2,2.2,2.2
PLFSL,2025-05-24,2.2,2.1,2.2,2.1,13996,0.03,30,-0.1,627.969,2025-05-24 12:14:30.886,0,2.2500000000000004,2.1900000000000004,2.1300000000000003
PLFSL,2025-05-25,2.1,2.1,2.2,2.1,103670,0.219,28,,599.425,2025-05-25 12:12:51.166,0,2.2589571034021687,2.1818181818181817,2.1046792602341946
PLFSL,2025-05-26,2.2,2.1,2.2,2.1,243267,0.514,54,,599.425,2025-05-26 11:09:32.157,0,2.2616025403784445,2.1750000000000003,2.088397459621556
PLFSL,2025-05-28,1.9,2.0,2.0,1.9,1741285,3.332,353,-0.1,599.425,2025-05-28 12:11:53.339,0,2.286523667763631,2.161538461538462,2.036553255313293
PLFSL,2025-05-29,2.0,2.0,2.0,1.8,620593,1.145,342,,570.881,2025-05-29 12:11:12.010,0,2.2963850109422803,2.15,2.0036149890577195
PLFSL,2025-06-01,2.0,2.0,2.0,1.9,42996,0.083,196,,570.881,2025-06-01 11:10:32.284,0,2.3000000000000003,2.14,1.9799999999999998
PLFSL,2025-06-02,2.0,1.9,2.0,1.9,175909,0.334,557,-0.1,570.881,2025-06-02 11:08:43.886,0,2.318649167310371,2.125,1.931350832689629
PLFSL,2025-06-03,2.0,1.9,2.0,1.9,67308,0.128,54,,542.337,2025-06-03 11:09:25.355,0,2.3274153268214515,2.111764705882353,1.8961140849432543
PLFSL,2025-06-04,1.9,1.8,2.0,1.8,452481,0.84,916,0.1,542.337,2025-06-04 11:09:42.701,0,2.3480602713447407,2.0944444444444446,1.8408286175441482
