symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
POPULAR1MF,2025-05-13,3.9,3.8,4.0,3.7,1719607,6.587,142,-0.1,1166447000.0,2025-05-13 16:38:06.044,0,3.8,3.8,3.8
POPULAR1MF,2025-05-14,3.8,3.7,3.9,3.7,3444123,13.013,144,-0.1,1136538000.0,2025-05-14 11:56:49.195,0,3.8499999999999996,3.75,3.6500000000000004
POPULAR1MF,2025-05-15,3.8,3.6,3.8,3.6,572645,2.076,67,-0.1,1106629000.0,2025-05-15 09:23:03.660,0,3.863299316185545,3.6999999999999997,3.5367006838144546
POPULAR1MF,2025-05-17,3.7,3.7,3.8,3.6,1136538,4.221,96,0.1,1076.72,2025-05-17 10:22:44.356,0,3.8414213562373094,3.7,3.558578643762691
POPULAR1MF,2025-05-18,3.8,3.6,3.9,3.6,950797,3.478,107,-0.1,1106.629,2025-05-18 11:09:51.094,0,3.8296662954709575,3.6799999999999997,3.530333704529042
POPULAR1MF,2025-05-19,3.7,3.5,3.7,3.4,482039,1.693,51,-0.1,1076.72,2025-05-19 11:08:22.934,0,3.8414854215512677,3.65,3.458514578448732
POPULAR1MF,2025-05-20,3.5,3.5,3.5,3.4,712975,2.445,64,,1046.812,2025-05-20 11:08:59.372,0,3.834602930026514,3.6285714285714286,3.4225399271163433
POPULAR1MF,2025-05-21,3.6,3.7,3.8,3.6,2788405,10.428,164,0.2,1046.812,2025-05-21 12:10:01.291,0,3.8359313483298445,3.6375,3.439068651670156
POPULAR1MF,2025-05-22,3.7,3.6,3.7,3.5,392295,1.416,65,-0.1,1106.629,2025-05-22 11:11:31.251,0,3.8218951416497466,3.6333333333333337,3.444771525016921
POPULAR1MF,2025-05-24,3.7,3.5,3.8,3.4,510301,1.789,45,-0.1,1076.72,2025-05-24 12:11:17.336,0,3.8159591794226544,3.62,3.424040820577346
POPULAR1MF,2025-05-25,3.6,3.5,3.6,3.4,446644,1.564,36,,1046.812,2025-05-25 12:09:18.226,0,3.8082627481836973,3.6090909090909093,3.4099190699981214
POPULAR1MF,2025-05-26,3.5,3.5,3.6,3.5,340749,1.193,26,,1046.812,2025-05-26 11:08:58.816,0,3.8000000000000003,3.6,3.4
POPULAR1MF,2025-05-27,3.5,3.5,3.6,3.5,383713,1.343,37,,1046.812,2025-05-27 11:07:22.941,0,3.79171509841255,3.5923076923076924,3.392900286202835
POPULAR1MF,2025-05-28,3.5,3.5,3.6,3.4,354906,1.242,46,-0.1,1046.812,2025-05-28 12:08:45.866,0,3.7836629494364433,3.585714285714286,3.3877656219921284
POPULAR1MF,2025-05-29,3.5,3.5,3.6,3.5,624905,2.187,49,,1046.812,2025-05-29 12:07:27.045,0,3.7759591794226544,3.58,3.384040820577346
POPULAR1MF,2025-06-01,3.5,3.5,3.6,3.4,497130,1.741,20,,1046.812,2025-06-01 11:09:49.374,0,3.7686491673103713,3.575,3.381350832689629
POPULAR1MF,2025-06-02,3.5,3.5,3.6,3.5,362609,1.269,23,,1046.812,2025-06-02 11:08:06.820,0,3.761742080109082,3.570588235294118,3.3794343904791537
POPULAR1MF,2025-06-03,3.6,3.5,3.6,3.4,195358,0.683,15,,1046.812,2025-06-03 11:08:53.478,0,3.7552284749830798,3.566666666666667,3.378104858350254
POPULAR1MF,2025-06-04,3.5,3.4,3.6,3.4,576814,1.982,24,-0.1,1046.812,2025-06-04 11:09:14.776,0,3.710740328301065,3.5444444444444447,3.3781485605878245
