symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PRAGATIINS,2025-05-13,54.2,52.6,54.2,51.8,19750,1.033,83,-1.1,3957192000.0,2025-05-13 16:29:45.327,0,52.6,52.6,52.6
PRAGATIINS,2025-05-14,52.5,51.8,52.9,51.5,17240,0.894,83,-0.8,3876133000.0,2025-05-14 11:47:48.301,0,53.000000000000014,52.2,51.39999999999999
PRAGATIINS,2025-05-15,53.0,50.9,53.0,50.5,7582,0.388,67,-0.9,3817180000.0,2025-05-15 09:14:00.805,0,53.155511110399985,51.76666666666667,50.37782222293336
PRAGATIINS,2025-05-17,52.0,51.0,52.0,49.7,44608,2.265,123,0.6,3750.858,2025-05-17 09:27:17.291,0,52.94886316640341,51.575,50.20113683359659
PRAGATIINS,2025-05-18,51.9,50.6,51.9,50.3,39548,2.013,133,-0.4,3758.227,2025-05-18 10:59:31.943,0,52.83547243189282,51.379999999999995,49.92452756810717
PRAGATIINS,2025-05-20,47.8,46.1,47.8,45.6,28302,1.308,127,-3.9,3989.764,2025-05-20 10:59:06.724,0,54.653713198252056,50.5,46.346286801747944
PRAGATIINS,2025-05-21,47.1,47.0,49.0,46.8,2383,0.112,19,0.9,3634.943,2025-05-21 11:16:32.891,0,54.55944858821452,50.0,45.44055141178548
PRAGATIINS,2025-05-22,47.4,45.5,47.4,45.3,2920,0.134,44,-1.5,3705.907,2025-05-22 10:59:51.966,0,54.63840136418679,49.4375,44.23659863581321
PRAGATIINS,2025-05-24,48.0,46.2,48.0,46.0,133,0.006,7,0.9,3587.633,2025-05-24 11:16:04.912,0,54.38670340901661,49.077777777777776,43.76885214653894
PRAGATIINS,2025-05-25,46.8,45.8,46.8,45.5,10288,0.472,49,-0.4,3642.828,2025-05-25 11:16:11.152,0,54.15684751033354,48.75,43.34315248966646
PRAGATIINS,2025-05-26,47.0,45.0,47.0,45.0,2921,0.132,22,-0.8,3611.288,2025-05-26 10:59:55.288,0,53.997035429837524,48.40909090909091,42.82114638834429
PRAGATIINS,2025-05-27,49.0,45.2,49.0,44.5,844,0.038,19,-0.5,3548.209,2025-05-27 10:58:54.972,0,53.77813029399739,48.14166666666667,42.50520303933595
PRAGATIINS,2025-05-28,47.0,44.7,47.0,44.0,3735,0.167,42,0.3,3563.979,2025-05-28 11:15:49.044,0,53.594455544237356,47.87692307692308,42.1593906096088
PRAGATIINS,2025-05-29,45.8,45.0,45.8,44.5,1203,0.054,9,1.0,3524.554,2025-05-29 11:15:51.350,0,53.37677872791881,47.67142857142857,41.96607841493833
PRAGATIINS,2025-06-01,45.9,44.8,45.9,44.5,3439,0.154,33,0.4,3548.209,2025-06-01 10:59:51.285,0,53.17500365817852,47.480000000000004,41.78499634182149
PRAGATIINS,2025-06-02,49.0,44.7,49.0,44.5,4691,0.21,43,1.2,3532.439,2025-06-02 10:59:21.193,0,52.982282395080205,47.30625,41.63021760491979
PRAGATIINS,2025-06-03,46.6,45.3,46.6,44.8,714,0.032,11,1.2,3524.554,2025-06-03 10:59:26.239,0,52.77514535369806,47.188235294117646,41.601325234537235
PRAGATIINS,2025-06-04,46.0,44.9,46.0,44.6,4722,0.212,46,-0.4,3571.864,2025-06-04 10:59:58.274,0,52.5908846201916,47.06111111111111,41.53133760203062
