symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PRAGATILIF,2025-05-13,92.0,90.1,92.6,89.7,15625,1.414,133,-0.7,2955112000.0,2025-05-13 16:28:52.520,0,90.1,90.1,90.1
PRAGATILIF,2025-05-14,91.4,88.2,91.4,87.5,17177,1.52,104,-1.9,2932330000.0,2025-05-14 11:47:05.613,0,91.05000000000001,89.15,87.25
PRAGATILIF,2025-05-15,92.0,84.7,92.0,84.2,30943,2.651,297,-3.5,2870494000.0,2025-05-15 09:13:10.784,0,92.13979631925767,87.66666666666667,83.19353701407567
PRAGATILIF,2025-05-17,91.0,82.7,91.0,80.1,60536,4.972,315,-0.9,2756.586,2025-05-17 09:22:33.806,0,92.21356631645523,86.425,80.63643368354477
PRAGATILIF,2025-05-18,85.0,82.5,85.0,82.2,78605,6.537,439,-0.2,2691.495,2025-05-18 10:58:24.411,0,91.69521263045321,85.64,79.58478736954679
PRAGATILIF,2025-05-19,84.9,82.3,84.9,81.7,20173,1.671,120,-0.2,2684.986,2025-05-19 10:58:05.878,0,91.14569444285348,85.08333333333333,79.02097222381317
PRAGATILIF,2025-05-20,82.8,82.3,83.3,81.2,38312,3.151,161,,2678.477,2025-05-20 10:57:55.832,0,90.62678544591869,84.68571428571428,78.74464312550988
PRAGATILIF,2025-05-21,83.3,84.0,86.3,82.0,36058,3.019,233,1.7,2678.477,2025-05-21 11:08:47.765,0,90.17584074378027,84.6,79.02415925621972
PRAGATILIF,2025-05-24,86.6,84.3,87.3,83.3,29992,2.582,249,-1.7,2805.404,2025-05-24 11:08:22.675,0,89.82700041188771,84.56666666666666,79.30633292144562
PRAGATILIF,2025-05-25,85.5,83.1,85.5,82.8,25851,2.153,142,-1.2,2743.568,2025-05-25 11:08:35.067,0,89.48738591386133,84.42,79.35261408613867
PRAGATILIF,2025-05-26,84.8,83.0,84.8,82.5,12009,0.999,112,-0.1,2704.513,2025-05-26 10:58:31.708,0,89.19096812243075,84.2909090909091,79.39085005938745
PRAGATILIF,2025-05-27,82.2,81.1,83.8,80.2,18012,1.463,126,-1.9,2701.259,2025-05-27 10:57:42.601,0,89.03706876781769,84.02499999999999,79.0129312321823
PRAGATILIF,2025-05-28,83.0,78.2,83.0,77.0,31341,2.523,173,-3.1,2639.423,2025-05-28 11:08:19.086,0,89.30628273836673,83.57692307692308,77.84756341547943
PRAGATILIF,2025-05-29,81.6,79.4,81.6,77.9,54408,4.402,152,1.2,2545.042,2025-05-29 11:08:27.134,0,89.20390617327025,83.27857142857144,77.35323668387262
PRAGATILIF,2025-06-01,78.2,79.9,82.9,78.2,8801,0.705,108,1.6,2584.096,2025-06-01 10:58:35.169,0,89.02074110853654,83.05333333333333,77.08592555813011
PRAGATILIF,2025-06-02,81.8,80.0,81.8,79.5,16983,1.356,150,-0.4,2600.369,2025-06-02 10:58:01.331,0,88.8265066230681,82.8625,76.8984933769319
PRAGATILIF,2025-06-03,80.0,79.8,81.7,79.5,10590,0.847,81,-0.2,2603.623,2025-06-03 10:58:03.089,0,88.64507450459922,82.68235294117646,76.7196313777537
PRAGATILIF,2025-06-04,80.4,81.6,82.0,79.6,9586,0.777,135,1.8,2597.114,2025-06-04 10:58:41.353,0,88.43812209739416,82.62222222222222,76.80632234705028
