symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PREMIERBAN,2025-05-13,9.0,8.6,9.0,8.5,222745,1.915,64,-0.1,10730851000.0,2025-05-13 16:36:07.777,0,8.6,8.6,8.6
PREMIERBAN,2025-05-14,8.6,8.5,8.7,8.5,189460,1.625,60,,10607508000.0,2025-05-14 11:54:43.097,0,8.650000000000002,8.55,8.45
PREMIERBAN,2025-05-15,8.5,8.3,8.6,8.3,153564,1.282,92,-0.2,10484165000.0,2025-05-15 09:20:54.059,0,8.716110492451596,8.466666666666667,8.217222840881737
PREMIERBAN,2025-05-17,8.3,8.4,8.5,8.3,490265,4.117,60,0.1,10237.478,2025-05-17 10:09:48.588,0,8.673606797749978,8.45,8.226393202250021
PREMIERBAN,2025-05-18,8.4,8.3,8.4,8.3,205298,1.708,66,-0.1,10360.822,2025-05-18 11:07:14.877,0,8.65323807579381,8.42,8.18676192420619
PREMIERBAN,2025-05-19,8.2,8.2,8.5,8.2,194394,1.618,74,,10237.478,2025-05-19 11:05:49.685,0,8.652075258276618,8.383333333333333,8.114591408390048
PREMIERBAN,2025-05-20,8.4,8.3,8.5,8.2,136930,1.137,46,0.1,10114.135,2025-05-20 11:06:33.767,0,8.626979197428547,8.371428571428572,8.115877945428597
PREMIERBAN,2025-05-21,8.3,8.2,8.3,8.2,210775,1.738,54,-0.1,10237.478,2025-05-21 11:57:16.133,0,8.61457513110646,8.35,8.08542486889354
PREMIERBAN,2025-05-22,8.3,8.2,8.3,8.2,75123,0.617,48,,10114.135,2025-05-22 11:09:21.935,0,8.6,8.333333333333334,8.066666666666668
PREMIERBAN,2025-05-24,8.2,8.3,8.3,8.2,108000,0.893,52,,10114.135,2025-05-24 11:58:03.514,0,8.58377155080899,8.33,8.07622844919101
PREMIERBAN,2025-05-25,8.2,8.2,8.3,8.1,760919,6.237,142,-0.1,10237.478,2025-05-25 11:56:11.258,0,8.571425241403347,8.318181818181818,8.06493839496029
PREMIERBAN,2025-05-26,8.1,8.0,8.2,7.9,544254,4.375,173,-0.2,10114.135,2025-05-26 11:06:30.949,0,8.591203345926855,8.291666666666666,7.992129987406477
PREMIERBAN,2025-05-27,8.0,7.6,8.0,7.5,814015,6.281,285,-0.4,9867.449,2025-05-27 11:05:11.888,0,8.706113358571402,8.238461538461538,7.770809718351672
PREMIERBAN,2025-05-28,7.6,7.1,7.6,6.9,744387,5.321,248,-0.4,9374.077,2025-05-28 11:57:09.226,0,8.89669594888827,8.157142857142857,7.417589765397442
PREMIERBAN,2025-05-29,6.9,6.9,7.1,6.5,770290,5.255,280,-0.2,8757.361,2025-05-29 11:56:47.928,0,9.024028985065378,8.073333333333332,7.1226376816012875
PREMIERBAN,2025-06-01,6.7,7.1,7.2,6.7,510322,3.549,185,0.2,8510.675,2025-06-01 11:07:51.557,0,9.046605893997318,8.0125,6.97839410600268
PREMIERBAN,2025-06-02,7.2,7.1,7.2,6.9,227577,1.612,129,,8757.361,2025-06-02 11:06:15.996,0,9.050091164734608,7.958823529411766,6.867555894088923
PREMIERBAN,2025-06-03,7.2,7.0,7.2,7.0,79745,0.565,70,-0.1,8757.361,2025-06-03 11:06:44.262,0,9.053446805190141,7.905555555555556,6.757664305920971
PREMIERBAN,2025-06-04,7.0,7.1,7.1,7.0,141480,0.995,73,0.1,8634.018,2025-06-04 11:07:03.088,0,8.974139571795059,7.822222222222223,6.670304872649387
