symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PREMIERCEM,2025-05-13,51.1,50.8,52.0,50.0,70133,3.559,142,-0.6,5420130000.0,2025-05-13 16:29:54.693,0,50.8,50.8,50.8
PREMIERCEM,2025-05-14,50.7,49.6,51.0,49.0,45256,2.266,187,-1.8,5356860000.0,2025-05-14 11:48:01.215,0,51.400000000000006,50.2,49.0
PREMIERCEM,2025-05-15,50.0,50.1,51.0,49.0,145230,7.267,171,0.5,5230320000.0,2025-05-15 09:14:02.162,0,51.150988204015555,50.166666666666664,49.182345129317774
PREMIERCEM,2025-05-17,50.1,50.3,50.8,49.9,54393,2.736,127,0.2,5283.045,2025-05-17 09:28:03.361,0,51.06023252670426,50.2,49.339767473295744
PREMIERCEM,2025-05-18,50.0,50.0,51.2,49.8,66506,3.327,83,-0.3,5304.135,2025-05-18 10:59:36.476,0,50.945875308175545,50.160000000000004,49.37412469182446
PREMIERCEM,2025-05-19,50.0,49.9,51.6,49.0,149770,7.48,236,-0.1,5272.5,2025-05-19 10:59:06.001,0,50.859783226986934,50.11666666666667,49.3735501063464
PREMIERCEM,2025-05-20,49.9,49.6,49.9,49.4,25953,1.288,81,-0.3,5261.955,2025-05-20 10:58:56.455,0,50.8200840290706,50.042857142857144,49.26563025664369
PREMIERCEM,2025-05-21,50.0,50.4,50.8,49.6,291157,14.593,489,0.8,5230.32,2025-05-21 11:14:49.077,0,50.85194424257103,50.0875,49.32305575742897
PREMIERCEM,2025-05-22,50.0,50.4,50.9,50.0,102060,5.156,193,,5314.68,2025-05-22 10:59:18.787,0,50.86923272506541,50.12222222222223,49.375211719379045
PREMIERCEM,2025-05-24,50.0,49.5,50.6,49.0,48925,2.43,168,-0.9,5314.68,2025-05-24 11:14:27.234,0,50.86099937578003,50.06,49.25900062421997
PREMIERCEM,2025-05-25,49.6,48.9,49.8,48.5,54321,2.656,165,-0.7,5219.775,2025-05-25 11:14:38.981,0,50.96849770862536,49.95454545454545,48.94059320046555
PREMIERCEM,2025-05-26,48.9,46.7,49.2,45.9,93563,4.407,249,-1.6,5156.505,2025-05-26 10:59:45.343,0,51.72756641419493,49.68333333333334,47.63910025247174
PREMIERCEM,2025-05-27,47.0,46.0,47.9,45.5,57102,2.628,286,-0.7,4924.515,2025-05-27 10:58:37.569,0,52.17682718777551,49.400000000000006,46.6231728122245
PREMIERCEM,2025-05-28,46.0,45.1,46.8,44.4,82323,3.758,352,-0.9,4850.7,2025-05-28 11:15:53.199,0,52.56640147164893,49.09285714285714,45.61931281406535
PREMIERCEM,2025-05-29,45.3,44.9,46.0,44.4,226341,10.218,599,-0.2,4755.795,2025-05-29 11:16:15.608,0,52.76765024301852,48.81333333333334,44.85901642364816
PREMIERCEM,2025-06-01,44.7,45.1,45.3,44.3,111425,4.992,292,0.2,4734.705,2025-06-01 10:59:57.157,0,52.81103648988338,48.58125,44.351463510116616
PREMIERCEM,2025-06-02,45.0,45.2,45.3,44.5,120911,5.439,324,0.1,4755.795,2025-06-02 10:59:23.808,0,52.78354812329937,48.38235294117647,43.98115775905357
PREMIERCEM,2025-06-03,44.9,46.1,46.8,44.6,83541,3.797,295,0.9,4766.34,2025-06-03 10:59:19.198,0,52.65869697061227,48.25555555555556,43.85241414049885
PREMIERCEM,2025-06-04,46.1,46.2,46.6,45.9,56172,2.588,144,0.1,4861.245,2025-06-04 10:59:48.325,0,52.31586221590386,48.0,43.68413778409614
