symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PREMIERLEA,2025-05-13,3.2,3.2,3.3,3.2,232054,0.743,29,0.2,398911000.0,2025-05-13 16:38:35.027,0,3.2,3.2,3.2
PREMIERLEA,2025-05-14,3.2,3.2,3.3,3.2,220809,0.713,13,,425505000.0,2025-05-14 11:57:13.222,0,3.2,3.2,3.2
PREMIERLEA,2025-05-15,3.2,2.9,3.2,2.9,744662,2.177,57,-0.3,425505000.0,2025-05-15 09:23:39.651,0,3.3828427124746194,3.1,2.8171572875253807
PREMIERLEA,2025-05-17,3.0,3.1,3.1,3.0,48310,0.149,12,0.2,385.614,2025-05-17 10:25:09.014,0,3.344948974278318,3.1,2.855051025721682
PREMIERLEA,2025-05-18,3.3,3.2,3.4,3.1,99181,0.325,54,0.2,412.208,2025-05-18 11:10:03.764,0,3.3532380757938123,3.12,2.886761924206188
PREMIERLEA,2025-05-19,3.1,3.1,3.2,3.1,42341,0.132,13,-0.1,425.505,2025-05-19 11:08:35.515,0,3.330104141247762,3.1166666666666667,2.9032291920855715
PREMIERLEA,2025-05-20,3.1,3.1,3.1,3.1,56330,0.175,11,,412.208,2025-05-20 11:09:24.799,0,3.312234378007872,3.1142857142857143,2.916337050563557
PREMIERLEA,2025-05-21,3.1,3.1,3.1,3.1,21108,0.065,25,,412.208,2025-05-21 12:12:47.909,0,3.297904962177392,3.1125000000000003,2.9270950378226086
PREMIERLEA,2025-05-22,3.2,3.2,3.2,3.2,120000,0.384,13,0.1,412.208,2025-05-22 11:11:53.531,0,3.305471361138563,3.1222222222222222,2.9389730833058816
PREMIERLEA,2025-05-24,3.1,3.2,3.2,3.1,36710,0.117,13,,425.505,2025-05-24 12:12:57.510,0,3.31,3.13,2.9499999999999997
PREMIERLEA,2025-05-25,3.1,3.1,3.2,3.1,12551,0.039,17,,425.505,2025-05-25 12:11:16.582,0,3.299760599645548,3.127272727272727,2.954784854899906
PREMIERLEA,2025-05-26,3.0,3.0,3.2,3.0,810,0.002,5,0.1,412.208,2025-05-26 11:09:07.115,0,3.296172160237817,3.1166666666666667,2.9371611730955163
PREMIERLEA,2025-05-27,3.2,3.1,3.2,3.0,35068,0.109,29,0.1,398.911,2025-05-27 11:07:44.658,0,3.288076494774182,3.1153846153846154,2.942692735995049
PREMIERLEA,2025-05-28,3.0,2.9,3.0,2.8,123802,0.355,47,-0.2,412.208,2025-05-28 12:10:45.903,0,3.3,3.1,2.9000000000000004
PREMIERLEA,2025-05-29,3.0,3.0,3.1,2.9,300040,0.892,64,0.1,385.614,2025-05-29 12:10:06.740,0,3.2928883939612765,3.0933333333333333,2.89377827270539
PREMIERLEA,2025-06-01,3.1,3.0,3.2,3.0,80173,0.243,8,0.1,398.911,2025-06-01 11:10:16.972,0,3.2859313483298442,3.0875,2.8890686516701556
PREMIERLEA,2025-06-02,3.1,3.0,3.1,2.9,63606,0.191,12,,398.911,2025-06-02 11:08:34.398,0,3.2792141238903705,3.0823529411764703,2.88549175846257
PREMIERLEA,2025-06-03,3.0,3.0,3.0,3.0,1000,0.003,1,,398.911,2025-06-03 11:09:15.327,0,3.272776986386491,3.0777777777777775,2.882778569169064
PREMIERLEA,2025-06-04,2.9,3.1,3.1,2.9,12675,0.039,10,,398.911,2025-06-04 11:09:32.641,0,3.2584783846026686,3.072222222222222,2.8859660598417753
