symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PRIME1ICBA,2025-05-13,5.8,5.4,5.8,5.3,415964,2.274,170,-0.4,580000000.0,2025-05-13 16:37:15.587,0,5.4,5.4,5.4
PRIME1ICBA,2025-05-14,5.6,5.4,5.6,5.3,226895,1.228,118,,540000000.0,2025-05-14 11:56:01.845,0,5.4,5.4,5.4
PRIME1ICBA,2025-05-15,5.5,5.2,5.6,5.1,200467,1.053,92,-0.2,540000000.0,2025-05-15 09:22:16.251,0,5.521895141649746,5.333333333333333,5.14477152501692
PRIME1ICBA,2025-05-17,5.2,5.2,5.6,5.1,87600,0.457,97,,520.0,2025-05-17 10:18:07.860,0,5.500000000000001,5.300000000000001,5.1000000000000005
PRIME1ICBA,2025-05-18,5.5,5.2,5.5,5.1,55679,0.29,75,,520.0,2025-05-18 11:08:44.934,0,5.475959179422655,5.28,5.0840408205773455
PRIME1ICBA,2025-05-19,5.3,5.0,5.3,4.8,159788,0.796,129,-0.2,520.0,2025-05-19 11:07:25.007,0,5.508207041707845,5.233333333333333,4.958459624958822
PRIME1ICBA,2025-05-20,5.2,5.2,5.2,4.9,77765,0.397,58,0.2,500.0,2025-05-20 11:07:56.788,0,5.484122054571405,5.228571428571429,4.973020802571452
PRIME1ICBA,2025-05-21,5.4,5.4,5.5,5.3,154202,0.838,78,0.2,520.0,2025-05-21 12:04:50.851,0,5.51457513110646,5.25,4.98542486889354
PRIME1ICBA,2025-05-22,5.2,5.3,5.4,5.1,168173,0.875,85,-0.1,540.0,2025-05-22 11:10:43.315,0,5.50697129997744,5.255555555555556,5.004139811133673
PRIME1ICBA,2025-05-24,5.1,5.2,5.4,5.0,117668,0.608,94,-0.1,530.0,2025-05-24 12:05:25.101,0,5.490831891575846,5.25,5.009168108424154
PRIME1ICBA,2025-05-25,5.3,5.2,5.4,5.1,43821,0.229,50,,520.0,2025-05-25 12:03:39.301,0,5.476871310206508,5.245454545454546,5.014037780702584
PRIME1ICBA,2025-05-26,5.1,5.2,5.2,5.0,51526,0.264,45,,520.0,2025-05-26 11:07:49.183,0,5.464651469337662,5.241666666666667,5.018681863995672
PRIME1ICBA,2025-05-27,5.1,5.1,5.2,5.1,50556,0.258,27,-0.1,520.0,2025-05-27 11:06:14.667,0,5.4579203547728214,5.230769230769231,5.00361810676564
PRIME1ICBA,2025-05-28,5.2,5.1,5.3,4.9,114804,0.579,75,,510.0,2025-05-28 12:02:55.824,0,5.450445993455448,5.221428571428571,4.992411149401693
PRIME1ICBA,2025-05-29,5.0,5.2,5.2,5.0,24453,0.125,48,0.1,510.0,2025-05-29 12:02:07.553,0,5.441509969677815,5.22,4.998490030322184
PRIME1ICBA,2025-06-01,5.3,5.1,5.3,5.0,127078,0.648,72,-0.1,520.0,2025-06-01 11:08:48.954,0,5.43470486043289,5.2125,4.9902951395671105
PRIME1ICBA,2025-06-02,5.2,5.2,5.2,5.1,38175,0.197,23,0.1,510.0,2025-06-02 11:07:06.924,0,5.427415326821451,5.211764705882352,4.996114084943254
PRIME1ICBA,2025-06-03,5.3,5.2,5.3,5.1,4120,0.021,12,,520.0,2025-06-03 11:07:51.545,0,5.420755136267925,5.211111111111111,5.001467085954298
