symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PRIMEFIN,2025-05-13,4.3,4.2,4.3,4.2,21819,0.092,15,,1173541000.0,2025-05-13 16:37:38.984,0,4.2,4.2,4.2
PRIMEFIN,2025-05-14,4.3,4.2,4.3,4.2,53036,0.223,9,,1146249000.0,2025-05-14 11:56:31.878,0,4.2,4.2,4.2
PRIMEFIN,2025-05-15,4.3,4.2,4.3,4.0,68054,0.283,30,,1146249000.0,2025-05-15 09:22:42.198,0,4.2,4.2,4.2
PRIMEFIN,2025-05-17,4.2,4.2,4.3,4.1,43960,0.183,17,-0.1,1146.249,2025-05-17 10:20:45.981,0,4.2,4.2,4.2
PRIMEFIN,2025-05-18,4.2,4.6,4.6,4.2,486502,2.217,134,0.2,1146.249,2025-05-18 11:09:14.233,0,4.599999999999999,4.279999999999999,3.96
PRIMEFIN,2025-05-19,4.7,4.4,4.7,4.3,30837,0.137,21,-0.2,1255.416,2025-05-19 11:07:48.651,0,4.605505046330388,4.3,3.994494953669611
PRIMEFIN,2025-05-20,4.5,4.6,4.6,4.4,96280,0.435,44,0.2,1200.833,2025-05-20 11:08:11.211,0,4.695109371598226,4.3428571428571425,3.990604914116059
PRIMEFIN,2025-05-21,4.6,4.4,4.6,4.3,493667,2.172,125,-0.1,1255.416,2025-05-21 12:07:37.752,0,4.681662479035539,4.35,4.018337520964461
PRIMEFIN,2025-05-22,4.5,4.4,4.5,4.4,9990,0.044,11,,1200.833,2025-05-22 11:11:13.297,0,4.66982523608291,4.355555555555556,4.041285875028202
PRIMEFIN,2025-05-24,4.5,4.5,4.5,4.4,66904,0.297,35,0.1,1200.833,2025-05-24 12:07:26.641,0,4.6804834939252,4.37,4.0595165060748
PRIMEFIN,2025-05-25,4.3,4.4,4.5,4.3,39999,0.176,22,-0.1,1228.124,2025-05-25 12:06:34.968,0,4.669263753278183,4.372727272727273,4.076190792176363
PRIMEFIN,2025-05-26,4.4,4.5,4.6,4.4,54654,0.245,35,0.1,1200.833,2025-05-26 11:08:13.268,0,4.675832146246404,4.383333333333334,4.090834520420263
PRIMEFIN,2025-05-27,4.5,4.4,4.7,4.4,266593,1.192,54,,1228.124,2025-05-27 11:06:42.411,0,4.665779490499955,4.384615384615385,4.103451278730815
PRIMEFIN,2025-05-28,4.4,4.0,4.4,4.0,261183,1.066,102,-0.4,1200.833,2025-05-28 12:06:02.025,0,4.692781146413449,4.357142857142857,4.021504567872265
PRIMEFIN,2025-05-29,4.0,4.1,4.4,3.9,70931,0.292,28,0.2,1091.666,2025-05-29 12:05:03.413,0,4.688711915483253,4.34,3.991288084516746
PRIMEFIN,2025-06-01,4.2,4.1,4.2,4.1,23513,0.097,22,,1118.958,2025-06-01 11:09:24.253,0,4.682071421427143,4.325,3.9679285785728577
PRIMEFIN,2025-06-02,4.2,4.1,4.2,4.1,6812,0.028,15,,1118.958,2025-06-02 11:07:41.879,0,4.673995395725663,4.311764705882353,3.949534016039043
PRIMEFIN,2025-06-03,4.1,4.0,4.1,4.0,20514,0.082,12,-0.1,1118.958,2025-06-03 11:08:28.115,0,4.6743404666061945,4.294444444444444,3.9145484222826936
PRIMEFIN,2025-06-04,4.0,4.0,4.1,4.0,26315,0.105,12,0.1,1091.666,2025-06-04 11:08:45.420,0,4.684719819293077,4.283333333333333,3.8819468473735896
