symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PRIMEINSUR,2025-05-13,30.0,29.5,30.1,28.7,72202,2.144,115,-1.1,1218149000.0,2025-05-13 16:31:35.657,0,29.5,29.5,29.5
PRIMEINSUR,2025-05-14,29.1,28.5,29.3,28.3,15387,0.444,49,-1.0,1205886000.0,2025-05-14 11:49:42.795,0,30.0,29.0,28.0
PRIMEINSUR,2025-05-15,28.5,28.1,28.9,27.2,45476,1.285,75,-0.2,1165009000.0,2025-05-15 09:15:56.165,0,29.87756811551038,28.7,27.52243188448962
PRIMEINSUR,2025-05-17,27.8,28.3,28.7,27.1,22996,0.646,51,0.2,1148.658,2025-05-17 09:39:14.996,0,29.6770329614269,28.6,27.522967038573103
PRIMEINSUR,2025-05-18,28.3,28.0,29.2,27.5,97919,2.77,156,-0.7,1156.833,2025-05-18 11:02:00.333,0,29.556289923765895,28.48,27.403710076234105
PRIMEINSUR,2025-05-19,27.9,27.7,28.2,27.6,3868,0.107,20,0.2,1144.57,2025-05-19 11:00:47.737,0,29.491636252636244,28.349999999999998,27.20836374736375
PRIMEINSUR,2025-05-20,28.7,27.5,28.7,27.4,10800,0.298,35,-0.2,1132.307,2025-05-20 11:00:58.289,0,29.44142773010235,28.228571428571428,27.015715127040504
PRIMEINSUR,2025-05-21,27.6,28.0,28.1,27.6,5543,0.155,26,0.5,1124.131,2025-05-21 11:26:39.419,0,29.34455231422596,28.2,27.055447685774038
PRIMEINSUR,2025-05-22,28.0,27.5,28.0,27.4,12532,0.345,38,-0.5,1144.57,2025-05-22 11:01:25.133,0,29.28756538685572,28.12222222222222,26.95687905758872
PRIMEINSUR,2025-05-24,27.3,27.2,27.7,27.0,13318,0.363,36,-0.3,1124.131,2025-05-24 11:26:33.801,0,29.26628475684205,28.03,26.79371524315795
PRIMEINSUR,2025-05-25,27.2,27.0,27.2,26.7,6700,0.181,20,-0.5,1111.868,2025-05-25 11:26:40.497,0,29.25551688343397,27.936363636363637,26.617210389293305
PRIMEINSUR,2025-05-26,27.4,27.8,28.5,27.3,21070,0.596,63,0.5,1103.692,2025-05-26 11:01:25.914,0,29.190240425110318,27.925,26.659759574889684
PRIMEINSUR,2025-05-27,27.8,26.4,27.8,25.5,6786,0.179,18,-1.8,1136.394,2025-05-27 11:00:24.311,0,29.26995933257901,27.807692307692307,26.345425282805603
PRIMEINSUR,2025-05-28,27.0,25.4,27.0,25.1,13333,0.34,46,-1.0,1079.166,2025-05-28 11:27:02.850,0,29.51280495687407,27.635714285714283,25.758623614554494
PRIMEINSUR,2025-05-29,25.3,25.3,25.8,25.0,6695,0.169,30,-0.1,1038.288,2025-05-29 11:26:53.774,0,29.6355509736492,27.48,25.324449026350802
PRIMEINSUR,2025-06-01,25.6,25.5,26.8,25.3,3077,0.078,26,0.3,1034.201,2025-06-01 11:02:12.907,0,29.652952799667386,27.35625,25.059547200332613
PRIMEINSUR,2025-06-02,26.5,25.6,26.6,25.5,11858,0.305,32,,1042.376,2025-06-02 11:01:06.723,0,29.629411764705885,27.25294117647059,24.876470588235293
PRIMEINSUR,2025-06-03,25.9,25.6,26.1,25.4,7668,0.197,31,,1046.464,2025-06-03 11:01:09.895,0,29.591601586430297,27.16111111111111,24.730620635791926
PRIMEINSUR,2025-06-04,26.1,26.1,26.4,25.8,117875,3.066,88,0.8,1046.464,2025-06-04 11:01:26.946,0,29.162915218164176,26.97222222222222,24.781529226280266
