symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PRIMETEX,2025-05-13,12.8,12.0,12.8,11.9,13522,0.164,52,-0.2,481320000.0,2025-05-13 16:35:10.436,0,12.0,12.0,12.0
PRIMETEX,2025-05-14,12.9,11.8,12.9,11.1,13339,0.155,28,-0.2,458400000.0,2025-05-14 11:53:28.467,0,12.1,11.9,11.700000000000001
PRIMETEX,2025-05-15,11.8,11.3,11.9,11.2,25841,0.294,74,-0.5,450760000.0,2025-05-15 09:19:47.871,0,12.28878405775519,11.700000000000001,11.111215942244812
PRIMETEX,2025-05-17,11.4,11.9,12.1,11.3,41112,0.479,88,0.6,431.66,2025-05-17 10:02:53.797,0,12.28851648071345,11.75,11.21148351928655
PRIMETEX,2025-05-18,11.0,11.8,12.8,11.0,7067,0.082,53,-0.1,454.58,2025-05-18 11:06:06.604,0,12.243321838943784,11.760000000000002,11.27667816105622
PRIMETEX,2025-05-19,12.3,12.0,12.4,11.8,13964,0.168,27,0.2,450.76,2025-05-19 11:04:37.663,0,12.276095228569522,11.799999999999999,11.323904771430476
PRIMETEX,2025-05-20,12.5,12.0,12.5,12.0,12577,0.151,19,,458.4,2025-05-20 11:05:14.964,0,12.291040401606818,11.828571428571427,11.366102455536037
PRIMETEX,2025-05-21,11.5,12.0,12.4,11.5,6892,0.083,30,,458.4,2025-05-21 11:50:07.888,0,12.297213595499958,11.85,11.402786404500041
PRIMETEX,2025-05-22,12.4,11.7,12.5,11.6,22985,0.276,52,0.1,458.4,2025-05-22 11:07:56.246,0,12.265382713227192,11.833333333333334,11.401283953439476
PRIMETEX,2025-05-24,11.2,12.1,12.2,11.2,1036,0.013,8,0.4,446.94,2025-05-24 11:49:45.748,0,12.299999999999999,11.86,11.42
PRIMETEX,2025-05-25,12.3,11.9,12.3,11.2,6817,0.08,80,-0.1,462.22,2025-05-25 11:48:57.960,0,12.28378981848332,11.863636363636363,11.443482908789406
PRIMETEX,2025-05-26,12.5,11.9,12.5,11.6,4808,0.057,37,-0.1,454.58,2025-05-26 11:05:16.460,0,12.269434865786486,11.866666666666667,11.463898467546848
PRIMETEX,2025-05-27,12.2,11.8,12.2,11.5,7341,0.086,77,-0.1,454.58,2025-05-27 11:03:51.548,0,12.250133259702,11.86153846153846,11.47294366337492
PRIMETEX,2025-05-28,10.7,11.8,12.1,10.7,22117,0.257,107,,450.76,2025-05-28 11:47:19.148,0,12.232941326799025,11.857142857142858,11.48134438748669
PRIMETEX,2025-05-29,11.0,11.5,11.9,11.0,31450,0.362,85,-0.4,450.76,2025-05-29 11:48:09.729,0,12.237753357016084,11.833333333333334,11.428913309650584
PRIMETEX,2025-06-01,11.1,11.5,12.0,11.1,10849,0.125,21,-0.2,439.3,2025-06-01 11:06:23.545,0,12.236026858652435,11.8125,11.388973141347565
PRIMETEX,2025-06-02,10.4,11.6,12.6,10.4,6839,0.08,26,,439.3,2025-06-02 11:04:53.470,0,12.222875311896738,11.799999999999999,11.37712468810326
PRIMETEX,2025-06-03,10.6,11.4,12.4,10.6,3036,0.035,23,-0.4,443.12,2025-06-03 11:05:10.325,0,12.227743482918147,11.777777777777779,11.32781207263741
PRIMETEX,2025-06-04,10.3,11.8,12.0,10.3,13456,0.16,38,0.5,435.48,2025-06-04 11:05:24.880,0,12.203829234953467,11.766666666666667,11.329504098379868
