symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PROVATIINS,2025-05-13,31.3,30.7,31.6,30.5,32327,1.001,86,-0.7,1257742000.0,2025-05-13 16:31:27.293,0,30.7,30.7,30.7
PROVATIINS,2025-05-14,31.0,30.5,31.2,30.0,49533,1.515,97,-0.2,1237586000.0,2025-05-14 11:49:34.948,0,30.800000000000004,30.6,30.4
PROVATIINS,2025-05-15,30.1,29.7,30.9,29.4,43290,1.292,84,-0.8,1229523000.0,2025-05-15 09:15:51.659,0,31.164098759787716,30.3,29.435901240212285
PROVATIINS,2025-05-17,30.7,28.9,30.7,28.6,85384,2.481,222,-0.7,1197.273,2025-05-17 09:38:51.240,0,31.374780684877503,29.95,28.525219315122495
PROVATIINS,2025-05-18,30.0,29.2,30.4,29.1,42893,1.278,97,0.3,1165.024,2025-05-18 11:01:52.292,0,31.208545348932724,29.8,28.391454651067278
PROVATIINS,2025-05-19,29.5,28.8,29.5,28.5,42328,1.215,95,-0.4,1177.117,2025-05-19 11:00:45.318,0,31.119566453973867,29.633333333333336,28.147100212692806
PROVATIINS,2025-05-20,29.9,29.0,29.9,28.7,32602,0.941,60,0.2,1160.992,2025-05-20 11:00:47.947,0,30.988469787505547,29.542857142857144,28.09724449820874
PROVATIINS,2025-05-21,29.1,28.6,29.2,28.5,53280,1.54,112,,1169.055,2025-05-21 11:25:53.024,0,30.914127261183545,29.425,27.935872738816457
PROVATIINS,2025-05-22,29.2,28.8,29.2,28.7,6772,0.195,27,0.2,1152.93,2025-05-22 11:01:20.526,0,30.81344173038726,29.355555555555554,27.897669380723848
PROVATIINS,2025-05-24,28.5,28.1,28.9,28.0,22114,0.624,72,-0.7,1160.992,2025-05-24 11:25:46.957,0,30.8049285698088,29.23,27.6550714301912
PROVATIINS,2025-05-25,27.6,27.6,28.5,27.5,32315,0.896,93,-0.5,1132.774,2025-05-25 11:25:53.913,0,30.851909462090433,29.08181818181818,27.311726901545924
PROVATIINS,2025-05-26,27.7,27.4,28.1,27.1,34198,0.938,74,-0.2,1112.618,2025-05-26 11:01:27.263,0,30.874640771223913,28.941666666666666,27.00869256210942
PROVATIINS,2025-05-27,28.8,27.3,29.2,27.1,31741,0.863,103,-0.1,1104.555,2025-05-27 11:00:14.259,0,30.86829422611337,28.815384615384616,26.76247500465586
PROVATIINS,2025-05-29,27.3,26.7,27.8,26.2,62817,1.677,165,0.2,1100.524,2025-05-29 11:24:57.981,0,30.92273922164378,28.664285714285715,26.40583220692765
PROVATIINS,2025-06-01,28.8,26.4,28.8,26.2,26741,0.706,90,-0.4,1076.337,2025-06-01 11:02:05.227,0,30.97028718357599,28.513333333333332,26.056379483090673
PROVATIINS,2025-06-02,27.0,27.0,27.2,26.8,11337,0.306,60,0.6,1064.243,2025-06-02 11:00:49.688,0,30.907945402132984,28.41875,25.929554597867014
PROVATIINS,2025-06-03,26.6,26.5,27.5,26.4,25578,0.683,37,-0.5,1088.43,2025-06-03 11:01:00.349,0,30.884044569564658,28.305882352941175,25.727720136317693
PROVATIINS,2025-06-04,28.0,27.2,28.0,26.6,9802,0.266,32,0.8,1068.274,2025-06-04 11:01:19.617,0,30.800676239030828,28.244444444444444,25.68821264985806
