symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PTL,2025-05-13,44.5,43.5,44.5,43.2,25575,1.114,88,,7791585000.0,2025-05-13 16:30:35.145,0,43.5,43.5,43.5
PTL,2025-05-14,44.2,43.4,44.2,43.2,79635,3.47,158,,7791585000.0,2025-05-14 11:48:30.307,0,43.55000000000001,43.45,43.349999999999994
PTL,2025-05-15,43.3,43.1,43.8,43.0,55416,2.396,164,-0.3,7773673000.0,2025-05-15 09:14:50.303,0,43.673267967572855,43.333333333333336,42.99339869909382
PTL,2025-05-17,43.8,43.5,43.8,43.2,33796,1.468,122,0.4,7719.938,2025-05-17 09:31:50.849,0,43.7028719262151,43.375,43.0471280737849
PTL,2025-05-18,44.5,43.9,44.5,43.2,21089,0.922,53,0.7,7791.585,2025-05-18 11:00:20.111,0,43.99224993899463,43.480000000000004,42.967750061005376
PTL,2025-05-19,44.0,43.7,44.0,43.5,55718,2.436,122,0.1,7863.231,2025-05-19 10:59:34.700,0,44.01220229157729,43.51666666666667,43.02113104175606
PTL,2025-05-20,44.2,43.9,44.2,43.6,43360,1.904,68,0.2,7827.408,2025-05-20 10:59:28.220,0,44.10288786393538,43.57142857142857,43.03996927892176
PTL,2025-05-21,44.1,43.9,44.2,43.4,85111,3.745,120,0.1,7863.231,2025-05-21 11:18:29.525,0,44.155063360355264,43.6125,43.06993663964473
PTL,2025-05-22,44.4,44.7,45.0,43.6,120618,5.356,202,0.8,7863.231,2025-05-22 10:59:54.574,0,44.587083231657715,43.733333333333334,42.87958343500895
PTL,2025-05-24,44.1,43.7,44.3,43.5,20612,0.902,86,-0.7,8006.525,2025-05-24 11:18:06.217,0,44.54018516402117,43.730000000000004,42.91981483597884
PTL,2025-05-25,44.0,43.5,44.0,43.3,19778,0.861,70,-0.4,7827.408,2025-05-25 11:18:05.848,0,44.49280952953645,43.70909090909091,42.92537228864537
PTL,2025-05-26,43.2,43.6,44.3,41.8,143307,6.275,163,,7791.585,2025-05-26 11:00:07.589,0,44.45277265270908,43.699999999999996,42.94722734729091
PTL,2025-05-27,43.4,43.6,44.9,43.4,38616,1.682,54,-0.1,7809.496,2025-05-27 10:59:01.581,0,44.41750915380879,43.69230769230769,42.9671062308066
PTL,2025-05-28,41.1,42.3,44.1,41.1,78662,3.387,183,-0.3,7809.496,2025-05-28 11:17:09.634,0,44.594182794792864,43.59285714285714,42.59153149092142
PTL,2025-05-29,42.0,42.2,43.0,41.8,21481,0.907,76,0.5,7576.644,2025-05-29 11:17:31.566,0,44.69107794315346,43.5,42.30892205684654
PTL,2025-06-01,43.1,42.4,43.1,42.2,52448,2.245,145,0.2,7558.733,2025-06-01 11:00:15.152,0,44.701523100557516,43.43125,42.16097689944248
PTL,2025-06-02,42.9,41.6,42.9,41.5,30566,1.274,104,-0.8,7594.556,2025-06-02 10:59:44.594,0,44.82729630822596,43.3235294117647,41.819762515303445
PTL,2025-06-03,41.7,41.2,42.5,41.0,20382,0.843,77,0.6,7451.262,2025-06-03 10:59:49.970,0,44.961146272503015,43.205555555555556,41.449964838608096
PTL,2025-06-04,42.4,41.9,42.4,39.3,12642,0.524,72,0.7,7379.616,2025-06-04 11:00:10.822,0,44.963285197928606,43.11666666666667,41.27004813540473
