symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PUBALIBANK,2025-05-13,28.6,28.2,28.6,28.0,512425,14.521,115,-0.3,32969682999.999996,2025-05-13 16:31:45.322,0,28.2,28.2,28.2
PUBALIBANK,2025-05-14,28.3,28.5,28.5,28.2,201746,5.738,103,0.3,32622634000.0,2025-05-14 11:49:45.178,0,28.65,28.35,28.050000000000004
PUBALIBANK,2025-05-15,28.5,28.4,28.6,28.3,309850,8.801,140,-0.1,32969682999.999996,2025-05-15 09:15:54.859,0,28.616110492451593,28.366666666666664,28.117222840881734
PUBALIBANK,2025-05-17,28.3,28.1,28.4,27.9,88896,2.5,160,-0.3,32854.0,2025-05-17 09:39:40.881,0,28.616227766016838,28.3,27.983772233983164
PUBALIBANK,2025-05-18,28.0,28.0,28.3,28.0,278480,7.811,155,-0.1,32506.951,2025-05-18 11:01:58.647,0,28.610944739819825,28.24,27.869055260180172
PUBALIBANK,2025-05-19,28.1,28.4,28.5,28.0,147711,4.175,105,0.4,32391.268,2025-05-19 11:00:46.533,0,28.625677653808964,28.266666666666666,27.907655679524368
PUBALIBANK,2025-05-20,28.4,28.7,28.7,28.4,303002,8.66,148,0.3,32854.0,2025-05-20 11:00:53.177,0,28.778514735657815,28.32857142857143,27.878628121485043
PUBALIBANK,2025-05-21,28.7,28.5,28.8,28.0,500190,14.329,224,-0.2,33201.05,2025-05-21 11:26:15.017,0,28.785889894354067,28.35,27.914110105645936
PUBALIBANK,2025-05-24,24.1,24.2,24.3,23.9,198612,4.788,254,-4.2,37090.894,2025-05-24 11:30:38.932,0,30.52950236044675,27.88888888888889,25.24827541733103
PUBALIBANK,2025-05-25,24.3,24.5,24.7,24.2,127379,3.122,165,0.3,31494.724,2025-05-25 11:29:03.278,0,30.77645316098034,27.55,24.323546839019663
PUBALIBANK,2025-05-26,24.4,24.4,24.5,24.4,161126,3.937,130,-0.1,31885.154,2025-05-26 11:02:01.866,0,30.833482530194885,27.263636363636362,23.69379019707784
PUBALIBANK,2025-05-27,24.4,24.4,24.5,24.2,78172,1.906,124,,31755.011,2025-05-27 11:00:54.207,0,30.791629793329847,27.025000000000002,23.258370206670158
PUBALIBANK,2025-05-28,24.2,24.1,24.3,24.0,50082,1.211,174,-0.3,31755.011,2025-05-28 11:28:56.890,0,30.740324078823193,26.799999999999997,22.8596759211768
PUBALIBANK,2025-05-29,24.0,24.1,24.2,23.9,16794,0.404,72,,31364.58,2025-05-29 11:28:55.281,0,30.65080759223106,26.607142857142858,22.563478122054654
PUBALIBANK,2025-06-01,24.4,24.4,24.4,24.1,88359,2.15,112,0.3,31364.58,2025-06-01 11:02:34.002,0,30.51876828606906,26.459999999999997,22.401231713930933
PUBALIBANK,2025-06-02,24.4,24.6,24.7,24.3,94103,2.307,74,0.2,31755.011,2025-06-02 11:01:14.683,0,30.375479622630962,26.34375,22.312020377369038
PUBALIBANK,2025-06-03,25.0,24.7,25.0,24.6,51230,1.267,122,0.1,32015.298,2025-06-03 11:01:20.657,0,30.23416607333513,26.24705882352941,22.259951573723693
PUBALIBANK,2025-06-04,25.4,24.9,25.5,24.6,59170,1.473,97,0.4,32145.441,2025-06-04 11:01:40.102,0,30.09582915437339,26.172222222222224,22.248615290071058
