symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
PURABIGEN,2025-05-13,18.9,17.9,19.4,17.8,88562,1.646,95,-0.1,1070644000.0,2025-05-13 16:33:59.448,0,17.9,17.9,17.9
PURABIGEN,2025-05-14,18.1,17.8,18.1,17.6,3268,0.058,22,-0.3,1070644000.0,2025-05-14 11:52:05.892,0,17.950000000000003,17.85,17.75
PURABIGEN,2025-05-15,18.4,16.9,18.4,16.8,33022,0.563,67,-0.8,1064663000.0,2025-05-15 09:18:24.154,0,18.432715837548805,17.53333333333333,16.633950829117857
PURABIGEN,2025-05-17,16.5,16.8,17.2,16.5,22299,0.374,15,0.1,1010.831,2025-05-17 09:55:28.962,0,18.354987562112093,17.35,16.34501243788791
PURABIGEN,2025-05-18,17.3,16.8,17.3,16.6,73999,1.251,104,,1004.85,2025-05-18 11:05:00.373,0,18.240799680255748,17.240000000000002,16.239200319744256
PURABIGEN,2025-05-19,16.8,16.9,17.2,16.7,52314,0.881,56,0.1,1004.85,2025-05-19 11:03:36.065,0,18.131430843555197,17.183333333333334,16.23523582311147
PURABIGEN,2025-05-20,17.2,17.0,17.2,16.8,10714,0.182,20,0.1,1010.831,2025-05-20 11:03:55.748,0,18.044238554072003,17.157142857142855,16.270047160213707
PURABIGEN,2025-05-21,17.3,16.9,17.3,16.8,33769,0.57,45,-0.1,1016.813,2025-05-21 11:42:55.134,0,17.972053717304874,17.125,16.277946282695126
PURABIGEN,2025-05-22,17.0,16.8,17.8,16.7,10908,0.183,42,-0.1,1010.831,2025-05-22 11:04:31.735,0,17.913210532932954,17.08888888888889,16.264567244844823
PURABIGEN,2025-05-24,16.8,16.5,17.2,16.4,31115,0.516,70,-0.3,1004.85,2025-05-24 11:43:43.629,0,17.888137518117002,17.03,16.171862481883
PURABIGEN,2025-05-25,16.2,16.2,16.5,16.1,28433,0.462,57,-0.4,986.906,2025-05-25 11:43:32.160,0,17.901746638373172,16.954545454545453,16.007344270717734
PURABIGEN,2025-05-26,16.3,16.4,16.5,16.3,15239,0.25,55,0.2,968.963,2025-05-26 11:04:16.718,0,17.86561536538496,16.908333333333335,15.951051301281707
PURABIGEN,2025-05-27,16.6,16.4,16.6,16.2,3323,0.054,32,-0.1,980.925,2025-05-27 11:02:58.152,0,17.828026858515873,16.869230769230768,15.910434679945665
PURABIGEN,2025-05-28,16.4,15.8,16.4,15.7,41208,0.654,73,-0.6,980.925,2025-05-28 11:42:24.949,0,17.868468027661777,16.79285714285714,15.717246258052505
PURABIGEN,2025-05-29,15.7,15.7,16.0,15.6,29110,0.458,85,-0.1,945.038,2025-05-29 11:42:19.608,0,17.89348483870337,16.72,15.546515161296629
PURABIGEN,2025-06-01,16.7,15.9,16.7,15.8,6122,0.097,20,0.7,939.056,2025-06-01 11:05:15.466,0,17.872325402706455,16.66875,15.465174597293544
PURABIGEN,2025-06-02,16.3,16.0,16.3,15.8,11028,0.177,39,0.1,951.019,2025-06-02 11:04:00.915,0,17.838718237577307,16.629411764705882,15.420105291834457
PURABIGEN,2025-06-03,16.4,16.1,16.4,16.0,17055,0.274,24,0.1,957.0,2025-06-03 11:04:06.536,0,17.800000000000004,16.6,15.399999999999999
PURABIGEN,2025-06-04,16.5,15.9,16.5,15.8,24473,0.389,30,0.2,962.981,2025-06-04 11:04:36.895,0,17.549054261500146,16.48888888888889,15.428723516277635
