symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
QUASEMIND,2025-05-13,34.0,33.5,34.3,33.4,289233,9.728,393,-0.5,2472702000.0,2025-05-13 16:31:16.034,0,33.5,33.5,33.5
QUASEMIND,2025-05-14,33.2,33.2,33.7,32.9,270237,8.975,435,0.1,2436339000.0,2025-05-14 11:49:22.635,0,33.65,33.35,33.050000000000004
QUASEMIND,2025-05-15,33.6,33.0,33.7,32.9,125726,4.162,417,-0.1,2414521000.0,2025-05-15 09:15:39.572,0,33.6442942668646,33.233333333333334,32.82237239980207
QUASEMIND,2025-05-17,33.3,33.3,33.5,32.9,389425,12.941,525,0.3,2399.976,2025-05-17 09:37:16.202,0,33.6105551275464,33.25,32.8894448724536
QUASEMIND,2025-05-18,33.5,33.5,33.8,33.2,245044,8.174,279,0.2,2421.794,2025-05-18 11:01:25.658,0,33.6794733192202,33.3,32.920526680779794
QUASEMIND,2025-05-19,33.5,33.0,33.6,32.6,163468,5.398,338,-0.5,2436.339,2025-05-19 11:00:24.993,0,33.662310562561764,33.25,32.837689437438236
QUASEMIND,2025-05-20,33.3,33.5,33.8,32.8,267581,8.914,317,0.8,2399.976,2025-05-20 11:00:27.647,0,33.705626813048546,33.285714285714285,32.86580175838002
QUASEMIND,2025-05-21,33.7,33.5,34.4,33.4,387084,13.096,419,,2436.339,2025-05-21 11:24:38.413,0,33.73008232721225,33.3125,32.89491767278775
QUASEMIND,2025-05-22,33.5,33.1,33.7,33.0,226722,7.552,303,-0.4,2436.339,2025-05-22 11:01:05.533,0,33.70462859853044,33.28888888888889,32.87314917924734
QUASEMIND,2025-05-24,33.4,32.6,33.4,32.4,154578,5.083,212,-0.5,2407.249,2025-05-24 11:24:34.455,0,33.79131427428343,33.22,32.64868572571657
QUASEMIND,2025-05-25,32.7,32.1,32.8,32.0,246510,7.958,377,-0.5,2370.885,2025-05-25 11:24:13.661,0,33.96163007307223,33.11818181818182,32.274733563291406
QUASEMIND,2025-05-26,32.4,31.5,32.5,31.3,231126,7.299,430,-0.6,2334.522,2025-05-26 11:01:15.589,0,34.18841516550168,32.983333333333334,31.778251501164988
QUASEMIND,2025-05-27,31.9,31.7,32.2,31.6,89410,2.843,247,0.2,2290.886,2025-05-27 11:00:02.724,0,34.22933990051767,32.88461538461539,31.5398908687131
QUASEMIND,2025-05-28,31.6,30.9,31.9,30.1,233500,7.225,394,-0.8,2305.431,2025-05-28 11:24:38.396,0,34.39333635588985,32.74285714285714,31.092377929824433
QUASEMIND,2025-05-29,31.6,31.7,32.3,30.7,112337,3.523,423,0.8,2247.25,2025-05-29 11:23:45.333,0,34.35057975397508,32.67333333333333,30.99608691269158
QUASEMIND,2025-06-01,31.9,31.4,32.0,31.3,109677,3.465,206,-0.3,2305.431,2025-06-01 11:01:44.156,0,34.330800301516916,32.59375,30.856699698483084
QUASEMIND,2025-06-02,31.7,31.3,31.9,31.0,106391,3.338,215,-0.1,2283.613,2025-06-02 11:00:39.641,0,34.30943918715256,32.51764705882353,30.725854930494496
QUASEMIND,2025-06-03,31.4,31.1,31.6,31.0,109157,3.405,242,-0.2,2276.341,2025-06-03 11:00:42.127,0,34.29736961714086,32.43888888888889,30.58040816063692
QUASEMIND,2025-06-04,31.4,31.4,31.5,31.2,34301,1.074,126,0.3,2261.795,2025-06-04 11:01:09.200,0,34.16318278738085,32.32222222222222,30.481261657063598
