symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
RAHIMTEXT,2025-05-13,100.1,100.9,101.9,100.1,1177,0.119,17,-1.8,971509000.0,2025-05-13 16:28:45.840,0,100.9,100.9,100.9
RAHIMTEXT,2025-05-14,101.0,102.4,104.9,101.0,2405,0.246,26,1.6,954482000.0,2025-05-14 11:46:46.567,0,103.15,101.65,100.15
RAHIMTEXT,2025-05-15,107.0,101.5,107.0,100.8,5600,0.572,49,-1.6,968672000.0,2025-05-15 09:12:49.754,0,102.83288280059381,101.60000000000001,100.36711719940621
RAHIMTEXT,2025-05-17,99.9,100.1,100.1,99.9,690,0.069,7,-1.4,960.158,2025-05-17 09:20:10.398,0,102.90651717208003,101.225,99.54348282791996
RAHIMTEXT,2025-05-18,106.4,103.0,106.4,101.1,1270,0.131,9,1.6,946.914,2025-05-18 10:57:49.946,0,103.64842935581567,101.58,99.51157064418433
RAHIMTEXT,2025-05-19,101.3,103.9,104.4,101.3,1392,0.145,15,0.9,974.347,2025-05-19 10:57:44.514,0,104.52704858262285,101.96666666666665,99.40628475071046
RAHIMTEXT,2025-05-20,101.4,101.4,103.5,101.3,1140,0.116,12,-2.3,982.861,2025-05-20 10:57:25.826,0,104.28911323940721,101.88571428571429,99.48231533202136
RAHIMTEXT,2025-05-21,101.1,102.3,104.8,101.0,1476,0.151,21,2.9,959.212,2025-05-21 11:06:14.422,0,104.20231235425807,101.9375,99.67268764574193
RAHIMTEXT,2025-05-22,107.5,102.8,107.5,102.1,152,0.016,6,0.2,967.726,2025-05-22 10:57:45.686,0,104.23636155224777,102.03333333333333,99.83030511441889
RAHIMTEXT,2025-05-24,102.1,100.0,102.2,99.5,1101,0.111,25,-3.2,972.455,2025-05-24 11:06:40.599,0,104.25,101.83,99.41
RAHIMTEXT,2025-05-25,99.7,99.8,99.8,99.7,244,0.024,7,-0.2,945.968,2025-05-25 11:06:38.825,0,104.2312389509562,101.64545454545454,99.05967013995289
RAHIMTEXT,2025-05-26,103.0,101.0,103.0,100.2,1311,0.132,12,2.2,944.076,2025-05-26 10:58:14.519,0,104.09294411806802,101.59166666666665,99.09038921526529
RAHIMTEXT,2025-05-27,100.5,101.2,102.5,100.0,4921,0.497,34,-1.0,955.428,2025-05-27 10:57:21.495,0,103.97373626123319,101.56153846153846,99.14934066184374
RAHIMTEXT,2025-05-28,100.0,102.0,103.5,99.0,1418,0.144,26,-0.7,957.32,2025-05-28 11:05:38.136,0,103.92825467489598,101.59285714285714,99.2574596108183
RAHIMTEXT,2025-05-29,102.0,102.2,102.5,101.3,456,0.047,5,0.2,964.888,2025-05-29 11:05:33.660,0,103.90978281052853,101.63333333333334,99.35688385613815
RAHIMTEXT,2025-06-01,99.3,105.9,107.0,99.1,6620,0.681,73,3.7,966.78,2025-06-01 10:57:52.627,0,104.92076149339866,101.9,98.87923850660135
RAHIMTEXT,2025-06-02,107.7,102.6,107.7,102.5,2617,0.268,9,0.6,1001.78,2025-06-02 10:57:30.713,0,104.89020129327866,101.94117647058823,98.9921516478978
RAHIMTEXT,2025-06-03,105.0,102.7,105.0,102.4,618,0.063,8,0.1,970.563,2025-06-03 10:57:37.623,0,104.87027712295662,101.98333333333333,99.09638954371005
RAHIMTEXT,2025-06-04,103.9,101.0,103.9,100.8,21,0.002,2,-1.9,971.509,2025-06-04 10:58:11.751,0,104.86784617612473,101.98888888888888,99.10993160165303
